SL. No.,Year,Incidence of - Juvenile Crimes,Incidence of - Total Cognizable Crimes,Percentage of Juvenile Crimes to Total Crimes,Estimated Mid-Year Population* (in Lakh),Volume of Juvenile Crime (Per Lakh of Population)
1,1980,55129,1368529,4,6636,8.3
2,1981,61019,1385757,4.4,6901,8.8
3,1982,59345,1353904,4.4,7052,8.4
4,1983,55473,1349866,4.1,7204,7.7
5,1984,42803,1358660,3.2,7356,5.8
6,1985,49317,1384731,3.6,7509,6.6
7,1986,55887,1405835,4,7661,7.3
8,1987,52610,1406992,3.7,7814,6.7
9,1988**,24827,1440356,1.7,7966,3.1
10,1989,18457,1529844,1.2,8118,2.3
11,1990,15230,1604449,0.9,8270,1.8
