SL. No.,Crime Head,1986,1987,1988,1989,1990
1,Murder,1.9,2,2,2,2.2
2,Attempt to Commit Murder,*,*,1.4,1.6,1.7
3,C.H. Not Amounting to Murder,0.3,0.3,0.3,0.3,0.3
4,Rape,0.6,0.6,0.6,0.6,0.6
5,Kidnapping & Abduction,1.1,1.1,1.1,1.1,1.2
5,I) Of Women & Girls,*,*,1,0.9,0.9
5,II) Of Others,*,*,0.1,0.2,0.3
6,Dacoity,0.7,0.7,0.6,0.6,0.7
7,Preparation & Assembly for Dacoity,*,*,0.1,0.1,0.1
8,Robbery,1.6,1.6,1.5,1.5,1.6
9,Burglary,9.2,8.9,8.6,8.4,8.2
10,Theft,23,22.1,22.2,22.3,22
11,Riots,6.7,6.5,6.6,6.5,6.4
12,Criminal Breach of Trust,1.4,1.3,1.2,1.1,1
13,Cheating,1.6,1.6,1.6,1.5,1.5
14,Counterfeiting,0.1,0.1,0.1,0.1,0.2
15,Other IPC Crimes,51.8,53.3,52.1,52.1,52.4
16,Total Cognizable Crimes Under IPC,100,100,100,100,100
