SI.No.,Category,State/UT,Persons in Custody/ Bail During investigation at beginning of the Year,Persons Arrested during the year,Persons released by Police /Court before trial,Persons in Custody/Bail during investigation at the end of year,Persons in whose cases /chargesheets were laid,Persons under trial at the beginning of year,Total Persons under Trial During the Year,No. of Persons whose cases withdrawn or otherwise disposed of,Persons in Custody /Bail during trial at the end of the Year,Persons in whose cases trial Completed the Year,Persons Convicted,Persons Acquitted,Percentage of Persons Convicted to total persons whose trial Completed,Persons reported for regular Deptt.Action,Persons reported for suitable action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - awarded other Major punishment,Persons Punished Departmentally - awarded Minor Punishment,Gazetted or equal Status officers in government or public undertaking involved - Group 'A' officers,Gazetted or equal Status officers in government or public undertaking involved - Group 'B' officers,Non Gazetted or equal Status officers in Govt. or Public undertaking involved,Private Persons involved
1,State,Andhra Pradesh,0,76,76,0,60,290,350,7,0,64,27,37,42.2,103,1,9,2,66,41,33,0,72,2
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Bihar,0,27,27,2,121,216,337,2,0,4,4,0,100,10,0,0,0,0,4,62,56,34,39
4,State,Goa,3,0,0,0,2,8,10,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,State,Gujarat,264,230,186,189,254,579,605,26,797,22,5,17,22.7,4,45,0,0,0,0,28,47,159,10
6,State,Haryana,116,199,186,197,34,93,132,7,118,26,2,24,7.7,0,0,0,0,0,0,4,10,64,26
7,State,Himachal Pradesh,35,42,45,50,17,101,316,1,327,5,1,4,20,12,0,0,0,0,0,8,17,81,10
8,State,Jammu & Kashmir,0,0,0,0,22,356,378,0,378,12,0,12,0,60,13,0,0,0,0,0,0,45,10
9,State,Kerala,94,12,12,95,23,71,94,1,83,11,7,4,63.6,3,0,0,0,0,0,0,3,9,0
10,State,Madhya Pradesh,495,111,0,0,81,499,81,0,0,39,15,24,38.5,14,11,0,0,1,4,10,24,101,2
11,State,Maharashtra,1,42,42,0,224,963,478,51,502,153,62,91,40.5,14,0,1,0,4,2,11,8,270,31
12,State,Manipur,3,3,3,3,0,46,46,0,3,0,0,0,0,0,0,0,0,0,0,3,0,5,1
13,State,Meghalaya,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,State,Mizoram,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Orissa,39,124,124,124,92,612,704,0,704,22,6,16,27.3,31,2,0,0,1,5,17,53,129,31
17,State,Punjab,360,213,213,291,7,236,458,55,398,92,18,74,19.6,12,3,1,0,16,21,38,37,131,7
18,State,Rajasthan,86,108,108,108,86,653,93,6,93,29,7,22,24.1,61,0,0,0,0,0,12,95,110,60
19,State,Sikkim,1,2,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
20,State,Tamil Nadu,80,84,84,63,93,92,185,0,166,19,18,1,94.7,18,0,13,4,129,41,0,16,63,5
21,State,Uttar Pradesh,37,2,26,30,36,105,133,6,70,13,2,11,15.4,41,22,2,3,5,0,5,13,79,17
22,State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),State,Total (States),1621,1276,1133,1162,1154,4939,4402,162,3649,512,174,338,34,383,97,26,9,222,118,231,380,1354,251
23,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,UT,Chandigarh,4,0,0,4,4,4,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3
25,UT,D & N Haveli,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Delhi,76,42,42,89,29,106,135,5,130,5,0,5,0,16,23,0,0,3,2,0,1,41,0
28,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Pondicherry,4,0,0,4,0,6,6,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),84,42,42,97,33,116,146,6,135,8,0,8,0,16,23,0,0,3,2,0,1,41,3
Total (All -India),Total (All -India),Total (All -India),1705,1318,1175,1259,1187,5055,4548,168,3784,520,174,346,33.5,399,120,26,9,225,120,231,381,1395,254
