SL. No.,Year,Estimated Mid-Year Population* (In Lakhs)**,Incidences - Indian Penal Cade (IPC),Incidences - Local & Special Laws (LSL),Incidences - Total,Volume - Indian Penal Cade (IPC),Volume - Local & Special Laws (LSL),Volume - Total,Percentage of IPC Crimes to Total Cognizable Crimes
1,1981,6901,1385757,2546399,3932156,200.8,369,569.8,35.2
2,1982,7052,1353904,2970068,4323972,192,421.2,613.2,31.3
3,1983,7204,1349866,2921063,4270929,187.4,405.5,592.9,31.6
4,1984,7356,1358660,2916808,4275468,184.7,396.5,581.2,31.8
5,1985,7509,1384731,3096481,4481212,184.4,412.4,596.8,30.9
6,1986,7661,1405835,2984654,4390489,183.5,389.6,573.1,32
7,1987,7814,1406992,3589326,4996318,180.1,459.3,639.4,28.2
8,1988,7966,1440356,3765669,5206025,180.8,472.7,653.5,27.7
9,1989,8118,1529844,3847665,5377509,188.5,474,662.4,28.4
10,1990,8270,1604449,3293563,4898012,194,398.3,592.3,32.8
11,1991,8496,1678375,3370971,5049346,197.5,396.8,594.3,33.2
12,Percentage Change in 1991 Over 1981,23.1,21.1,32.4,28.4,-1.6,7.5,4.3,-5.7
13,Compound Growth Rate Per Annum,2.1,2,3,2.7,-0.1,1,0.6,-0.7
