SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,17,12,32,31,709,591,9071,7997,9829,8631
2,State,Arunachal Pradesh,2,1,12,5,49,39,1487,1361,1550,1406
3,State,Assam,40,39,124,53,740,730,18770,18024,19674,18846
4,State,Bihar,23,23,63,62,1102,1096,15890,15632,17078,16813
5,State,Goa,1,1,4,3,35,30,559,518,599,552
6,State,Gujarat,11,11,34,34,401,343,11815,11592,12261,11980
7,State,Haryana,7,6,16,13,299,284,4405,3390,4727,3693
8,State,Himachal Pradesh,3,3,15,14,145,133,2915,2748,3078,2898
9,State,Jammu & Kashmir,28,29,88,80,599,582,9976,9776,10691,10467
10,State,Karnataka,6,5,19,19,250,152,5464,5043,5921,5219
11,State,Kerala,15,15,29,27,262,244,6281,6153,6587,6439
12,State,Madhya Pradesh,34,34,131,131,2522,2522,24065,24065,26752,26752
13,State,Maharashtra,0,0,44,40,759,704,12714,12413,13517,13157
14,State,Manipur,25,12,54,30,255,200,6950,6340,7284,6582
15,State,Meghalaya,4,4,17,9,76,69,1985,1677,2082,1759
16,State,Mizoram,7,7,19,13,102,77,2413,1829,2541,1926
17,State,Nagaland,13,13,80,73,326,298,8064,8064,8483,8448
18,State,Orissa,17,0,80,0,424,395,6667,6486,7188,6881
19,State,Punjab,42,14,70,99,492,503,8999,9039,9603,9655
20,State,Rajasthan,16,16,44,44,299,237,9029,8201,9388,8498
21,State,Sikkim,1,2,5,3,28,12,787,567,821,584
22,State,Tamil Nadu,14,14,39,39,339,339,7822,7704,8214,8096
23,State,Tripura,10,7,42,10,251,165,5768,4424,6071,4606
24,State,Uttar Pradesh,44,42,138,80,1239,1160,33921,30399,35342,31681
25,State,West Bengal,30,29,104,95,906,836,21674,19338,22714,20298
Total (States),State,Total (States),410,339,1303,1007,12609,11741,237673,222780,251995,235867
26,UT,A & N Islands,1,1,1,1,17,19,490,392,509,413
27,UT,Chandigarh,0,0,2,1,46,35,1469,1335,1517,1371
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,11,10,30,25,547,549,10039,9678,10627,10262
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,2,2,30,29,796,793,828,824
Total (UTs),UT,Total (UTs),12,11,35,29,640,632,12796,12198,13481,12870
Total (All-India),Total (All-India),Total (All-India),422,350,1338,1036,13249,12373,250467,234978,265476,248737
33,City,Ahmedabad,1,1,3,2,36,20,2477,2477,2517,2500
34,City,Bangalore,2,2,10,10,167,159,3290,3280,3469,3451
35,City,Bombay,0,0,0,0,368,327,7142,6666,7510,6993
36,City,Calcutta,9,8,34,29,320,305,7387,7038,7750,7380
37,City,Delhi,11,10,30,25,547,549,10039,9678,10627,10262
38,City,Hyderabad,2,2,3,3,112,61,1864,1680,1981,1746
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,34,31,1898,1866,1932,1897
42,City,Madras,0,0,0,0,0,0,0,0,0,0
43,City,Nagpur,0,0,0,0,0,0,0,0,0,0
44,City,Pune,0,0,0,0,80,79,1486,1481,1566,1560
