SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,0,0,0,0,27,26,955,748,982,774
2,State,Arunachal Pradesh,0,0,0,0,13,7,52,123,65,130
3,State,Assam,0,0,0,0,22,22,201,199,223,221
4,State,Bihar,2,2,2,2,44,44,245,243,293,291
5,State,Goa,0,0,0,0,4,10,163,155,167,165
6,State,Gujarat,0,0,1,0,47,39,728,655,776,694
7,State,Haryana,0,0,0,0,19,19,169,169,188,188
8,State,Himachal Pradesh,0,0,1,1,3,7,41,191,45,199
9,State,Jammu & Kashmir,0,0,0,0,13,9,162,85,175,94
10,State,Karnataka,0,0,0,0,28,28,303,303,331,331
11,State,Kerala,0,0,0,0,25,25,467,456,492,481
12,State,Madhya Pradesh,0,0,1,1,133,133,926,926,1060,1060
13,State,Maharashtra,0,0,3,3,173,173,2084,2084,2260,2260
14,State,Manipur,0,0,0,4,1,6,243,235,244,245
15,State,Meghalaya,0,0,0,0,4,27,40,70,44,97
16,State,Mizoram,0,0,0,0,0,5,0,75,0,80
17,State,Nagaland,0,0,0,0,15,9,22,22,37,31
18,State,Orissa,0,0,1,1,59,57,169,166,229,224
19,State,Punjab,0,0,0,1,20,26,355,481,375,508
20,State,Rajasthan,1,1,1,1,28,28,511,511,541,541
21,State,Sikkim,0,0,0,1,0,15,0,12,0,28
22,State,Tamil Nadu,4,4,0,0,118,118,1140,1140,1262,1262
23,State,Tripura,0,0,0,0,25,25,175,175,200,200
24,State,Uttar Pradesh,0,0,0,0,53,138,1390,1390,1443,1528
25,State,West Bengal,0,0,1,1,176,124,259,181,436,306
Total (States),State,Total (States),7,7,11,16,1050,1120,10800,10795,11868,11938
26,UT,A & N Islands,0,0,0,0,4,4,43,43,47,47
27,UT,Chandigarh,0,0,0,0,2,14,22,118,24,132
28,UT,D & N Haveli,0,0,0,0,0,0,0,12,0,12
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,0,1,1,348,229,849,709,1198,939
31,UT,Lakshadweep,0,0,0,0,1,0,7,7,8,7
32,UT,Pondicherry,0,0,0,0,2,3,12,61,14,64
Total (UTs),UT,Total (UTs),0,0,1,1,357,250,933,950,1291,1201
Total (All-India),Total (All-India),Total (All-India),7,7,12,17,1407,1370,11733,11745,13159,13139
33,City,Ahmedabad,0,0,0,0,12,9,153,115,165,124
34,City,Bangalore,0,0,0,0,19,19,135,135,154,154
35,City,Bombay,0,0,3,3,117,66,606,539,726,608
36,City,Calcutta,0,0,1,1,83,78,80,78,164,157
37,City,Delhi,0,0,1,1,348,229,849,709,1198,939
38,City,Hyderabad,0,0,0,0,9,5,119,51,128,56
39,City,Jaipur,0,0,1,1,6,2,64,61,71,64
40,City,Kanpur,0,0,0,0,4,9,43,45,47,54
41,City,Lucknow,0,0,0,0,4,4,43,43,47,47
42,City,Madras,0,0,0,0,10,10,151,151,161,161
43,City,Nagpur,0,0,0,0,5,5,94,94,99,99
44,City,Pune,0,0,0,0,9,9,114,113,123,122
