SL. No.,Nature of Property,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage of Cases of Recover,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery
1,Communication and Electricity Wire,17233,5758,33.4,1057.5,258.6,24.5
2,Cattle,15031,9072,60.4,536.7,249.7,46.5
3,Cycle,39269,17322,44.1,339.2,149.4,44
4,"Motor Cars Including Lorries, Buses Etc.",7893,3956,50.1,7430.1,4328.4,58.3
5,"Motorcycle, Scooters Etc.",28136,10355,36.8,3634.9,1570.4,43.2
6,Fire Arms,738,222,30.1,70.4,21.9,31.1
7,Explosives,79,34,43,17.3,2.9,16.8
8,Electronic Equipment,8634,2799,32.4,609.1,153.1,25.1
9,Cultural Property Including Antiques,964,242,25.1,213.6,145.2,68
10,Other Kinds of Property Stolen,497281,178475,35.9,53313.2,10882.8,20.4
11,Total,613606,227738,37.1,67209.6,17759,26.4
