SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Law etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 4+5+6) (Col. 7),Percentage of Cases Pending Investigation (Col. 8)
1,Murder,0.2,2.1,13.3,48.2,63.6,36.2
2,Attempt to Commit Murder,0.3,3.3,11.2,56.8,71.3,28.4
3,C.H. Not Amounting to Murder,0,2.2,9.3,49.5,61.1,38.8
4,Rape,0.1,5.6,3.9,59.6,69,30.9
5,Kidnapping & Abduction,0.4,16.6,13,37.1,66.7,32.8
5,I) Of Women & Girls,0.4,18.9,11.3,36.5,66.7,32.9
5,II) Of Others,0.5,11.4,16.9,38.5,66.7,32.8
6,Dacoity,0.2,4.4,18.1,26,48.4,51.3
7,Preparation & Assembly for Dacoity,0.1,0.1,8,60.1,68.2,31.7
8,Robbery,0.2,8.4,26.5,34.3,69.2,30.7
9,Burglary,0.2,3.6,45.2,30.1,78.8,21
10,Theft,0.4,3.8,43.8,31,78.7,21
11,Riots,0.2,8,7.8,54.6,70.4,29.5
12,Criminal Breach of Trust,0.9,8.6,15.6,33.5,57.8,41.4
13,Cheating,0.9,11.9,15.2,31,58.1,41.1
14,Counterfeiting,27.9,9.2,20.4,6.2,35.8,36.3
15,Other IPC Crimes,0.6,5.6,9.6,66.8,82,17.4
16,Total Cognizable Crimes Under IPC,0.6,5.4,20.1,52,77.5,21.9
