SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Adilabad,122,58,5,17,31,25,6,71,0,53,161,289,44,21,22,4,1495,2393
2,Andhra Pradesh,Anantpur,179,41,1,17,40,28,12,36,0,31,217,642,309,9,39,16,1871,3448
3,Andhra Pradesh,Chittoor,158,49,0,32,79,52,27,51,1,45,345,1308,411,27,106,67,3459,6138
4,Andhra Pradesh,Cuddapah,121,81,1,15,44,39,5,21,0,22,114,454,264,10,26,18,1938,3129
5,Andhra Pradesh,Godavari East,81,94,0,42,40,10,30,6,0,22,371,1445,118,63,125,20,3213,5640
6,Andhra Pradesh,Godavari West,69,46,2,43,40,22,18,30,0,38,301,1035,100,30,112,9,2457,4312
7,Andhra Pradesh,Guntur,211,210,1,102,67,36,31,58,2,93,446,1231,268,79,136,18,3843,6765
8,Andhra Pradesh,Hyderabad,153,140,6,41,103,46,57,28,0,126,1344,3594,267,83,424,130,3867,10306
9,Andhra Pradesh,Karimnagar,156,61,3,27,25,15,10,56,0,75,157,230,217,13,79,8,2287,3394
10,Andhra Pradesh,Khammam,95,36,0,31,27,21,6,21,0,28,189,407,106,21,78,0,2234,3273
11,Andhra Pradesh,Krishna,105,134,1,66,64,50,14,46,0,66,497,1694,155,49,158,37,3475,6547
12,Andhra Pradesh,Kurnool,169,60,0,14,29,15,14,11,0,24,144,356,107,7,59,5,1825,2810
13,Andhra Pradesh,Mahaboob Nagar,140,42,26,38,39,19,20,35,0,48,228,438,145,27,50,3,2436,3695
14,Andhra Pradesh,Medak,118,46,2,21,38,16,22,64,0,99,269,466,117,24,28,6,1805,3103
15,Andhra Pradesh,Nalgonda,111,7,2,31,37,9,28,35,0,69,168,424,199,20,33,6,1407,2549
16,Andhra Pradesh,Nellore,76,51,1,34,42,34,2,58,0,53,226,689,125,19,40,35,2432,3881
17,Andhra Pradesh,Nizambad,149,41,7,37,44,25,19,62,0,84,246,419,251,16,39,4,1863,3262
18,Andhra Pradesh,Prakasham,94,76,1,31,36,18,18,37,1,30,171,374,129,23,56,8,2006,3073
19,Andhra Pradesh,Ranga Reddy,147,90,6,33,52,25,27,38,0,90,600,991,156,31,73,0,2607,4914
20,Andhra Pradesh,Srikakulam,43,9,0,20,20,14,6,11,0,3,124,243,29,18,31,0,1240,1791
21,Andhra Pradesh,Vishakhapatnam,97,44,2,35,14,14,0,11,0,57,577,1523,116,83,147,15,3124,5845
22,Andhra Pradesh,Vizianagaram,30,25,0,19,7,4,3,10,0,7,133,301,38,10,52,6,4234,4872
23,Andhra Pradesh,Warangal,142,69,7,25,37,24,13,45,0,47,220,464,222,6,57,8,1840,3189
24,Andhra Pradesh,Guntakal Rly.,2,0,0,1,0,0,0,1,0,1,0,226,0,0,0,4,104,339
25,Andhra Pradesh,Secunderabad Rly.,11,0,0,1,0,0,0,3,0,5,0,317,6,0,3,14,50,410
26,Andhra Pradesh,Vijyawada Rly.,1,2,0,0,0,0,0,1,0,3,0,209,3,3,3,2,27,254
27,Andhra Pradesh,Total,2780,1512,74,773,955,561,394,846,4,1219,7248,19769,3902,692,1976,443,57139,99332
1,Arunachal Pradesh,Changlang,6,3,0,1,3,3,0,0,0,3,16,15,2,3,3,1,96,152
2,Arunachal Pradesh,Dibang Valley,6,3,0,3,5,4,1,4,0,1,7,19,1,1,0,0,67,117
3,Arunachal Pradesh,Kameng East,4,3,0,2,9,7,2,0,0,2,9,18,0,1,0,0,66,114
4,Arunachal Pradesh,Kameng West,2,1,0,0,4,2,2,2,0,4,12,23,0,2,1,0,67,118
5,Arunachal Pradesh,Lohit,11,2,0,0,6,4,2,5,0,3,23,29,1,4,1,0,61,146
6,Arunachal Pradesh,Papum Pare,6,2,0,6,9,1,8,4,0,8,48,73,0,3,2,0,130,291
7,Arunachal Pradesh,Siang East,5,1,1,6,4,4,0,4,0,7,15,37,3,3,1,1,129,217
8,Arunachal Pradesh,Siang West,4,9,0,3,5,3,2,3,0,6,19,18,1,4,3,0,89,164
9,Arunachal Pradesh,Subansiri Lower,6,9,0,0,4,1,3,1,0,9,20,19,7,6,2,0,68,151
10,Arunachal Pradesh,Subansiri Upper,3,2,0,1,2,2,0,1,0,2,26,12,1,2,1,0,75,128
11,Arunachal Pradesh,Tawang,0,1,0,1,0,0,0,0,0,2,4,5,0,0,0,0,13,26
12,Arunachal Pradesh,Tirap,2,3,2,2,3,2,1,3,0,7,25,15,3,7,4,0,122,198
13,Arunachal Pradesh,Total,55,39,3,25,54,33,21,27,0,54,224,283,19,36,18,2,983,1822
1,Assam,Barpeta,44,8,0,26,56,49,7,40,0,89,234,349,531,20,33,1,884,2315
2,Assam,Bongaigaon,29,5,1,8,24,24,0,12,0,17,109,184,226,11,7,1,372,1006
3,Assam,Cachar,54,14,0,15,82,75,7,18,1,26,274,629,630,38,32,2,1153,2968
4,Assam,Darrang,75,10,8,14,43,26,17,38,0,51,136,218,90,40,11,0,331,1065
5,Assam,Dheonaji,21,9,1,13,23,16,7,15,0,18,37,118,98,2,2,0,285,642
6,Assam,Dhubri,41,8,2,33,57,51,6,11,0,6,192,327,674,16,29,4,928,2320
7,Assam,Dibrugarh,118,15,2,19,81,69,12,25,0,96,139,468,57,18,19,0,966,2023
8,Assam,Goalpara,25,4,0,11,11,10,1,17,0,10,71,208,191,8,11,0,287,854
9,Assam,Golaghat,62,22,3,32,50,42,8,12,0,57,105,287,62,10,20,6,571,1299
10,Assam,Hailakandi,22,4,0,20,29,29,0,6,1,7,149,273,319,11,16,0,562,1419
11,Assam,Jorhat,51,8,1,16,67,47,20,17,0,66,157,373,76,22,20,2,761,1637
12,Assam,Karbi Anglong,24,10,3,12,39,27,12,36,0,36,113,261,129,10,10,3,384,1070
13,Assam,Kamrup,60,18,2,44,132,102,30,95,4,132,498,1436,336,141,143,8,1538,4587
14,Assam,Karimaganj,20,17,0,20,33,31,2,13,0,4,127,210,336,6,12,0,368,1166
15,Assam,Kokrajhar,33,9,0,16,30,30,0,18,0,7,87,212,224,3,18,0,335,992
16,Assam,Lakhimpur,34,14,5,45,62,41,21,23,0,39,179,312,107,6,33,0,773,1632
17,Assam,Morigaon,18,13,4,20,40,37,3,16,0,22,92,218,120,4,18,0,404,989
18,Assam,N.C. Hills,10,5,0,4,11,11,0,8,0,15,22,47,9,4,1,0,90,226
19,Assam,Nagaon,107,27,3,23,91,89,2,68,3,55,430,580,1865,40,22,3,1659,4976
20,Assam,Nalbari,33,15,0,24,32,28,4,99,0,78,181,211,129,10,14,0,457,1283
21,Assam,Sibsagar,61,8,4,45,79,76,3,27,0,84,146,575,96,26,24,5,1267,2447
22,Assam,Sonitpur,74,26,1,34,83,67,16,41,0,54,302,684,212,25,29,0,888,2453
23,Assam,Tinsukia,95,12,20,39,46,43,3,15,4,72,245,556,246,17,11,0,57,1435
24,Assam,Total,1111,281,60,533,1201,1020,181,670,13,1041,4025,8736,6763,488,535,35,15320,40812
1,Bihar,Aurangabad,71,12,1,3,22,15,7,59,5,52,140,258,290,29,14,0,1200,2156
2,Bihar,Banka,100,30,5,5,13,0,13,108,0,42,121,191,376,0,0,0,948,1939
3,Bihar,Begusarai,156,36,2,11,57,57,0,45,5,60,160,337,430,24,54,0,1408,2785
4,Bihar,Bhabhua,46,54,3,5,27,2,25,53,3,11,57,160,158,15,11,0,402,1005
5,Bihar,Bhagalpur,197,52,6,17,60,29,31,65,12,186,227,423,426,16,35,0,1662,3384
6,Bihar,Bhajpur,91,98,6,18,40,20,20,67,6,37,164,375,243,37,31,0,1476,2689
7,Bihar,Bukaro,84,55,9,28,50,50,0,17,0,62,176,723,259,30,35,0,1163,2691
8,Bihar,Buxar,61,71,0,14,30,0,30,58,2,30,93,310,171,44,18,0,562,1464
9,Bihar,Champaran East,96,219,10,15,47,13,34,46,8,33,174,339,296,49,43,0,919,2294
10,Bihar,Champaran West,107,204,14,46,406,46,360,120,15,89,260,885,892,105,97,0,2354,5594
11,Bihar,Chatra,36,0,0,3,11,5,6,32,0,8,55,113,105,0,0,0,387,750
12,Bihar,Darbhanga,62,6,7,25,32,14,18,22,2,49,179,271,571,18,49,0,1356,2649
13,Bihar,Deoghar,54,96,3,30,21,21,0,57,0,43,188,293,258,31,35,0,919,2028
14,Bihar,Dhanbad,129,171,12,36,52,38,14,141,28,147,423,912,486,53,48,0,1732,4370
15,Bihar,Dumea,72,70,29,55,22,16,6,41,5,30,148,255,170,131,18,0,730,1776
16,Bihar,Garwa,26,1,0,10,11,0,11,39,0,13,59,79,130,3,9,0,414,794
17,Bihar,Gaya,165,222,9,24,38,0,38,61,13,98,189,474,342,32,42,0,1663,3372
18,Bihar,Giridih,50,46,20,15,23,10,13,70,4,35,125,265,250,25,17,0,879,1824
19,Bihar,Godda,58,22,2,25,23,23,0,28,2,36,84,153,158,4,4,0,664,1263
20,Bihar,Gopalganj,80,38,8,18,70,26,44,146,6,75,105,313,243,72,38,0,1261,2473
21,Bihar,Gumla,185,91,15,41,36,28,8,36,2,54,72,222,35,14,10,0,684,1497
22,Bihar,Hazaribagh,116,79,4,34,26,24,2,76,8,99,265,578,264,10,16,0,1773,3348
23,Bihar,Jamshedpur,136,201,13,22,36,0,36,19,10,91,177,802,182,34,46,0,589,2628
24,Bihar,Jamui,62,86,4,13,50,50,0,65,0,30,102,235,196,4,22,2,512,1383
25,Bihar,Jehanabad,69,82,3,15,30,0,30,39,8,42,92,126,282,14,14,0,808,1624
26,Bihar,Katihar,70,114,18,45,54,18,36,48,0,38,74,461,233,42,28,0,941,2166
27,Bihar,Khagaria,49,55,1,14,40,6,34,26,9,37,62,212,538,7,23,0,242,1315
28,Bihar,Kishanganj,19,2,4,38,35,32,3,37,0,23,48,133,125,9,7,0,462,942
29,Bihar,Loharadagga,40,7,4,11,8,8,0,13,0,34,28,123,28,4,7,0,169,476
30,Bihar,Madhepura,42,28,2,16,34,22,12,48,0,42,19,227,318,6,8,0,328,1118
31,Bihar,Madhubani,29,94,4,18,20,16,4,60,2,29,257,333,372,9,6,0,2370,3603
32,Bihar,Munger,180,133,2,16,164,0,164,98,0,86,18,1053,544,26,41,1,1087,3449
33,Bihar,Muzaffarpur,126,95,12,34,86,20,66,148,13,162,379,712,375,38,63,0,2443,4686
34,Bihar,Nalanda,148,181,23,21,86,16,70,40,2,77,138,474,241,26,39,6,2132,3634
35,Bihar,Nawada,60,56,5,3,36,26,10,30,5,25,67,198,268,5,21,0,779,1558
36,Bihar,Palamau,129,71,0,31,29,0,29,78,0,65,141,319,263,0,8,0,1242,2376
37,Bihar,Patna,418,696,48,31,250,41,209,110,13,337,621,3094,832,181,174,3,4267,11075
38,Bihar,Praria,48,48,1,37,31,31,0,67,0,43,110,419,445,9,28,0,526,1812
39,Bihar,Purnia,101,63,9,29,64,20,44,116,4,110,171,477,601,33,28,0,925,2731
40,Bihar,Rahtas,111,63,103,18,57,12,45,132,16,83,203,657,185,15,34,0,1120,2797
41,Bihar,Ranchi,332,109,32,38,88,71,17,81,21,362,313,1308,302,49,27,2,2259,5323
42,Bihar,Saharsa,25,145,8,6,32,32,0,17,3,14,55,131,268,22,17,0,961,1704
43,Bihar,Sahebganj,87,110,7,61,41,0,41,57,0,27,44,324,175,38,45,0,790,1806
44,Bihar,Samastipur,90,115,65,14,40,40,0,96,16,75,118,272,254,53,64,0,1255,2527
45,Bihar,Saran,128,291,20,21,64,30,34,95,8,77,238,339,365,23,50,0,2377,4096
46,Bihar,Singhbhum,220,131,6,24,34,0,34,38,7,35,90,317,83,26,31,0,848,1890
47,Bihar,Sitamarhi,58,104,44,15,40,0,40,38,5,26,145,189,276,25,4,0,1360,2332
48,Bihar,Siwan,89,94,15,12,35,35,0,95,9,67,209,240,180,25,10,0,1411,2491
49,Bihar,Supaul,24,41,8,18,33,3,30,37,4,24,75,196,188,4,25,0,812,1489
