SL.No.,State/UT/City,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registration of Foreigners Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Other LSL Crimes,Total Cognizable Crimes Under LSL
1,Andhra Pradesh,5,0,92,0,0,0,19,0,0,1,0,0,0,0,0,227,344
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,0,1,4,0,2,1,0,0,1,0,0,0,0,0,0,1,10
4,Bihar,42,0,56,9,0,7,0,2,0,0,0,0,0,0,10,25,151
5,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,0,1,46,0,385,0,0,1,0,1,0,0,0,0,0,235,669
7,Haryana,0,0,6,45,0,0,0,0,0,0,0,0,0,0,0,0,51
8,Himachal Pradesh,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,0,0,1,1,0,0,20,0,0,1,0,0,0,0,1,27,51
11,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Madhya Pradesh,16,7,39,40,0,5,0,1,0,0,0,0,0,0,0,117,225
13,Maharashtra,26,3,559,0,819,0,6,2,0,0,0,0,0,0,0,410,1825
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
16,Mizoram,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,6,14
17,Nagaland,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4
18,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Rajasthan,4,0,11,16,0,0,1,9,0,0,0,0,0,0,0,7,48
21,Sikkim,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
22,Tamil Nadu,0,1,13,0,179,0,47,0,0,0,0,0,0,0,0,3790,4030
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,69,72
25,West Bengal,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
Total (States),Total (States),94,20,828,117,1385,13,93,15,12,3,0,0,0,0,11,4918,7509
26,A & N Islands,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,2,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,21
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),2,0,0,18,0,0,2,0,0,0,0,0,0,0,0,1,23
Total (All -India),Total (All -India),96,20,828,135,1385,13,95,15,12,3,0,0,0,0,11,4919,7532
33,Ahmedabad,0,0,24,0,50,0,0,0,0,0,0,0,0,0,0,44,118
34,Bangalore,0,0,0,1,0,0,20,0,0,1,0,0,0,0,1,5,28
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Bombay,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,45,63
37,Calcutta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73
39,Delhi,2,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,14
40,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
41,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,24,0,51,0,9,0,0,0,0,0,0,0,0,81,165
48,Madurai,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,147,162
49,Nagpur,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,19,24
50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Pune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Surat,0,0,17,0,169,0,0,0,0,0,0,0,0,0,0,98,284
53,Vadodara,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,8
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
