SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,7407,453.2,1449,86.6,0,0,752,64.9,1,0,1624,77.7,8536,410.5,19769,1092.9
2,Arunachal Pradesh,145,22.1,6,0.1,0,0,0,0,0,0,44,2.6,88,13.5,283,38.3
3,Assam,5378,423.2,55,1.4,11,0.2,48,2.4,0,0,554,42.9,2690,270.2,8736,740.4
4,Bihar,19290,327.2,1095,7,3,0.3,1628,40.2,0,0,480,4.3,947,67.4,23443,446.3
5,Goa,255,23.8,1,2,11,0.6,19,0.7,0,0,77,4.6,709,71,1072,100.9
6,Gujarat,4920,530.5,82,63.1,39,6.6,831,51.8,5,1.6,1385,226.1,16361,1061.6,23623,1941.3
7,Haryana,1743,331.9,2,10.3,0,0,110,6.4,0,0,107,12.5,2054,473.4,4016,834.5
8,Himachal Pradesh,107,6,21,21.2,0,0,2,0.1,0,0,18,4.8,878,139,1026,191.1
9,Jammu & Kashmir,650,45,4,3.1,0,0,2,0,0,0,16,12,1917,370.7,2589,430.8
10,Karnataka,5248,637.4,139,46.6,7,0.3,335,25,4,2.8,1040,80.6,9923,750.3,16696,1542.8
11,Kerala,1549,161,137,15.9,110,8.6,5,5.5,8,21.8,239,0.6,1828,337.2,3876,550.6
12,Madhya Pradesh,14686,603.3,836,70.2,196,4.5,1292,70.3,8,1.2,1103,67.2,18903,1028.1,37024,1844.8
13,Maharashtra,18470,2523.7,670,90.2,29,2.8,2933,203.9,18,6,1971,912.2,34419,3645.8,58510,7384.5
14,Manipur,178,24.5,9,0.7,1,0.1,0,0,0,0,4,0,160,17.5,352,42.7
15,Meghalaya,273,15,89,1.6,0,0,0,0,0,0,90,1.7,241,14.8,693,33.2
16,Mizoram,488,69.5,0,0,0,0,0,0,0,0,19,3.9,75,2.4,582,75.8
17,Nagaland,155,26.2,3,0.2,0,0,0,0,8,0,28,8.4,134,21.1,328,55.9
18,Orissa,1132,2413.3,0,0,0,0,0,0,0,0,7,0.3,9273,127,10412,2540.6
19,Punjab,645,238.1,68,44.3,0,0,18,0.9,0,0,48,26.4,767,320,1546,629.7
20,Rajasthan,5187,412.6,0,0,3,0,493,22.7,0,0,304,27.8,9658,905.6,15645,1368.6
21,Sikkim,65,6,0,0,0,0,0,0,0,0,11,0.3,62,26.8,138,33
22,Tamil Nadu,10393,46.7,328,9.5,37,1,623,60.3,12,0.4,2404,72.6,12193,993.2,25990,1183.7
