SL. No.,Crime Head,Total no. of persons under arrest* including those from previous year,Persons release before trial - No.,Persons release before trial - Percentage to total,Persons chargesheeted - No.,Persons chargesheeted - Percentage to total,Persons under investigation at the end of the year - No.,Persons under investigation at the end of the year - Percentage to total
1,Arms Act,80104,1276,1.6,67293,84,11535,14.4
2,Narcotic Drugs & Psychotropic Substances Act,34967,463,1.3,22291,63.7,12213,34.9
3,Gambling Act,349269,874,0.3,334096,95.7,14299,4.1
4,Excise Act,117508,5316,4.5,97076,82.6,15116,12.9
5,Prohibition Act,733135,9581,1.3,624826,85.2,98728,13.5
6,Explosive & Explosive Substances Act,11597,412,3.6,7189,62,3996,34.5
7,Immoral Traffic (P) Act,16827,76,0.5,15514,92.2,1237,7.4
8,Indian Railways Act,28327,1123,4,25413,89.7,1791,6.3
9,Registration of Foreigners Act,3622,117,3.2,3183,87.9,322,8.9
10,Protection Of Civil Rights Act,11580,543,4.7,8951,77.3,2086,18
11,Indian Passport Act,3037,8,0.3,2496,82.2,533,17.6
12,Essential Commodities Act,13137,703,5.4,7691,58.5,4743,36.1
13,Terrorist & Disruptive Actvites Act,8753,1410,16.1,1761,20.1,5582,63.8
14,Antiquity & Art Treasure Act,45,1,2.2,35,77.8,9,20
15,Dowry Prohibition Act,8033,622,7.7,5322,66.3,2089,26
16,Other L & SL Crimes,3397843,293704,8.6,2977496,87.6,126643,3.7
17,Total Cognizable Crimes Under L & SL,4817784,316229,6.6,4200633,87.2,300922,6.2
