SL. No.,Year,Estimated Mid-Year Population* (in Lakhs)**,Incidence - Indian Penal Code,Incidence - Local Acts & Special Laws,Incidence - Total,Rate - Indian Penal Code,Rate - Local Acts & Special Laws,Rate - Total,Percentage of Indian Penal Code Crimes to total Cognizable Crimes
1,1983,7204,1349866,2921063,4270929,187.4,405.5,592.9,31.6
2,1984,7356,1358660,2916808,4275468,184.7,396.5,581.2,31.8
3,1985,7509,1384731,3096481,4481212,184.4,412.4,596.8,309
4,1986,7661,1405835,2984654,4390489,183.5,389.6,573.1,32
5,1987,7814,1406992,3589326,4996318,180.1,459.3,639.4,28.2
6,1988,7966,1440356,3765669,5206025,180.8,472.7,653.5,27.7
7,1989,8118,1529844,3847665,5377509,188.5,474,662.4,28.4
8,1990,8270,1604449,3293563,4898012,194,398.3,592.3,32.8
9,1991,8496,1678375,3370971,5049346,197.5,396.8,594.3,33.2
10,1992,8677,1689341,3558448,5247789,194.7,410.1,604.8,32.2
11,1993,8838,1629936,3803638,5433574,184.4,430.4,614.8,30
12,Percentage change in 1993 over 1983,22.7,20.7,30.2,27.2,-1.6,6.1,3.7,-5.1
13,Compound growth rate per annum,2.1,2.5,2.4,2.5,0.4,0.4,0.4,0.1
