SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trail - Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trail - In which Trails were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trail - In which Trails were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trail - In which Trails were Completed - Total (Col. 4+5) (Col. 6),Percentage of Cases to Total Cases for Trail - Pending Trial (Col. 7)
1,Murder,0.2,6.3,8.9,15.3,84.5
2,Attempt to Commit Murder,0.8,6.3,9.9,16.2,83
3,C.H. Not Amounting to Murder,0.7,6.8,9.2,16,83.3
4,Rape,0.4,5,11.5,16.5,83.2
5,Kidnapping & Abduction,1.3,4.8,10.2,15,83.7
5,I) Of Women & Girls,1.3,4.1,10.1,14.2,84.5
5,II) Of Others,1.1,7.1,10.6,17.7,81.2
6,Dacoity,0.3,3.2,8.5,11.7,88
7,Preparation & Assembly for Dacoity,0.1,6.8,10.1,16.9,83
8,Robbery,0.4,4.3,8.2,12.6,87
9,Burglary,1.6,7.6,9.4,17,81.4
10,Theft,1.4,8.4,8.2,16.6,82.1
11,Riots,3.6,3.9,9.5,13.4,83
12,Criminal Breach of Trust,1.4,3.5,7.6,11.2,87.4
13,Cheating,1.9,4.1,7,11.2,87
14,Counterfeiting,3.2,5,10.1,15.1,81.8
15,Other IPC Crimes,3.9,8.6,9.2,17.8,78.3
16,Total Cognizable Crimes Under IPC,3.1,7.7,9,16.7,80.2
