SL. No.,State/UT/City,Killed - In Dacoity Operation or Other Raids,Killed - By Riotous Mobs,Killed - By Other Criminals,Killed - On Border Outies,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation or Other Raids,Injured - By Riotous Mobs,Injured - By Other Criminals,Injured - On Border Outies,Injured - In Accidents,Injured - Total
1,Andhra Pradesh,8,2,22,0,11,43,12,53,80,4,22,171
2,Arunachal Pradesh,0,0,1,0,1,2,0,0,4,0,2,6
3,Assam,2,1,19,0,2,24,4,52,15,0,1,72
4,Bihar,2,3,5,0,10,21,21,41,26,0,14,102
5,Goa,0,0,0,0,0,0,0,29,3,0,1,33
6,Gujarat,0,2,1,0,34,37,4,142,21,7,35,209
7,Haryana,0,0,6,0,26,32,9,14,2,2,13,40
8,Himachal Pradesh,0,0,1,2,2,5,0,0,0,0,1,1
9,Jammu & Kashmir,0,0,77,0,6,83,0,4,386,0,8,398
10,Karnataka,0,0,1,0,9,10,6,534,42,0,55,637
11,Kerala,0,0,0,0,0,0,1,400,117,2,53,573
12,Madhya Pradesh,0,0,10,1,8,19,10,35,44,1,14,104
13,Maharashtra,5,0,8,4,25,42,23,496,192,10,99,820
14,Manipur,2,3,11,0,0,16,1,1,14,0,1,17
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,0,0,8,0,1,9,0,0,5,0,2,7
18,Orissa,1,0,1,0,1,3,48,10,20,0,1,79
19,Punjab,2,0,39,2,61,104,0,0,20,0,31,51
20,Rajasthan,0,0,1,0,31,32,0,22,36,0,52,110
21,Sikkim,0,0,0,0,0,0,0,5,0,0,0,5
22,Tamil Nadu,0,1,2,7,17,27,36,203,32,2,108,381
23,Tripura,9,0,7,0,1,17,6,0,14,0,0,20
24,Uttar Pradesh,5,2,23,5,32,67,20,90,53,15,39,217
25,West Bengal,5,1,0,0,6,12,35,292,18,0,3,348
Total (States),Total (States),41,15,244,21,284,605,236,2423,1144,43,555,4401
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,2,2,0,0,0,0,1,1
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,2,0,0,0,2
30,Delhi,0,0,0,0,9,9,3,97,30,3,25,158
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,1,1,0,2,5,0,0,7
Total (UTs),Total (UTs),0,0,0,0,12,12,3,101,35,3,26,168
Total (All -India),Total (All -India),41,15,244,21,296,617,239,2524,1179,46,581,4569
33,Ahmedabad,0,1,0,0,3,4,0,27,0,0,3,30
34,Bangalore,0,0,0,0,0,0,0,53,6,0,4,63
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0
36,Bombay,1,0,0,0,2,3,5,180,27,0,16,228
37,Calcutta,0,0,0,0,0,0,4,134,8,0,0,146
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,23,23
39,Delhi,0,0,0,0,9,9,3,97,30,3,25,158
40,Hyderabad,1,0,0,0,0,1,2,0,0,0,0,2
41,Indore,0,0,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,16,16,0,0,0,0,13,13
43,Kanpur,0,2,0,0,3,5,0,24,0,0,2,26
44,Kochi,0,0,0,0,0,0,0,36,8,0,6,50
45,Lucknow,0,0,0,0,0,0,0,0,2,0,2,4
46,Ludhiana,0,0,1,0,7,8,0,0,0,0,3,3
47,Madras,0,0,0,0,0,0,6,2,9,1,43,61
48,Madurai,0,0,0,0,1,1,0,19,2,0,3,24
49,Nagpur,0,0,0,0,0,0,0,57,0,0,0,57
50,Patna,0,0,0,0,0,0,0,0,0,0,0,0
51,Pune,0,0,0,0,1,1,0,0,8,0,5,13
52,Surat,0,0,0,0,0,0,0,9,0,0,0,9
53,Vadodara,0,0,0,0,2,2,0,0,3,0,4,7
54,Varanasi,0,0,0,0,4,4,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0
