SL. No.,State/UT/City,DG/DIG/SP - Sanctioned,DG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctined,Grand Total - Actual
1,Andhra Pradesh,172,166,292,277,5519,5299,57679,55416,63662,61158
2,Arunachal Pradesh,22,16,36,29,436,380,2327,2261,2821,2686
3,Assam,160,160,161,161,4778,4613,21034,20634,26133,25568
4,Bihar,228,214,397,384,12529,12295,49726,48303,62880,61196
5,Goa,9,8,15,13,228,217,1902,1750,2154,1988
6,Gujarat,109,109,175,175,3295,3295,49219,49219,52798,52798
7,Haryana,63,74,113,100,2808,2611,22748,21901,25732,24686
8,Himachal Pradesh,88,88,81,77,1201,1168,7582,7154,8952,8487
9,Jammu & Kashmir,90,90,172,172,2802,2523,15923,15306,18987,18091
10,Karnataka,137,136,239,146,5228,4614,44426,40368,50030,45264
11,Kerala,68,68,165,165,2297,2085,30979,28818,33509,31136
12,Madhya Pradesh,261,261,571,571,7950,7950,53778,53778,62560,62560
13,Maharashtra,191,184,453,449,14101,13365,109863,101510,124608,115508
14,Manipur,36,32,50,46,1089,799,4127,3834,5302,4711
15,Meghalaya,31,28,29,19,1055,951,5129,4420,6244,5418
16,Mizoram,23,23,42,36,889,790,2205,1970,3159,2819
17,Nagaland,39,39,41,41,713,713,6851,6851,7644,7644
18,Orissa,141,135,194,192,5362,4830,21575,20716,27272,25873
19,Punjab,210,201,292,278,6545,5352,54115,43898,61162,49729
20,Rajasthan,246,185,294,275,5277,4723,42053,40535,47870,45718
21,Sikkim,24,22,38,26,216,257,1666,1635,1944,1940
22,Tamil Nadu,191,170,391,318,6081,5350,57983,51175,64646,57013
23,Tripura,35,25,67,43,1301,955,3717,3359,5120,4382
24,Uttar Pradesh,343,217,925,685,13137,11058,118806,108626,133211,120586
25,West Bengal,148,140,278,247,12049,11351,47064,44804,59539,56542
Total (States),Total (States),3065,2791,5511,4925,116886,107544,832477,778241,957939,893801
26,A & N Islands,3,3,12,11,349,311,1573,1450,1937,1775
27,Chandigarh,4,4,9,9,416,416,2187,2187,2616,2616
28,D & N Haveli,0,0,1,1,14,13,229,209,244,223
29,Daman & Diu,1,1,2,2,22,15,242,229,267,247
30,Delhi,54,51,155,137,8591,7197,31781,30297,40581,37682
31,Lakshadweep,1,1,1,1,53,49,296,259,351,310
32,Pondicherry,3,3,12,12,119,91,966,879,1100,985
Total (UTs),Total (UTs),66,63,192,173,9664,8092,37274,36610,47096,43838
Total (All -India),Total (All -India),3131,2854,5703,5098,126450,116636,869751,813751,1005035,937639
33,Ahmedabad,15,15,16,16,684,671,6447,6288,7162,6990
34,Bangalore,12,12,18,14,1047,1029,6778,6738,7855,7793
35,Bhopal,3,3,16,16,316,316,2433,2433,2768,2768
36,Bombay,41,41,97,97,5286,4761,23530,21988,28954,26887
37,Calcutta,23,21,94,85,2994,2870,11179,10892,14290,13868
38,Coimbatore,4,4,9,9,138,133,1851,1647,2002,1793
39,Delhi,54,51,155,137,8591,7197,31781,30297,40581,37682
40,Hyderabad,21,21,35,35,620,620,5308,5215,5984,5891
41,Indore,0,3,0,10,278,278,2484,2484,2762,2775
42,Jaipur,7,7,17,17,488,487,4871,4871,5383,5382
43,Kanpur,3,3,15,16,519,492,4887,4793,5424,5304
44,Kochi,1,1,6,6,92,91,1199,1150,1298,1248
45,Lucknow,4,4,13,13,426,399,2849,2773,3292,3189
46,Ludhiana,4,7,8,10,260,260,2891,2888,3163,3165
47,Madras,13,11,46,43,876,758,9658,8844,10593,9656
48,Madurai,12,12,1,1,155,143,2122,2114,2290,2270
49,Nagpur,7,6,12,12,583,551,4669,4526,5271,5095
50,Patna,4,4,7,7,683,404,4292,4249,4986,4664
51,Pune,6,6,12,12,485,485,3515,3515,4018,4018
52,Surat,8,8,9,9,225,167,2318,1969,2560,2153
53,Vadodara,5,5,7,7,211,165,1952,1918,2175,2095
54,Varanasi,2,2,5,5,138,143,1474,1461,1619,1611
55,Vishakhapatnam,2,2,4,4,102,102,1065,1034,1173,1142
