SL. No.,State/ UT/ City,No. of Cases Reported,Number of Victims - Below 10 Years,Number of Victims - 10-16 Years,Number of Victims - 16-30 Years,Number of Victims - 30 Years and Above
1,Andhra Pradesh,840,63,238,430,109
2,Arunachal Pradesh,29,0,11,18,0
3,Assam,560,24,85,361,90
4,Bihar,1118,8,213,701,196
5,Goa,14,4,7,3,0
6,Gujarat,355,25,79,170,81
7,Haryana,235,31,73,99,32
8,Himachal Pradesh,100,8,28,48,16
9,Jammu & Kashmir,115,6,6,85,18
10,Karnataka,232,27,72,110,23
11,Kerala,211,10,44,132,25
12,Madhya Pradesh,2658,94,590,1491,483
13,Maharashtra,1145,104,371,583,87
14,Manipur,8,2,0,4,2
15,Meghalaya,19,2,2,15,0
16,Mizoram,40,7,14,19,0
17,Nagaland,8,0,0,8,0
18,Orissa,405,4,53,271,77
19,Punjab,90,8,24,46,12
20,Rajasthan,893,35,102,561,195
21,Sikkim,7,2,2,3,0
22,Tamil Nadu,244,12,31,184,17
23,Tripura,69,3,21,30,15
24,Uttar Pradesh,1787,78,433,1053,223
25,West Bengal,712,20,122,498,72
Total (States),Total (States),11894,577,2621,6923,1773
26,A & N Islands,4,0,1,3,0
27,Chandigarh,6,1,2,2,1
28,D & N Haveli,0,0,0,0,0
29,Daman & Diu,1,0,0,1,0
30,Delhi*,306,55,132,107,17
31,Lakshadweep,0,0,0,0,0
32,Pondicherry,7,1,3,2,1
Total (UTs),Total (UTs),324,57,138,115,19
Total (All -India),Total (All -India),12218,634,2759,7038,1792
33,Ahmedabad,20,7,2,5,6
34,Bangalore,48,9,18,20,1
35,Bhopal,39,4,9,23,3
36,Bombay,131,29,51,46,5
37,Calcutta,33,5,11,15,2
38,Coimbatore,0,0,0,0,0
39,Delhi*,270,50,111,97,15
40,Hyderabad,43,0,13,30,0
41,Indore,21,4,4,12,1
42,Jaipur,28,5,7,11,5
43,Kanpur,31,2,8,13,8
44,Kochi,5,1,1,2,1
45,Lucknow,40,3,18,18,1
46,Ludhiana,3,0,1,1,1
47,Madras,17,0,0,17,0
48,Madurai,4,1,1,2,0
49,Nagpur,53,4,9,37,3
50,Patna,15,0,0,13,2
51,Pune,47,12,18,16,1
52,Surat,14,4,6,4,0
53,Vadodara,11,0,2,3,6
54,Varanasi,12,0,2,4,6
55,Vishakhapatnam,12,2,2,8,0
