SL.No.,Crime Head,Total No. of Persons Under Arrested*Including those from Previous Year,Persons Released Before Trial No.,Persons Released Before Trial Percentage to Total,Persons Chargesheeted No.,Persons Chargesheeted Percentage to Total,Persons Under Investigation at the End of the Year No.,Persons Under Investigation at the End of the Year Percentage to Total
1,Arms Act,74374,1869,2.5,62556,84.1,9949,13.4
2,Narcotic Drugs & Psychotropic Substances Act,35578,620,1.7,23076,64.9,11882,33.4
3,Gambling Act,335299,1671,0.5,321724,96,11904,3.6
4,Excise Act,117578,3202,2.7,98540,83.8,15836,13.5
5,Prohibition Act,746078,4886,0.7,650546,87.2,90646,12.1
6,Explosive & Explosive Substances Act,9494,489,5.2,5407,57,3598,37.9
7,Immoral Traffic (P) Act,15101,166,1.1,14059,93.1,876,5.8
8,Indian Railways Act,36852,436,1.2,33937,92.1,2479,6.7
9,Registration of Foreigners Act,3081,291,9.4,2413,78.3,377,12.2
10,Protection Of Civil Rights Act,11729,765,6.5,9358,79.8,1606,13.7
11,Indian Passport Act,1627,38,2.3,1034,63.6,555,34.1
12,Essential Commodities Act,10495,1614,15.4,5935,56.6,2946,28.1
13,Terrorist & Disruptive Actvites Act,8408,1050,12.5,1140,13.6,6218,74
14,Antiquity & Art Treasure Act,75,10,13.3,31,41.3,34,45.3
15,Dowry Prohibition Act,8700,750,8.6,6444,74.1,1506,17.3
16,Other SLL Crimes,3435537,231131,6.7,3105749,90.4,98657,2.9
17,Total Cognizable Crimes Under SLL,4850006,248988,5.1,4341949,89.5,259069,5.3
