SL. No.,State/UT,Incidence,Percentage Contribution to All India Total,Estimated Mid Year Population (in Lakhs),Rate**,Rank*
1,Andhra Pradesh,10319,10.4,705.3,14.6,7
2,Arunachal Pradesh,85,0.1,9.4,9,18
3,Assam,1545,1.6,241.1,6.4,23
4,Bihar,2773,2.8,929.3,3,28
5,Goa,79,0.1,12.5,6.3,24
6,Gujarat,3775,3.8,438.5,8.6,19
7,Haryana,1779,1.8,177.1,10,15
8,Himachal Pradesh,737,0.7,55.1,13.4,9
9,Jammu & Kashmir,901,0.9,83.2,10.8,12
10,Karnataka,5282,5.3,473.7,11.2,10
11,Kerala,1609,1.6,304.9,5.3,25
12,Madhya Pradesh,13509,13.7,707.8,19.1,2
13,Maharashtra,13568,13.7,842.7,16.1,5
14,Manipur,86,0.1,19.8,4.3,26
15,Meghalaya,58,0.1,19.2,3,27
16,Mizoram,78,0.1,7.7,10.1,14
17,Nagaland,6,0,13.4,0.4,30
18,Orissa,2213,2.2,336.6,6.6,22
19,Punjab,520,0.5,213.1,2.4,29
20,Rajasthan,7462,7.5,472.5,15.8,6
21,Sikkim,43,0,4.5,9.6,17
22,Tamil Nadu,8011,8.1,577.4,13.9,8
23,Tripura,240,0.2,29.8,8.1,21
24,Uttar Pradesh,15914,16.1,1476,10.8,13
25,West Bengal,5984,6,720.8,8.3,20
Total (States),Total (States),96576,97.6,8871.4,10.9,NA
26,A & N Islands,35,0,3.2,10.9,11
27,Chandigarh,124,0.1,7.4,16.8,4
28,D & N Haveli,15,0,1.5,10,16
29,Daman & Diu,0,0,1.1,0,NA
30,Delhi,1780,1.8,105.9,16.8,3
31,Lakshadweep,0,0,0.6,0,NA
32,Pondicherry,418,0.4,8.6,48.6,1
Total (UTs),Total (UTs),2372,2.4,128.3,18.5,NA
Total (All -India),Total (All -India),98948,100,8999.7,11,NA
