SL.No.,State/UT,Incidence of Total Cog. Crimes,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate of Total Cog. Crimes,Rank*
1,Andhra Pradesh,100789,6.2,705.3,142.9,23
2,Arunachal Pradesh,1873,0.1,9.4,199.3,15
3,Assam,35461,2.2,241.1,147.1,21
4,Bihar,115622,7.1,929.3,124.4,26
5,Goa,3130,0.2,12.5,250.4,9
6,Gujarat,112252,6.9,438.5,256,8
7,Haryana,32592,2,177.1,184,17
8,Himachal Pradesh,10785,0.7,55.1,195.7,16
9,Jammu & Kashmir,14920,0.9,83.2,179.3,19
10,Karnataka,112949,6.9,473.7,238.4,10
11,Kerala,83860,5.1,304.9,275,6
12,Madhya Pradesh,188025,11.5,707.8,265.6,7
13,Maharashtra,181643,11.1,842.7,215.5,12
14,Manipur,2412,0.1,19.8,121.8,27
15,Meghalaya,1965,0.1,19.2,102.3,29
16,Mizoram,1719,0.1,7.7,223.2,11
17,Nagaland,1499,0.1,13.4,111.9,28
18,Orissa,48289,3,336.6,143.5,22
19,Punjab,10631,0.7,213.1,49.9,32
20,Rajasthan,133019,8.1,472.5,281.5,5
21,Sikkim,827,0.1,4.5,183.8,18
22,Tamil Nadu,119071,7.3,577.4,206.2,13
23,Tripura,3797,0.2,29.8,127.4,25
24,Uttar Pradesh,204703,12.5,1476,138.7,24
25,West Bengal,68942,4.2,720.8,95.6,30
Total (States),Total (States),1590775,97.3,8871.4,179.3,NA
26,A & N Islands,547,0,3.2,170.9,20
27,Chandigarh,2099,0.1,7.4,283.6,4
28,D & N Haveli,488,0,1.5,325.3,3
29,Daman & Diu,223,0,1.1,202.7,14
30,Delhi,38223,2.3,105.9,360.9,1
31,Lakshadweep,52,0,0.6,86.7,31
32,Pondicherry,2844,0.2,8.6,330.7,2
Total (UTs),Total (UTs),44476,2.7,128.3,346.7,NA
Total (All -India),Total (All -India),1635251,100,8999.7,181.7,NA
