SL. No.,State/UT,Estimated Mid-Year Population,Murder - I,Murder - R,Murder - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Rape - I,Rape - R,Rape - P,Protection of Civil Rights Act - I,Protection of Civil Rights Act - R,Protection of Civil Rights Act - P,Others - I,Others - R,Others - P,Total - I,Total - R,Total - P
1,Andhra Pradesh,681.3,40,0.1,6.5,0,0,0,0,0,0,2,0,0.5,12,0,5.6,42,0.1,4.9,285,0.4,9.8,210,0.3,1.1,591,0.9,2.4
2,Arunachal Pradesh,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,230.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,889.8,31,0,5,5,0,6.2,4,0,1.5,34,0,8.4,12,0,5.6,39,0,4.6,9,0,0.3,617,0.7,3.1,751,0.8,3
5,Goa,12,1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.1,1,0.1,0,5,0.4,0
6,Gujarat,423.3,28,0.1,4.5,3,0,3.7,17,0,6.4,13,0,3.2,10,0,4.7,14,0,1.6,118,0.3,4.1,1312,3.1,6.7,1515,3.6,6.1
7,Haryana,169.7,3,0,0.5,0,0,0,1,0,0.4,1,0,0.2,7,0,3.3,17,0.1,2,2,0,0.1,40,0.2,0.2,71,0.4,0.3
8,Himachal Pradesh,53,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0.5,21,0.4,0.7,27,0.5,0.1,53,1,0.2
9,Jammu & Kashmir,79.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.9,1,0,0.1,2,0,0.1,8,0.1,0,13,0.2,0.1
10,Karnataka,459.5,13,0,2.1,1,0,1.2,1,0,0.4,1,0,0.2,0,0,0,14,0,1.6,602,1.3,20.8,273,0.6,1.4,905,2,3.6
11,Kerala,296.6,5,0,0.8,0,0,0,2,0,0.8,17,0.1,4.2,2,0,0.9,28,0.1,3.3,15,0.1,0.5,565,1.9,2.9,634,2.1,2.5
12,Madhya Pradesh,680.3,97,0.1,15.7,2,0,2.5,32,0,12.1,70,0.1,17.2,23,0,10.8,287,0.4,33.8,109,0.2,3.8,3951,5.8,20.2,4571,6.7,18.3
13,Maharashtra,810.3,15,0,2.4,4,0,4.9,9,0,3.4,13,0,3.2,7,0,3.3,40,0,4.7,635,0.8,21.9,508,0.6,2.6,1231,1.5,4.9
14,Manipur,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0,2,0.1,0
15,Meghalaya,18.3,1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
16,Mizoram,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,324.6,10,0,1.6,1,0,1.2,5,0,1.9,7,0,1.7,5,0,2.3,7,0,0.8,23,0.1,0.8,162,0.5,0.8,220,0.7,0.9
19,Punjab,207,4,0,0.6,0,0,0,0,0,0,0,0,0,4,0,1.9,2,0,0.2,1,0,0,7,0,0,18,0.1,0.1
20,Rajasthan,453,58,0.1,9.4,5,0,6.2,10,0,3.8,41,0.1,10.1,17,0,8,85,0.2,10,353,0.8,12.2,3810,8.4,19.4,4379,9.7,17.6
21,Sikkim,4.2,1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,1.2,0
22,Tamil Nadu,566.3,15,0,2.4,0,0,0,1,0,0.4,1,0,0.2,7,0,3.3,4,0,0.5,359,0.6,12.4,163,0.3,0.8,550,1,2.2
23,Tripura,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,1425.1,288,0.2,46.8,56,0,69.1,116,0.1,43.8,199,0.1,49,103,0.1,48.4,263,0.2,31,342,0.2,11.8,7929,5.6,40.5,9296,6.5,37.3
