SL.No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Rate (R ),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Rate (R ),Gambling Act - Incidence (I),Gambling Act - Rate (R ),Excise Act - Incidence (I),Excise Act - Rate (R ),Prohibition Act - Incidence (I),Prohibition Act - Rate (R ),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Rate (R ),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R ),Indian Railways Act - Incidence (I),Indian Railways Act - Rate (R ),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Rate (R ),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R ),Indian Passport Act - Incidence (I),Indian Passport Act - Rate (R ),Essential Commodities Act - Incidence (I),Essential Commodities Act - Rate (R ),Terrorist & Disruptive Activities Act - Incidence (I),Terrorist & Disruptive Activities Act - Rate (R ),Anquity & Art Treasure Act - Incidence (I),Anquity & Art Treasure Act - Rate (R ),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R ),Other SLL Crimes - Incidence (I),Other SLL Crimes - Rate (R ),Total Cognizable Crime Under SLL - Incidence (I),Total Cognizable Crime Under SLL - Rate (R )
1,State,Andhra Pradesh,464,0.7,403,0.6,36020,51.1,4553,6.5,0,0,575,0.8,463,0.7,294,0.4,1,0,404,0.6,1,0,10,0,22,0,10,0,115,0.2,639375,906.5,682710,968
2,State,Arunachal Pradesh,13,1.4,8,0.9,0,0,1,0.1,0,0,13,1.4,0,0,0,0,7,0.7,0,0,1,0.1,3,0.3,2,0.2,0,0,0,0,11,1.2,59,6.3
3,State,Assam,395,1.6,151,0.6,357,1.5,179,0.7,37,0.2,33,0.1,2,0,7,0,10,0,1,0,83,0.3,53,0.2,337,1.4,0,0,65,0.3,967,4,2677,11.1
4,State,Bihar,2923,3.1,220,0.2,332,0.4,1641,1.8,18,0,351,0.4,205,0.2,143,0.2,7,0,10,0,16,0,264,0.3,0,0,20,0,936,1,1261,1.4,8347,9
5,State,Goa,10,0.8,20,1.6,1339,107.1,0,0,0,0,6,0.5,15,1.2,100,8,6,0.5,1,0.1,0,0,1,0.1,0,0,0,0,0,0,312,25,1810,144.8
6,State,Gujarat,505,1.2,335,0.8,11483,26.2,0,0,148183,337.9,52,0.1,4,0,1082,2.5,19,0,173,0.4,29,0.1,258,0.6,0,0,0,0,0,0,66693,152.1,228816,521.8
7,State,Haryana,1586,9,1212,6.8,2087,11.8,16255,91.8,0,0,13,0.1,4,0,2011,11.4,4,0,1,0,3,0,139,0.8,12,0.1,0,0,0,0,1156,6.5,24483,138.2
8,State,Himachal Pradesh,30,0.5,102,1.9,127,2.3,4570,82.9,0,0,15,0.3,0,0,0,0,17,0.3,21,0.4,0,0,14,0.3,0,0,0,0,7,0.1,533,9.7,5436,98.7
9,State,Jammu & Kashmir,1030,12.4,43,0.5,12,0.1,3,0,0,0,351,4.2,0,0,1,0,25,0.3,4,0,14,0.2,210,2.5,2627,31.6,0,0,3,0,209,2.5,4532,54.5
10,State,Karnataka,104,0.2,242,0.5,6448,13.6,1966,4.2,9,0,116,0.2,2197,4.6,20,0,39,0.1,764,1.6,7,0,186,0.4,26,0.1,4,0,457,1,711617,1502.3,724202,1528.8
