SL. No.,State/UT/City,7-12 years - Boys,7-12 years - Girls,12-16 years - Boys,12-16 years - Girls,16-18 years - Only Girls,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,Andhra Pradesh,0,0,378,12,149,378,161,539
2,Arunachal Pradesh,0,0,0,0,0,0,0,0
3,Assam,5,7,25,0,2,30,9,39
4,Bihar,6,5,18,21,93,24,119,143
5,Goa,0,0,0,0,0,0,0,0
6,Gujarat,57,7,275,19,345,332,371,703
7,Haryana,0,0,33,0,0,33,0,33
8,Himachal Pradesh,0,0,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,Karnataka,0,0,25,0,22,25,22,47
11,Kerala,1,0,1,0,0,2,0,2
12,Madhya Pradesh,0,0,329,4,17,329,21,350
13,Maharashtra,82,57,387,22,89,469,168,637
14,Manipur,0,0,2,1,24,2,25,27
15,Meghalaya,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,45,0,45,45
17,Nagaland,0,0,0,0,6,0,6,6
18,Orissa,0,0,4,0,0,4,0,4
19,Punjab,1,0,3,0,0,4,0,4
20,Rajasthan,1,1,24,4,34,25,39,64
21,Sikkim,0,0,0,0,0,0,0,0
22,Tamil Nadu,1822,2,1697,17,166,3519,185,3704
23,Tripura,0,0,0,0,0,0,0,0
24,Uttar Pradesh,1,0,6,0,0,7,0,7
25,West Bengal,0,0,0,0,0,0,0,0
Total (States),Total (States),1976,79,3207,100,992,5183,1171,6354
26,A & N Islands,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0
30,Delhi,1,0,7,0,7,8,7,15
31,Lakshadweep,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),1,0,7,0,7,8,7,15
Total (All -India),Total (All -India),1977,79,3214,100,999,5191,1178,6369
33,Ahmedabad,2,0,67,0,17,69,17,86
34,Bangalore,0,0,0,1,9,0,10,10
35,Bhopal,0,0,0,0,0,0,0,0
36,Bombay,4,3,22,0,1,26,4,30
37,Calcutta,0,0,0,0,0,0,0,0
38,Coimbatore,65,1,0,0,0,65,1,66
39,Delhi,1,0,7,0,7,8,7,15
40,Hyderabad,0,0,0,0,0,0,0,0
41,Indore,0,0,0,0,0,0,0,0
42,Jaipur,0,0,2,0,1,2,1,3
43,Kanpur,1,0,2,0,0,3,0,3
44,Kochi,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0
46,Ludhiana,0,0,0,0,0,0,0,0
47,Madras,0,0,0,0,21,0,21,21
48,Madurai,109,0,34,0,0,143,0,143
49,Nagpur,19,0,67,2,0,86,2,88
50,Patna,0,0,0,0,0,0,0,0
51,Pune,0,0,1,0,0,1,0,1
52,Surat,0,0,33,11,184,33,195,228
53,Vadodara,0,0,2,0,0,2,0,2
54,Varanasi,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,50,12,107,50,119,169
