SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,15,10,2,16,4,4,0,2,0,1,128,220,72,0,2,0,378,850
2,Arunachal Pradesh,0,1,0,0,0,0,0,2,0,0,7,3,2,0,0,0,0,15
3,Assam,17,0,0,1,1,1,0,1,0,1,42,90,40,0,0,0,44,237
4,Bihar,66,27,2,34,54,2,52,16,22,3,88,237,206,0,1,0,227,983
5,Goa,0,0,0,0,0,0,0,0,0,0,5,19,7,0,0,0,12,43
6,Gujarat,23,17,0,6,7,6,1,2,0,2,158,297,75,6,1,0,624,1218
7,Haryana,16,5,1,8,0,0,0,0,0,2,17,14,4,0,0,0,94,161
8,Himachal Pradesh,2,0,0,0,0,0,0,0,0,0,19,10,8,1,0,0,45,85
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
10,Karnataka,7,2,1,5,0,0,0,0,0,2,67,139,66,0,4,0,64,356
11,Kerala,3,2,2,0,0,0,0,0,0,0,12,8,33,0,0,0,20,79
12,Madhya Pradesh,119,71,2,54,13,13,0,3,1,21,363,400,127,5,0,0,1548,2727
13,Maharashtra,50,0,0,22,9,8,1,15,0,14,402,757,151,3,15,1,873,2341
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,17
16,Mizoram,0,0,0,2,0,0,0,0,0,0,9,31,0,0,0,0,25,67
17,Nagaland,0,0,0,0,0,0,0,0,0,2,16,6,0,0,0,0,11,35
18,Orissa,3,0,0,1,0,0,0,0,0,0,47,86,1,0,0,0,31,169
19,Punjab,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5
20,Rajasthan,28,38,0,19,20,20,0,0,0,19,102,78,121,2,6,0,275,708
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,8,0,0,0,0,0,0,0,0,0,87,243,1,0,0,0,15,354
23,Tripura,1,1,0,0,0,0,0,0,0,0,0,9,6,0,0,1,10,28
24,Uttar Pradesh,5,3,0,5,0,0,0,0,0,0,8,20,2,0,0,0,19,62
25,West Bengal,1,0,2,0,0,0,0,0,0,0,0,9,2,1,0,0,0,15
Total (States),Total (States),364,204,13,175,108,54,54,41,23,67,1579,2691,924,18,29,2,4336,10574
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,5
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,1,16
28,D & N Haveli,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,7
30,Delhi,7,7,4,4,5,2,3,0,0,4,25,109,1,0,5,1,38,210
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,1,3,3,0,0,0,0,7,7,0,0,0,0,2,20
Total (UTs),Total (UTs),7,7,4,6,8,5,3,0,0,4,44,128,2,0,5,1,44,260
Total (All -India),Total (All -India),371,211,17,181,116,59,57,41,23,71,1623,2819,926,18,34,3,4380,10834
33,Ahmedabad,2,0,0,0,0,0,0,0,0,0,1,62,6,0,0,0,86,157
34,Bangalore,9,9,0,13,0,0,0,0,0,8,87,154,1,0,0,0,78,359
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Bombay,7,0,0,5,4,4,0,1,0,0,51,119,5,2,8,1,100,303
37,Calcutta,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,4,11
39,Delhi,7,7,4,4,5,2,3,0,0,4,25,109,1,0,5,1,38,210
40,Hyderabad,1,0,0,0,0,0,0,0,0,0,36,38,0,0,0,0,0,75
41,Indore,0,0,0,2,0,0,0,0,0,0,15,17,0,0,0,0,42,76
42,Jaipur,1,2,0,1,0,0,0,0,0,0,13,17,5,0,0,0,14,53
43,Kanpur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,1,0,0,0,0,0,0,4,9,0,0,0,0,2,16
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0,0,72
48,Madurai,0,0,0,0,0,0,0,0,0,0,9,20,0,0,0,0,0,29
49,Nagpur,0,0,0,0,0,0,0,0,0,0,20,24,1,0,0,0,37,82
50,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Pune,3,0,0,3,0,0,0,1,0,1,63,78,7,0,0,0,13,169
52,Surat,2,0,0,0,1,1,0,0,0,1,23,37,2,1,0,0,14,81
53,Vadodara,1,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,13,25
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,1,0,1,1,0,0,0,0,0,0,21,27,0,0,0,0,3,54
