SL. No.,State/UT/City,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,Andhra Pradesh,2481.5,1245.3,50.2
2,Arunachal Pradesh,138.8,42.5,30.6
3,Assam,1597,180.5,11.3
4,Bihar,2729,387.1,14.2
5,Goa,267,87.3,32.7
6,Gujarat,8041.4,1483.7,18.5
7,Haryana,1829.6,1238.3,67.7
8,Himachal Pradesh,403.4,145,35.9
9,Jammu & Kashmir,949.5,332.7,35
10,Karnataka,12027.2,1435,11.9
11,Kerala,9364.4,544.1,5.8
12,Madhya Pradesh,3876.2,1686,43.5
13,Maharashtra,19002.6,4313.8,22.7
14,Manipur,152,18.8,12.4
15,Meghalaya,115.5,24.6,21.3
16,Mizoram,46.4,14.6,31.5
17,Nagaland,478.4,33.2,6.9
18,Orissa,1582.3,604,38.2
19,Punjab,1325.1,847.1,63.9
20,Rajasthan,2624.7,1613.9,61.5
21,Sikkim,36.9,15.3,41.5
22,Tamil Nadu,2078.7,1299.5,62.5
23,Tripura,54,5.5,10.2
24,Uttar Pradesh,8119.3,2026.1,25
25,West Bengal,1976,490.4,24.8
Total (States),Total (States),81297,20114.2,24.7
26,A & N Islands,26.9,22.2,82.5
27,Chandigarh,189.3,104.2,55
28,D & N Haveli,20.7,10.1,48.8
29,Daman & Diu,20.7,4.5,21.7
30,Delhi,4882.2,674.1,13.8
31,Lakshadweep,0.7,0.2,28.6
32,Pondicherry,66.9,33,49.3
Total (UTs),Total (UTs),5207.5,848.5,16.3
Total (All -India),Total (All -India),86504.5,20962.7,24.2
33,Ahmedabad,2691.1,363.2,13.5
34,Bangalore,1637.8,703.5,43
35,Bhopal,312.2,108.4,34.7
36,Bombay,10212.8,2318.8,22.7
37,Calcutta,1027.3,296.8,28.9
38,Coimbatore,86.8,37,42.6
39,Delhi,4004.8,627.5,15.7
40,Hyderabad,498.5,218.7,43.9
41,Indore,400.6,175.7,43.9
42,Jaipur,409.1,280.4,68.5
43,Kanpur,682,143.8,21.1
44,Kochi,135,25.1,18.6
45,Lucknow,442,89.4,20.2
46,Ludhiana,241.7,145.2,60.1
47,Madras,390.5,288.7,73.9
48,Madurai,97.8,54.4,55.6
49,Nagpur,369.5,79.6,21.5
50,Patna,389.4,39.1,10
51,Pune,763.4,267.2,35
52,Surat,1271.3,203.2,16
53,Vadodara,302.1,68.7,22.7
54,Varanasi,186.2,71.1,38.2
55,Vishakhapatnam,95.6,58.1,60.8
