SL. No.,Crime Head,1994,1995,Percentage Variation in 1995 Over 1994,Percentage Share of Crime During 1995
1,Arms Act,62839,66747,6.2,1.4
2,Narcotic Drugs & Psychotropic Substances Act,23365,22222,-4.9,0.5
3,Gambling Act ,321000,284599,-11.3,6.1
4,Excise Act,102462,127463,24.4,2.7
5,Prohibition Act,647350,650788,0.5,14
6,Explosive & Explosive Substances Act,5498,5874,6.8,0.1
7,Immoral Traffic (P) Act,13864,11550,-16.7,0.2
8,Indian Railways Act,35061,35977,2.6,0.8
9,Registration of Foreigners Act,2759,2607,-5.5,0.1
10,Protection Of Civil Rights Act,9643,7747,-19.7,0.2
11,Indian Passport Act,1094,1233,12.7,0
12,Essential Commodities Act,5752,6060,5.4,0.1
13,Terrorist & Disruptive Actvites Act,2826,1280,-54.7,0
14,Antiquity & Art Treasure Act,66,81,22.7,0
15,Dowry Prohibition Act,6611,7432,12.4,0.2
16,Child Marriage Restraint Act,*,115,NA,0
17,Indecent Representation of Women (P)Act,*,566,NA,0
18,Copy Right Act,*,957,NA,0
19,Sati Prevention Act,*,0,NA,0
20,SC/ST (Prevention of Atrocities ) Act,*,33716,NA,0.7
21,Forest Act,*,8755,NA,0.2
22,Other SLL Crimes ,3308894,3365543,1.7,72.5
23,Total Cognizable Crimes Under SLL,4549084,4641312,2,100
