SL. No.,Crime Head,Total no. of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the year - Number,Persons Under Investigation at the End of the year - Percentage to Total
1,Murder,109042,6277,5.8,74408,68.2,28357,26.8
2,Attempt to Commit Murder,100003,4443,4.4,72762,72.8,22798,22.8
3,C.H. Not Amounting To Murder,10667,661,6.2,7341,68.8,2665,25
4,Rape,23538,1044,4.4,17522,74.4,4972,21.1
5,Kidnapping & Abduction,37490,3437,9.2,22866,61,11187,29.8
5,I)of Women & Girls,23786,2229,9.4,15076,63.4,6481,27.2
5,II)of Others,13704,1208,8.8,7790,56.8,4706,34.3
6,Dacoity,41162,5980,14.5,19864,48.3,15318,37.2
7,Preparation & Assembly for Dacoity,7681,780,10.2,4494,58.5,2407,31.3
8,Robbery,38929,4355,11.2,24271,62.3,10303,26.5
9,Burglary,90704,8875,9.8,67108,74,14721,16.2
10,Theft,228961,30487,13.3,154040,67.3,44434,19.4
11,Riots,635674,39976,6.3,474422,74.6,121276,19.1
12,Criminal Breach of Trust,21197,1390,6.6,13242,62.5,6565,31
13,Cheating,39510,2320,5.9,24316,61.5,12874,32.6
14,Counterfeiting,2192,262,12,806,36.8,1124,51.3
15,Arson,17410,1498,8.6,12272,70.5,3640,20.9
16,Hurt/ Grievous Hurt,390466,12861,3.3,335006,85.8,42599,10.9
17,Dowry Death,14522,529,3.6,11570,79.7,2423,16.7
18,Molestation,34939,973,2.8,29916,85.6,4050,11.6
19,Sexual Harassment,6124,25,0.4,5734,93.6,365,6
20,Cruelty by Husband and Relatives,67935,1901,2.8,59254,87.2,6780,10
21,Other IPC Crimes,1189735,56572,4.8,977084,82.1,156079,13.1
22,Total Cognizable Crimes Under IPC,3107881,184646,5.9,2408298,77.5,514937,16.6
