SL. No.,Category,State/UT/City,Incidence,Percentage Contribution Total-India Total,Estimated Mid-Year Population ,Rate**,Rank @,Rank*
1,State,Andhra Pradesh ,165,3,717.1,0.2,11,7
2,State,Arunachal Pradesh ,2,0,9.6,0.2,12,19
3,State,Assam,0,0,246.1,0,NA,NA
4,State,Bihar,232,4.2,949.1,0.2,10,5
5,State,Goa,0,0,12.7,0,NA,NA
6,State,Gujarat,486,8.8,446.1,1.1,5,4
7,State,Haryana,0,0,180.7,0,NA,NA
8,State,Himachal Pradesh,5,0.1,56.1,0.1,17,14
9,State,Jammu & Kashmir,8,0.1,85.1,0.1,16,13
10,State,Karnataka ,96,1.7,480.5,0.2,13,10
11,State,Kerala,185,3.4,309.1,0.6,7,6
12,State,Madhya Pradesh,1690,30.7,721.4,2.3,3,2
13,State,Maharashtra,505,9.2,859.1,0.6,8,3
14,State,Manipur,2,0,20.3,0.1,15,19
15,State,Meghalaya,2,0,19.6,0.1,14,19
16,State,Mizoram,0,0,7.9,0,NA,NA
17,State,Nagaland,0,0,13.9,0,NA,NA
18,State,Orissa,143,2.6,342.7,0.4,9,8
19,State,Punjab,4,0.1,216,0,20,15
20,State,Rajasthan,1784,32.4,482.1,3.7,2,1
21,State,Sikkim ,40,0.7,4.7,8.5,1,12
22,State,Tamil Nadu,40,0.7,582.9,0.1,19,12
23,State,Tripura,0,0,30.5,0,NA,NA
24,State,Uttar Pradesh,105,1.9,1501.2,0.1,18,9
25,State,West Bengal ,0,0,732.7,0,NA,NA
Total (States),State,Total (States),5494,99.9,9027.2,0.6,NA,NA
26,UT,A & N Islands,0,0,3.3,0,NA,NA
27,UT,Chandigarh,0,0,7.8,0,NA,NA
28,UT,D & N Haveli,3,0.1,1.6,1.9,4,16
29,UT,Daman & Diu,1,0,1.1,0.9,6,20
30,UT,Delhi,0,0,109.7,0,NA,NA
31,UT,Lakshadweep,0,0,0.6,0,NA,NA
32,UT,Pondicherry,0,0,8.8,0,NA,NA
Total (UTs),UT,Total (UTs),4,0.1,132.9,0,NA,NA
Total (All-India),Total (All-India),Total (All-India),5498,100,9160.1,0.6,NA,NA
