SL. No.,Category,States/U.Ts,Estimated Mid-Year Population (in Lakhs) ,Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Dowry Deaths - Percentage Contribution to All-India (P),Torture (Cruelty by Husband & His Relatives) - Incidence (I),Torture (Cruelty by Husband & His Relatives) - Rate (R),Torture (Cruelty by Husband & His Relatives) - Percentage Contribution to All-India (P),Molestation - Incidence (I),Molestation - Rate (R),Molestation - Percentage Contribution to All-India (P),Eve-Teasing - Incidence (I),Eve-Teasing - Rate (R),Eve-Teasing - Percentage Contribution to All-India (P),Importing of Girls (Upto 21 Years) - Incidence (I),Importing of Girls (Upto 21 Years) - Rate (R),Importing of Girls (Upto 21 Years) - Percentage Contribution to All-India (P),Sati Prevention Act - Incidence (I),Sati Prevention Act - Rate (R),Sati Prevention Act - Percentage Contribution to All-India (P),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R),Immoral Traffic (Prevention) Act - Percentage Contribution to All-India (P),Indecent Representation of Women (Prohibition) Act - Incidence (I),Indecent Representation of Women (Prohibition) Act - Rate (R),Indecent Representation of Women (Prohibition) Act - Percentage Contribution to All-India (P),Total - Incidence (I),Total- Rate (R),Total - Percentage Contribution to All-India (P)
1,State,Andhra Pradesh ,705.3,854,1.2,6.9,571,0.8,4.4,396,0.6,8,2295,3.3,8.8,2185,3.1,9.1,3710,5.3,35.3,6,0,3.6,0,0,0,264,0.4,3.5,38,0.1,9.8,10319,14.6,10.4
2,State,Arunachal Pradesh,9.4,28,3,0.2,25,2.7,0.2,0,0,0,3,0.3,0,28,3,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,9,0.1
3,State,Assam,241.1,441,1.8,3.6,600,2.5,4.6,13,1,0.3,293,1.2,1.1,184,0.8,0.8,13,0.1,0.1,1,0,0.6,0,0,0,0,0,0,0,0,0,1545,6.4,1.6
4,State,Bihar,929.3,823,0.9,6.7,524,0.6,4,296,0.3,6,483,0.5,1.9,432,0.5,1.8,75,0.1,0.7,3,0,1.8,0,0,0,8,0,0.1,129,0.1,33.2,2773,3,2.8
5,State,Goa,12.5,7,0.6,0.1,9,0.7,0.1,0,0,0,16,1.3,0.1,21,1.7,0.1,11,0.9,0.1,0,0,0,0,0,0,15,1.2,0.2,0,0,0,79,6.3,0.1
6,State,Gujarat,438.5,290,0.7,2.3,620,1.4,4.8,105,0.2,2.1,1563,3.6,6,1017,2.3,4.2,97,0.2,0.9,34,0.1,20.4,1,0,50,3,0,0,45,0.1,11.6,3775,8.6,3.8
7,State,Haryana,177.1,198,1.1,1.6,240,1.4,1.8,191,1.1,3.9,351,2,1.4,356,2,1.5,426,2.4,4.1,3,0,1.8,0,0,0,1,0,0,13,0.1,3.3,1779,10,1.8
8,State,Himachal Pradesh,55.1,110,2,0.9,178,3.2,1.4,4,0.1,0.1,140,2.5,0.5,286,5.2,1.2,19,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,737,13.4,0.7
9,State,Jammu and Kashmir,83.2,123,1.5,1,316,3.8,2.4,1,0,0,11,0.1,0,237,2.8,1,213,2.6,2,0,0,0,0,0,0,0,0,0,0,0,0,901,10.8,0.9
10,State,Karnataka ,473.7,279,0.6,2.3,320,0.7,2.5,170,0.4,3.4,1159,2.4,4.5,1159,2.4,4.8,94,0.2,0.9,0,0,0,0,0,0,2013,4.2,26.7,88,0.2,22.6,5282,11.2,5.3
