SL. No.,Crime Head,Total No. Persons Under Arrested* Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Arms Act,79444,1347,1.7,66545,83.8,11552,14.5
2,Narcotic Drugs & Psychotropic Substances Act,34626,801,2.3,21547,62.2,12278,35.5
3,Gambling Act,286134,1030,0.4,275975,96.4,9129,3.2
4,Excise Act,182103,3781,2.1,136671,75.1,41651,22.9
5,Prohibition Act,708374,6665,0.9,592619,83.7,109090,15.4
6,Explosive & Explosive Substances Act,9487,428,4.5,5569,58.7,3490,36.8
7,Immoral Traffic (P) Act,10807,26,0.2,9895,91.6,886,8.2
8,Indian Railways Act,40598,347,0.9,38816,95.6,1435,3.5
9,Registration of Foreigners Act,2826,258,9.1,2097,74.2,471,16.7
10,Protection Of Civil Rights Act,4804,224,4.7,3526,73.4,1054,21.9
11,Indian Passport Act,1589,44,2.8,1389,87.4,156,9.8
12,Essential Commodities Act,9727,555,5.7,5711,58.7,3461,35.6
13,Terrorist & Disruptive Actvites Act,5805,672,11.6,674,11.6,4459,76.8
14,Antiquity & Art Treasure Act,79,4,5.1,43,54.4,32,40.5
15,Dowry Prohibition Act,9075,485,5.3,6593,72.7,1997,22
16,Child Marriage Restraint Act,380,1,0.3,363,95.5,16,4.2
17,Indecent Representation of Women (P)Act,414,0,0,372,89.9,42,10.1
18,Copy Right Act,1146,49,4.3,768,67,329,28.7
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,34710,1324,3.8,29335,84.5,4051,11.7
21,Forest Act,10613,305,2.9,9707,91.5,601,5.7
22,Other SLL Crimes,3546769,68915,1.9,3374009,95.1,103845,2.9
23,Total Cognizable Crimes Under SLL,4979510,87261,1.8,4582224,92,310025,6.2
