Category,SI.No.,State/UT/City,1991,Note of 1991,1992,1993,1994,1995,Quinquennial Average (Q.A.) - (1991-1995),1996,Percentage Change in 1996 [(+)increase (-) Decrease] over Quinquennial Average (Q.A.),Percentage Change in 1996 [(+)increase (-) Decrease] over 1995
State,1,Andhra Pradesh,101676,NA,99332,98625,100789,105016,101088,109759,8.6,4.5
State,2,Arunachal Pradesh,1861,NA,1822,1560,1873,1907,1805,1927,6.8,1
State,3,Assam,35144,NA,40812,37355,35461,36494,37053,36490,-1.5,0
State,4,Bihar,119932,NA,131007,125642,115622,115598,121560,117017,-3.7,1.2
State,5,Goa,3805,NA,3968,4111,3130,3545,3712,2798,-24.6,-21.1
State,6,Gujarat,124472,NA,128155,119809,112252,123514,121640,117821,-3.1,-4.6
State,7,Haryana,28584,NA,30246,31754,32592,33823,31400,33516,6.7,-0.9
State,8,Himachal Pradesh,9209,NA,8864,10864,10785,11147,10174,10776,5.9,-3.3
State,9,Jammu & Kashmir,15545,NA,15505,14731,14920,15018,15144,17478,15.4,16.4
State,10,Karnataka,104489,NA,99679,105863,112949,120334,108663,114475,5.3,-4.9
State,11,Kerala,74103,NA,71919,76852,83860,87262,78799,86141,9.3,-1.3
State,12,Madhya Pradesh,218431,NA,201381,179758,188025,197445,197008,196779,-0.1,-0.3
State,13,Maharashtra,192295,NA,196370,184589,181643,194163,189812,187471,-1.2,-3.4
State,14,Manipur,2100,NA,2387,2624,2412,2596,2424,2573,6.2,-0.9
State,15,Meghalaya,1726,NA,2421,1863,1965,1773,1950,1863,-4.4,5.1
State,16,Mizoram,1781,NA,1702,1465,1719,2396,1813,2241,23.6,-6.5
State,17,Nagaland,1641,NA,1605,1546,1499,1395,1537,1378,-10.4,-1.2
State,18,Orissa,52081,NA,50438,51609,48289,50995,50682,50619,-0.1,-0.7
State,19,Punjab,16081,NA,12380,9445,10631,11145,11936,13922,16.6,24.9
State,20,Rajasthan,113617,NA,123426,121100,133019,148266,127886,161621,26.4,9
State,21,Sikkim,469,NA,557,662,827,633,630,710,12.8,12.2
State,22,Tamil Nadu,133284,NA,128665,125654,119071,126761,126687,131497,3.8,3.7
State,23,Tripura,5594,NA,5085,5175,3797,3731,4676,3630,-22.4,-2.7
State,24,Uttar Pradesh,208561,NA,216339,203488,204703,177992,20217,172480,-14.7,-3.1
State,25,West Bengal,69073,NA,72171,70718,68942,69413,70063,69118,-1.3,-0.4
State,Total States,Total States,1635554,NA,1646236,1586862,1590775,1642362,1620358,1644100,1.5,0.1
UT,26,A & N Islands,551,NA,625,664,547,464,570,376,-34.1,-19
UT,27,Chandigarh,1629,NA,1377,1943,2099,2032,1816,2048,12.8,0.8
UT,28,D & N Haveli,437,NA,327,321,488,436,402,410,2,-6
UT,29,Daman & DIU,257,NA,205,222,223,283,238,258,8.4,-8.8
UT,30,Delhi,34876,NA,36302,36597,38223,47686,38737,59871,54.6,25.6
UT,31,Lakshadweep,54,NA,46,48,52,31,46,44,-4.8,41.9
UT,32,Pondicherry,5017,NA,4223,3279,2844,2402,3553,2469,-30.5,2.8
UT,Total (UTs),Total (UTs),42821,NA,43105,43074,44476,53334,45362,65476,44.3,22.8
Total (All-India),Total (All-India),Total (All-India),1678375,NA,1689341,1629936,1635251,1695696,1665720,1709576,2.6,0.8
City,33,Ahmedabad,18017,NA,19875,17499,11201,15472,16413,15244,-7.1,-1.5
City,34,Bangalore,25311,NA,26247,26479,29940,28899,27375,28875,5.5,-0.1
City,35,Bhopal,NA,*,7459,5784,7720,8324,5857,7712,31.7,-7.4
City,36,Calcutta,39897,NA,40979,35687,35375,40512,38490,32503,-15.6,-19.8
City,37,Chennai,13803,NA,14110,12206,11401,11671,12638,12395,-1.9,6.2
City,38,Coimbatore,NA,*,3621,3246,3086,3019,2594,3268,26,8.2
City,39,Delhi,32462,NA,33055,33799,34478,42759,35311,54199,53.5,26.8
City,40,Hyderabad,10736,NA,10306,9165,9856,9197,9852,9154,-7.1,-0.5
City,41,Indore,NA,*,10813,8394,8969,9583,7552,9025,19.5,-5.8
City,42,Jaipur,8241,NA,9413,9435,10808,12612,10102,13418,32.8,6.4
City,43,Kanpur,7712,NA,8112,7137,6576,5740,7055,5708,-19.2,-0.6
City,44,Kochi,NA,*,3320,3400,4120,4618,3092,4276,38.3,-7.4
City,45,Lucknow,6794,NA,7684,6946,8277,6401,7220,5514,-23.6,-13.9
City,46,Ludhiana,NA,*,759,646,851,871,625,1194,90.9,37.1
City,47,Madurai,12633,NA,13174,8936,5987,5842,9314,6143,-34,5.2
City,48,Mumbai,NA,*,3375,2935,3837,3643,2758,4016,45.6,10.2
City,49,Nagpur,9987,NA,10416,10039,8607,8887,9587,9329,-2.7,5
City,50,Patna,NA,*,7235,5746,5285,5103,4674,4971,6.4,-2.6
City,51,Pune,11411,NA,11396,9825,8844,9459,10187,9569,-6.1,1.2
City,52,Surat,NA,*,4867,4536,4772,5264,3888,4899,26,-6.9
City,53,Vadodra,NA,*,7159,5171,4844,5499,4535,6924,52.7,25.9
City,54,Varanasi,NA,*,2994,2574,2199,1907,1935,1888,-2.4,-1
City,55,Vishakhapatnam,NA,*,3898,3789,3436,2648,2754,2837,3,7.1
