SI. No.,Crime Head,1992,Note of 1992,1993,Note of 1993,1994,Note of 1994,1995,1996
1,Arms Act,1.8,NA,1.7,NA,1.6,NA,1.5,1.5
2,Narcotic Drugs & Psychotropic Substances Act,0.6,NA,0.6,NA,0.5,NA,0.5,0.5
3,Gambling Act,4.7,NA,4.3,NA,4,NA,3.2,2.8
4,Excise Act,2.7,NA,2.5,NA,2.6,NA,2.7,3.1
5,Prohibition Act,17.6,NA,15.8,NA,16.5,NA,15,13.5
6,Explosive & Explosive Substances Act,0.3,NA,0.2,NA,0.1,NA,0.1,0.1
7,Immoral Traffic (P) Act,0.4,NA,0.3,NA,0.3,NA,0.2,0.2
8,Indian Railways Act,0.7,NA,0.6,NA,0.8,NA,0.7,0.8
9,Registration of Foreigners Act,0.1,NA,0,NA,0,NA,0,0
10,Protection Of Civil Rights Act,0.1,NA,0.1,NA,0.1,NA,0.1,0
11,Indian Passport Act,0,NA,0,NA,0,NA,0,0
12,Essential Commodities Act,0.2,NA,0.2,NA,0.1,NA,0.1,0.1
13,Terrorist & Disruptive Actvites Act,0.1,NA,0.1,NA,0.1,NA,0,0
14,Antiquity & Art Treasure Act,0,NA,0,NA,0,NA,0,0
15,Dowry Prohibition Act,0.1,NA,0.1,NA,0.1,NA,0.1,0.1
16,Child Marriage Restraint Act,NA,*,NA,*,NA,*,0,0
17,Indecent Representation of Women (P)Act,NA,*,NA,*,NA,*,0,0
18,Copy Rights Act,NA,*,NA,*,NA,*,0,0
19,Sati Prevention Act,NA,*,NA,*,NA,*,0,0
20,SC/ST (Prevention of Atrocities ) Act,NA,*,NA,*,NA,*,0.4,0.4
21,Forest Act,NA,*,NA,*,NA,*,0.1,0.1
22,Other SLL Crimes,70.6,NA,73.4,NA,73.2,NA,75.2,76.9
23,Total Cognizable Crimes Under SLL,100,NA,100,NA,100,NA,100,100
