SI.No.,Crime Head,1992,Note of 1992,1993,Note of 1993,1994,Note of 1994,1995,1996
1,Murder,2.4,NA,2.3,NA,2.4,NA,2.2,2.2
2,Attempt to Commit Murder,1.8,NA,1.8,NA,1.8,NA,1.7,1.7
3,C.H. Not Amounting To Murder,0.3,NA,0.2,NA,0.2,NA,0.2,0.2
4,Rape,0.7,NA,0.7,NA,0.8,NA,0.8,0.9
5,Kidnapping & Abduction,1.2,NA,1.2,NA,1.3,NA,1.2,1.2
5,I)of Women & Girls,0.8,NA,0.9,NA,0.9,NA,0.8,0.9
5,II)of Others,0.4,NA,0.4,NA,0.4,NA,0.4,0.3
6,Dacoity,0.7,NA,0.6,NA,0.6,NA,0.5,0.5
7,Preparation & Assembly for Dacoity,0.1,NA,0.1,NA,0.1,NA,0.1,0.1
8,Robbery,1.6,NA,1.5,NA,1.5,NA,1.3,1.3
9,Burglary,7.5,NA,7.5,NA,7.4,NA,6.9,6.7
10,Theft,20.8,NA,19.7,NA,18.6,NA,17.4,16.7
11,Riots,6.2,NA,5.8,NA,5.8,NA,5.7,5.4
12,Criminal Breach of Trust,1.1,NA,1,NA,1,NA,0.9,0.9
13,Cheating,1.7,NA,1.8,NA,1.9,NA,1.8,2
14,Counterfeiting,0.3,NA,0.2,NA,0.2,NA,0.1,0.2
15,Arson,NA,*,NA,*,NA,*,0.7,0.7
16,Hurt,NA,*,NA,*,NA,*,12,13.1
17,Dowry Deaths,NA,*,NA,*,NA,*,0.3,0.3
18,Molestation,NA,*,NA,*,NA,*,1.6,1.7
19,Sexual Harassment,NA,*,NA,*,NA,*,0.3,0.3
20,Cruelty by Husband and Relatives,NA,*,NA,*,NA,*,1.7,2.1
21,other IPC Crimes,53.7,NA,55.4,NA,56.5,NA,42.6,41.8
22,Total Cognizable Crimes Under IPC,100,NA,100,NA,100,NA,100,100
