SI.No,Crime Head,Total no. of Persons under Arrest* Including those From previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons under Investigation at the end of the Year - Number,Persons under Investigation at the end of the Year - Percentage to Total
1,Murder,110143,5640,5.1,75229,68.3,29274,26.6
2,Attempt to Commit Murder,99346,4001,4,70340,70.8,25005,25.2
3,C.H. Not Amounting To Murder,11077,1042,9.4,7287,65.8,2748,24.8
4,Rape,25797,1135,4.4,18690,72.5,5972,23.1
5,Kidnapping & Abduction,40601,3653,9,24396,60.1,12552,30.9
5,I)of Women & Girls,25212,2273,9,15483,61.4,7456,29.6
5,II)of Others,15389,1380,9,8913,57.9,5096,33.1
6,Dacoity,42266,4724,11.2,19872,47,17670,41.8
7,Preparation & Assembly for Dacoity,7528,972,12.9,4052,53.8,2504,33.3
8,Robbery,40711,3893,9.6,24628,60.5,12190,29.9
9,Burglary,85997,6804,7.9,61921,72,17272,20.1
10,Theft,221833,21793,9.8,148265,66.8,51775,23.3
11,Riots,628447,29773,4.7,444331,70.7,154343,24.6
12,Criminal Breach of Trust,22442,1560,7,12771,56.9,8111,36.1
13,Cheating,44243,2511,5.7,27601,62.4,14131,31.9
14,Counterfeiting,1851,360,19.4,617,33.3,874,47.2
15,Arson,19643,1982,10.1,13263,67.5,4398,22.4
16,Hurt,482376,12760,2.6,417202,86.5,52414,10.9
17,Dowry Deaths,18428,891,4.8,14383,78,3154,17.1
18,Molestation,43053,1154,2.7,37072,86.1,4827,11.2
19,Sexual Harassment,7187,97,1.3,6581,91.6,509,7.1
20,Cruelty by Husband and Relatives,92113,2440,2.6,79291,86.1,10382,11.3
21,Other IPC Crimes,1158202,46084,4,942314,81.4,169804,14.7
22,Total Cognizable Crimes Under IPC,3203284,153269,4.8,2450106,76.5,599909,18.7
