SI.No.,State/UT,Incidence of Total Cog. Crimes,Percentage of Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank*,Rank**
1,Andhra Pradesh,10757,8.9,733.6,14.7,7,5
2,Arunachal Pradesh,104,0.1,10.9,9.5,20,22
3,Assam,3407,2.8,252.8,13.5,8,13
4,Bihar,5888,4.9,952.4,6.2,26,8
5,Goa,187,0.2,14.6,12.8,11,20
6,Gujarat,5809,4.8,464.2,12.5,14,9
7,Haryana,2314,1.9,190.2,12.2,15,15
8,Himachal Pradesh,801,0.7,62.3,12.9,10,18
9,Jammu & Kashmir,1523,1.3,92.6,16.4,5,16
10,Karnataka,5679,4.7,502.9,11.3,16,10
11,Kerala,4134,3.4,314.6,13.1,9,12
12,Madhya Pradesh,16170,13.3,760.1,21.3,3,2
13,Maharashtra,16270,13.4,882.7,18.4,4,1
14,Manipur,85,0.1,23,3.7,29,24
15,Meghalaya,87,0.1,22.2,3.9,28,23
16,Mizoram,110,0.1,8.7,12.6,13,21
17,Nagaland,44,0,15.3,2.9,30,28
18,Orissa,4453,3.7,349.5,12.7,12,11
19,Punjab,951,0.8,228.1,4.2,27,17
20,Rajasthan,11221,9.3,510.4,22,1,4
21,Sikkim,50,0,5.1,9.8,19,27
22,Tamil Nadu,9044,7.5,602.9,15,6,6
23,Tripura,375,0.3,34.5,10.9,17,19
24,Uttar Pradesh,11849,9.8,1607,7.4,25,3
25,West Bengal,7023,5.8,761.4,9.2,21,7
Total States,Total States,118335,97.6,9402,12.6,NA,NA
26,A & N Islands,27,0,3.5,7.7,24,29
27,Chandigarh,83,0.1,8.1,10.2,18,25
28,D & N Haveli,15,0,1.7,8.8,22,30
29,Daman & DIU,1,0,1.3,0.8,31,31
30,Delhi,2725,2.2,124.7,21.9,2,14
31,Lakshadweep,0,0,0.7,0,32,32
32,Pondicherry,79,0.1,10.1,7.8,23,26
Total (UTs),Total (UTs),2930,2.4,150.1,19.5,NA,NA
Total (All -India),Total (All -India),121265,100,9552.1,12.7,NA,NA
