SI.No.,State/UT,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction,Dacoity,Preparation and Assembly for Dacoity,Robbery,Riots,Arson,Dowry Deaths,Total Violent Crimes,Percentage Share to All-India Crimes,Crime Rate of Violent Crime,Percentage to Total Cognizable Crimes Under IPC
1,Andhra Pradesh,2609,1318,122,812,1028,448,3,775,4058,1000,411,12584,5.05,17.27,11.47
2,Arunachal Pradesh,76,33,4,37,52,25,1,68,17,12,0,325,0.13,32.83,16.87
3,Assam,1435,409,33,580,1190,843,24,1063,3534,730,28,9869,3.96,39.3,27.05
4,Bihar,5264,4637,590,1453,2378,2450,228,2955,12449,441,478,33323,13.38,34.4,28.48
5,Goa,30,11,9,10,13,4,0,71,184,19,1,352,0.14,27.08,12.58
6,Gujarat,1338,621,11,306,1055,371,3,1130,2289,541,105,7770,3.12,17.12,6.59
7,Haryana,606,374,83,336,452,55,27,255,739,221,223,3371,1.35,18.29,10.06
8,Himachal Pradesh,123,80,7,132,157,3,0,24,539,128,6,1199,0.48,20.96,11.13
9,Jammu & Kashmir,1044,797,15,157,523,65,0,283,710,709,0,4303,1.73,49.52,24.62
10,Karnataka,1604,1220,55,222,532,250,6,994,8113,696,182,13874,5.57,28.47,12.12
11,Kerala,417,444,94,389,230,98,13,296,6028,370,25,8404,3.37,26.83,9.76
12,Madhya Pradesh,3302,3252,196,3265,1084,198,112,1826,3877,1267,577,18956,7.61,25.79,9.63
13,Maharashtra,2777,1238,119,1444,1069,668,92,2865,5643,1474,443,17832,7.16,20.37,9.51
14,Manipur,194,136,4,14,79,18,0,36,73,120,0,674,0.27,32.4,26.2
15,Meghalaya,139,19,4,33,24,94,0,105,44,25,1,488,0.2,24.28,26.19
16,Mizoram,43,18,8,49,7,6,0,22,0,32,0,185,0.07,22.84,8.26
17,Nagaland,203,48,8,9,49,28,0,96,11,6,0,458,0.18,32.03,33.24
18,Orissa,1008,1253,107,617,489,305,9,990,1892,530,178,7378,2.96,21.16,14.58
19,Punjab,706,329,94,178,274,28,11,54,6,57,180,1917,0.77,8.75,13.77
20,Rajasthan,1622,2248,87,1162,2857,97,2,1183,21413,1173,349,32193,12.92,65.51,19.92
21,Sikkim,5,5,2,9,11,1,0,9,42,0,0,84,0.03,17.5,11.83
22,Tamil Nadu,1883,1668,16,327,976,171,1,600,7195,1355,112,14304,5.74,24.31,10.88
23,Tripura,228,34,1,90,183,115,4,120,266,106,19,1166,0.47,37.37,32.12
24,Uttar Pradesh,8500,8261,1332,1854,3931,1146,113,5395,6980,1157,1983,40652,16.32,26.64,23.57
25,West Bengal,1927,580,631,855,906,510,218,869,6285,139,77,12997,5.22,17.46,18.8
Total States,Total States,37083,29033,3632,14340,19549,7997,867,22084,92387,12308,5378,244658,98.22,26.65,14.88
26,A & N Islands,11,8,1,7,2,0,0,0,8,4,0,41,0.02,12.06,10.9
27,Chandigarh,20,21,5,9,32,0,0,5,48,4,2,146,0.06,18.02,7.13
28,D & N Haveli,8,6,2,3,4,3,0,0,40,3,0,69,0.03,43.13,16.83
29,Daman & DIU,4,2,0,1,4,1,0,3,26,0,0,41,0.02,37.27,15.89
30,Delhi,518,512,82,484,1250,32,21,609,236,87,132,3963,1.59,34.89,6.62
31,Lakshadweep,0,0,0,0,0,0,0,0,1,7,0,8,0,13.33,18.18
32,Pondicherry,27,15,6,2,7,2,0,4,85,12,1,161,0.06,17.89,6.52
Total (UTs),Total (UTs),588,564,96,506,1299,38,21,621,444,117,135,4429,1.78,32.23,6.76
Total (All -India),Total (All -India),37671,29597,3728,14846,20848,8035,888,22705,92831,12425,5513,249087,100,26.73,14.57
