SI.No.,State/UT,Total No. of persons under Arrest* Including those from Previous Year,Number of - Persons released before Trial,Number of - Persons Chargesheeted,Number of- Persons Under Investigation at the end of the year,Pendency Percentage,Percentage of Pendency to All-India total
1,Andhra Pradesh,763889,5283,716326,42280,5.5,15.5
2,Arunachal Pradesh,114,25,24,65,57,0
3,Assam,12492,694,2826,8972,71.8,3.3
4,Bihar,25391,957,15723,8711,34.3,3.2
5,Goa,1796,12,1731,53,3,0
6,Gujarat,214271,72,193516,20683,9.7,7.6
7,Haryana,107174,341,93170,13663,12.7,5
8,Himachal Pradesh,7835,107,6128,1600,20.4,0.6
9,Jammu & Kashmir,5414,81,4724,609,11.2,0.2
10,Karnataka,973842,3666,965331,4845,0.5,1.8
11,Kerala,30255,730,23890,5635,18.6,2.1
12,Madhya Pradesh,303701,13035,288949,1717,0.6,0.6
13,Maharashtra,410625,260,383020,27345,6.7,10.1
14,Manipur,1525,276,271,978,64.1,0.4
15,Meghalaya,455,30,201,224,49.2,0.1
16,Mizoram,2926,0,2544,382,13.1,0.1
17,Nagaland,1198,85,452,661,55.2,0.2
18,Orissa,8039,23,7893,123,1.5,0
19,Punjab,30023,254,21597,8172,27.2,3
20,Rajasthan,25743,55,25392,296,1.1,0.1
21,Sikkim,637,1,597,39,6.1,0
22,Tamil Nadu,697152,109482,502292,85378,12.2,31.4
23,Tripura,2070,480,1510,80,3.9,0
24,Uttar Pradesh,540674,4074,521451,15149,2.8,5.6
25,West Bengal,918756,4124,895921,18711,2,6.9
Total States,Total States,5085997,144147,4675479,266371,5.2,98
26,A & N Islands,3661,0,3149,512,14,0.2
27,Chandigarh,297,4,178,115,38.7,0
28,D & N Haveli,21,0,16,5,23.8,0
29,Daman & DIU,31,0,17,14,45.2,0
30,Delhi,21359,313,16182,4864,22.8,1.8
31,Lakshadweep,1,1,0,0,0,0
32,Pondicherry,3345,3,3302,40,1.2,0
Total (UTs),Total (UTs),28715,321,22844,5550,19.3,2
Total (All -India),Total (All -India),5114712,144468,4698323,271921,5.3,100
