SI.No.,Category,State/UT/City,Arms Act,Narcotic Drugs & Psy. Subtances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Sub.Act,Immoral Traffic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection of civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,State,Andhra Pradesh,0,0,4,15,6,0,20,0,0,1,0,0,1,0,2,0,0,0,0,2,0,39,90
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,1,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,19
4,State,Bihar,10,0,1,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,74
5,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
6,State,Gujarat,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,34,70
7,State,Haryana,61,2,10,147,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,231
8,State,Himachal Pradesh,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka,0,1,2,1,0,0,67,0,0,3,2,0,0,0,1,0,0,0,0,4,0,26,107
11,State,Kerala,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12,State,Madhya Pradesh,24,3,86,30,0,1,0,23,0,1,0,2,0,0,0,0,0,0,0,1,0,1183,1354
13,State,Maharashtra,4,1,31,0,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,559,684
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
16,State,Mizoram,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
