SI.No.,Category,State/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others places - Number,Others Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,409,116.7,283,95,0,0,7,0.9,1,7.3,35,3.1,137,26.3,872,249.3
2,State,Arunachal Pradesh,43,11,1,0,0,0,0,0,0,0,4,0.8,12,0.5,60,12.3
3,State,Assam,461,78.3,65,29.9,0,0,0,0,15,17.9,94,36.6,392,32,1027,194.7
4,State,Bihar,918,134.1,885,196.2,1,2,43,3.8,19,14.2,211,154.6,854,132.6,2931,635.9
5,State,Goa,15,15.5,8,2.6,1,0.1,0,0,0,0,4,0.7,37,6.1,65,25.1
6,State,Gujarat,238,46.1,105,123.4,1,0.1,26,4,2,2.2,72,39,800,287.8,1244,502.6
7,State,Haryana,33,21.4,37,69.1,0,0,0,0,1,0.3,9,3.1,121,129.1,201,223.1
8,State,Himachal Pradesh,2,0.7,2,10.7,0,0,0,0,0,0,2,0.2,13,11.2,19,22.7
9,State,Jammu & Kashmir,40,8,44,31,0,0,0,0,0,0,31,10.1,74,85.3,189,134.5
10,State,Karnataka,389,125,44,25.2,0,0,14,1.5,2,0.4,55,23.5,720,170.9,1224,346.5
11,State,Kerala,62,12.1,10,9.6,0,0,3,0.1,0,0,4,3.1,167,101.7,246,126.6
12,State,Madhya Pradesh,209,22.4,316,88.9,0,0,19,1,2,2.4,64,14.9,1144,185.2,1754,314.8
13,State,Maharashtra,509,185.6,229,117.6,1,0,77,7.2,0,0,203,268.2,1764,790.1,2783,1368.7
14,State,Manipur,0,0,11,7.1,0,0,0,0,0,0,0,0,10,0.6,21,7.7
15,State,Meghalaya,8,1,28,6.5,0,0,0,0,1,0.4,19,17,51,6.1,107,31.1
16,State,Mizoram,4,0.2,3,0,0,0,0,0,3,18.2,0,0,13,0.3,23,18.8
