SI.No.,States/UT/City,Total no. of Cases Reported,Sex-wise/Age group-wise - Up to 10 Years - Male,Sex-wise/Age group-wise - Up to 10 Years - Female,Sex-wise/Age group-wise - 11 to 15 Years - Male,Sex-wise/Age group-wise - 11 to 15 Years - Female,Sex-wise/Age group-wise - 16 to 18 Years - Male,Sex-wise/Age group-wise - 16 to 18 Years - Female,Sex-wise/Age group-wise - 19 to 30 Years - Male,Sex-wise/Age group-wise - 19 to 30 Years - Female,Sex-wise/Age group-wise - 31 to 50 Years - Male,Sex-wise/Age group-wise - 31 to 50 Years - Female,Sex-wise/Age group-wise - Above to 50 Years - Male,Sex-wise/Age group-wise - Above to 50 Years - Female,Sex-wise/Age group-wise - Total - Male,Sex-wise/Age group-wise - Total - Female,Sex-wise/Age group-wise - Grand Total
1,Andhra Pradesh,1169,7,4,54,96,72,286,180,299,154,21,30,10,497,716,1213
2,Arunachal Pradesh,70,0,1,0,7,15,17,17,8,5,10,0,0,27,43,70
3,Assam,1440,1,1,13,64,70,602,149,425,53,55,5,2,291,1149,1440
4,Bihar,2599,17,1,111,90,194,276,881,383,561,61,44,0,1808,811,2619
5,Goa,11,0,1,0,1,2,5,2,0,2,0,0,0,6,7,13
6,Gujarat,1336,18,16,16,153,14,551,203,314,94,41,9,1,354,1076,1430
7,Haryana,542,22,9,16,95,36,160,76,75,58,7,4,0,212,346,558
8,Himachal Pradesh,126,0,0,1,10,1,34,9,46,9,16,1,0,21,106,127
9,jammu & Kashmir,623,1,3,2,50,1,107,125,300,10,13,11,0,150,473,623
10,Karnataka,630,12,10,18,47,18,144,101,178,82,25,5,3,236,407,643
11,Kerala,188,9,3,8,20,8,47,25,44,12,13,2,0,64,127,191
12,Madhya Pradesh,1203,18,17,20,228,48,313,211,238,151,37,21,1,469,834,1303
13,Maharashtra,1125,18,19,23,171,65,467,115,245,63,17,6,2,290,921,1211
14,Manipur,73,0,0,0,8,2,14,17,15,19,1,4,0,42,38,80
15,Meghalaya,37,0,0,0,1,0,0,16,6,14,0,0,0,30,7,37
16,Mizoram,3,0,0,1,0,0,1,0,1,0,0,0,0,1,2,3
17,Nagaland,48,0,0,7,0,10,6,25,4,16,1,0,0,58,11,69
18,Orissa,482,0,2,0,16,1,128,28,293,7,4,3,0,39,443,482
19,Punjab,423,19,10,7,50,34,115,75,101,31,9,0,0,166,285,451
20,Rajasthan,3157,12,10,14,84,88,531,242,1616,130,409,19,2,505,2652,3157
21,Sikkim,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,1178,0,3,7,39,12,296,96,553,146,26,0,0,261,917,1178
23,Tripura,219,3,1,9,4,18,14,76,19,162,0,15,0,283,38,321
24,Uttar Pradesh,4158,71,28,212,648,329,1213,512,762,281,95,37,0,1442,2746,4188
25,West Bengal,945,13,15,21,111,53,339,84,237,30,31,9,10,210,743,953
Total States,Total States,21785,241,154,560,1993,1091,5666,3255,6162,2090,892,225,31,7462,14898,22360
26,A & N Islands,4,1,0,0,0,0,2,1,0,0,0,0,0,2,2,4
27,Chandigarh,48,1,0,1,11,0,23,5,3,5,0,0,0,12,37,49
28,D & N Haveli,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2
29,Daman & DIU,3,0,0,0,1,0,0,0,1,7,0,0,0,1,2,3
30,Delhi,1375,114,91,84,362,36,326,110,216,70,17,10,3,424,1015,1439
31,Lakshadeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,7,1,0,0,0,0,2,3,0,1,0,0,0,5,2,7
Total (UTs),Total (UTs),1439,117,91,86,374,36,353,120,220,77,17,10,3,446,1058,1504
Total (All-India),Total (All-India),23224,358,245,646,2367,1127,6019,3375,6382,2167,909,235,34,7908,15956,23864
33,Ahmedabad,200,2,2,2,44,3,93,62,10,10,0,3,0,82,149,231
34,Bangalore,158,4,3,9,9,6,36,23,35,32,4,3,0,77,87,164
35,Bhopal,37,2,0,0,12,0,16,2,5,0,0,0,0,4,33,37
36,Calcutta,134,6,4,2,35,2,37,21,20,10,0,5,0,46,96,142
37,Chennai,41,0,0,0,0,0,0,5,9,24,3,0,0,29,12,41
38,Coimbatore,23,0,2,0,1,3,4,3,7,3,0,0,0,9,14,23
39,Delhi,1176,98,78,72,310,31,276,94,185,61,16,7,3,363,868,1231
40,Hyderabad,96,0,0,8,0,3,40,17,0,26,0,2,0,56,40,96
41,Indore,35,1,1,1,16,0,7,2,4,2,1,0,0,6,29,35
42,Jaipur,191,0,20,0,32,44,38,14,40,1,2,0,0,59,132,191
43,Kanpur,190,5,1,7,4,10,18,16,115,4,9,1,0,43,147,190
44,Kochi,9,0,0,1,0,0,3,1,1,2,0,1,0,5,4,9
45,Lucknow,114,3,0,1,21,11,41,1,28,4,4,0,0,20,94,114
46,Ludhiana,50,0,1,5,8,0,24,9,8,1,0,0,0,18,41,59
47,Madurai,21,0,0,2,0,0,19,0,0,0,0,0,0,2,19,21
48,Mumbai,189,8,8,4,38,6,114,23,36,10,4,2,0,53,200,253
