SI.No.,States/UT/City,Number of Victims - UP To 10 Years - Male,Number of Victims - UP To 10 Years - Female,Number of Victims - UP To 10 Years - Total,Number of Victims - 11-15 Years - Male,Number of Victims - 11-15 Years - Female,Number of Victims - 11-15 Years - Total,Number of Victims - 16-18 Years - Male,Number of Victims - 16-18 Years - Female,Number of Victims - 16-18 Years - Total,Number of Victims - 19-30 Years - Male,Number of Victims - 19-30 Years - Female,Number of Victims - 19-30 Years - Total,Number of Victims - 31-50 Years - Male,Number of Victims - 31-50 Years - Female,Number of Victims - 31-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - Total of All Age Groups - Male,Number of Victims - Total of All Age Groups - Female,Number of Victims - Total of All Age Groups - Total
1,Andhra Pradesh,2,0,2,0,0,0,1,2,3,80,5,85,38,10,48,2,0,2,123,17,140
2,Arunachal Pradesh,0,0,0,0,0,0,2,0,2,2,0,2,2,0,2,0,0,0,6,0,6
3,Assam,1,0,1,5,0,5,12,2,14,39,0,39,14,1,15,0,0,0,71,3,74
4,Bihar,4,1,5,7,0,7,60,11,71,240,73,313,266,39,305,41,0,41,618,124,742
5,Goa,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,6,0,6
6,Gujarat,1,1,2,0,0,0,0,0,0,11,1,12,13,1,14,0,0,0,25,3,28
7,Haryana,2,2,4,2,0,2,6,2,8,48,6,54,30,5,35,4,0,4,92,15,107
8,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,1,1,2,5,2,7
9,jammu & Kashmir,0,1,1,2,0,2,1,0,1,8,3,11,8,1,9,3,0,3,22,5,27
10,Karnataka,1,2,3,1,0,1,1,0,1,18,4,22,18,8,26,5,1,6,44,15,59
11,Kerala,2,0,2,0,0,0,1,0,1,25,4,29,38,3,41,15,3,18,81,10,91
12,Madhya Pradesh,2,2,4,23,0,23,24,4,28,48,24,72,43,11,54,14,1,15,154,42,196
13,Maharashtra,4,1,5,0,2,2,4,12,16,19,15,34,24,5,29,3,4,7,54,39,93
14,Manipur,0,0,0,0,0,0,1,0,1,25,0,25,24,0,24,2,0,2,52,0,52
15,Meghalaya,0,0,0,0,0,0,1,0,1,3,0,3,3,0,3,0,0,0,7,0,7
16,Mizoram,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0,0,0,0,35,8,43,20,1,21,1,0,1,56,9,65
19,Punjab,2,2,4,2,1,3,8,2,10,61,29,90,50,15,64,6,2,8,129,51,180
20,Rajasthan,0,2,2,4,0,4,1,2,3,10,13,23,12,5,17,1,1,2,28,23,51
21,Sikkim,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,0,1,1,2,1,3,1,3,4,4,1,5,8,2,10,2,0,2,17,8,25
23,Tripura,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
24,Uttar Pradesh,0,0,0,3,0,3,131,7,138,461,39,500,551,43,594,110,9,119,1256,98,1354
25,West Bengal,2,0,2,6,1,7,28,3,31,303,41,344,225,32,257,27,6,33,591,83,674
Total States,Total States,23,15,38,57,5,62,283,50,333,1442,268,1710,1395,182,1577,240,28,268,3440,548,3988
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,1,0,1,0,0,0,3,1,4,4,0,4,0,0,0,8,1,9
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,5,5,10,4,0,4,4,0,4,62,1,63,48,6,54,9,2,11,132,14,146
31,Lakshadeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,1,0,1,5,0,5
Total (UTs),Total (UTs),5,5,10,5,0,5,4,0,4,67,2,69,54,6,60,10,2,12,145,15,160
