SI.No.,States/UT,ARMS Act,NDPS Act,Gambling Act,Excise Act,prohibition Act,Exp. & Exp. Sub.Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,P.C.R. Act,Indian Passport Act,Essenial Commodiies Ac,Tada Act,Ant. & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,Andhra Pradesh,96.2,98.2,100,97.4,99.5,96.8,100,99.3,100,99.6,100,100,100,100,97.6,100,100,100,NA,98.7,100,99.9,99.9
2,Arunachal Pradesh,68.8,87.5,NA,NA,NA,100,100,NA,100,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,100,60,79.2
3,Assam,75.2,85.2,71.8,89.1,23.1,49.1,38.5,72.7,85.7,NA,100,73.3,56.9,NA,66.7,NA,NA,0,NA,NA,83.3,58.5,65.2
4,Bihar,96.3,94.6,96.9,96.8,80,86,82.4,66.7,100,100,50,91.2,NA,100,88.9,100,62.5,100,NA,91.3,92.1,86.7,93.1
5,Goa,100,93.3,100,NA,NA,100,100,0,100,NA,NA,75,NA,NA,NA,NA,NA,87.5,NA,NA,NA,90,96.1
6,Gujarat,98.4,96.5,99.9,NA,99.9,92.3,100,98.7,85.7,97.4,100,100,NA,NA,84.6,100,100,100,NA,97.9,100,99.1,99.6
7,Haryana,96.8,92.7,99.2,95.2,NA,83.3,100,94.8,100,100,88.9,97.7,NA,NA,100,50,NA,100,NA,100,NA,97.5,96.3
8,Himachal Pradesh,96.6,98.2,100,99.7,NA,100,NA,50,100,66.7,NA,88.9,NA,NA,100,100,NA,100,NA,100,75.9,85.1,97.5
9,jammu & Kashmir,53.4,95.1,100,98.3,NA,26.8,100,0,100,NA,56,99.8,66.7,NA,NA,NA,NA,80,NA,NA,93.1,47.7,67.3
10,Karnataka,97.7,97.3,100,86.7,100,76.1,100,66.7,100,90.1,100,92.6,NA,NA,99.1,NA,100,97.6,NA,91.3,78.6,99.9,99.8
11,Kerala,75.9,99,99.9,95.1,92.4,66.7,94.6,80,100,100,100,88.9,NA,NA,100,100,100,100,NA,92.4,NA,92.7,93
12,Madhya Pradesh,99.9,99.4,100,100,NA,98.5,100,99.9,100,100,100,98.4,NA,NA,99.5,NA,NA,100,NA,95.8,98.5,99.9,99.9
13,Maharashtra,99.1,96.8,99.9,NA,99.5,91.5,100,97,98.7,97.9,89.5,96.5,NA,NA,100,100,100,100,NA,88.3,83.3,99.8,99.6
14,Manipur,33.3,70.1,100,NA,NA,6.7,0,NA,0,NA,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,29.6
