Sl No (1),Crime Head (2),Total No. of Cases for Trial Including Pending Cases (3),Cases Which Drawn by. Govt. (4),No. of Cases Compounded or Which Drawn (5),No. of Cases In Which Trials Were Completed Convicted (6),No. of Cases In Which Trials Were Completed Acquitted or Discharged (7),No. of Cases In Which Trials Were Completed Total [(6) +(7)] (8),No. of Cases Pending Trial (9)
1,Arms Act,288555,0,317,28497,21982,50479,237759
2,Narcotic Drugs & Psychotropic Substances Act,105185,0,1709,7558,10148,17706,85770
3,Gambling Act,313256,2,1347,92070,19821,111891,200018
4,Excise Act,427158,5469,1355,71989,36377,108366,317437
5,Prohibition Act,1972313,0,50824,240052,163684,403736,1517753
6,Explosive & Explosive Substances Act,23414,0,65,1506,1688,3194,20155
7,Immoral Traffic (P) Act,15423,0,59,8653,636,9389,6075
8,Indian Railways Act,54264,0,297,32893,1163,34056,19911
9,Registration of Foregners Act,4179,1,9,910,88,998,3172
10,Protection Of Civil Rights Act,7053,43,23,447,1259,1706,5324
11,Indian Passport Act,1072,0,3,213,108,321,748
12,Essential Commodities Act,31008,0,72,867,2873,3740,27196
13,Terrorist & Disruptive Actvites Act,2661,0,6,36,157,193,2462
14,Antiquity & Art Treasure Act,68,0,0,0,6,6,62
15,Dowry Prohibition Act,9470,0,222,358,1114,1472,7776
16,Child Marriage Restraint Act,244,0,0,16,33,49,195
17,Indecent Representation of Women (P)Act,740,0,4,237,49,286,450
18,Copy Rights Act,5366,0,12,184,540,724,4630
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/St (Prevention of Atrocities ) Act,49703,1,642,2320,5778,8098,40963
21,Forest Act,16649,0,17,2653,1168,3821,12811
22,Other SLL Crimes,3891441,265,434134,2339822,121205,2461027,996280
23,Total cognizable Crimes Under SLL,7219222,5781,491117,2831281,389877,3221158,3506947
