Sl. No.,Nature of property,Number of Cases in which property was Stolen,Number of cases in which property was Recoverd,Percentage of Recovery (cases),Value of propery (Rs.in Lakh) Stolen,Value of propery (Rs.in Lakh) Recovered,Percentage of Recovery (Value)
1,Communication & Electricity Wire,11650,3170,27.2,1919.9,385.1,20.1
2,Cattle,9316,4780,51.3,812.1,432.4,53.2
3,Cycle,16728,9305,55.6,296.2,179,60.4
4,Motor Car Including lorries busses Etc.,15868,5455,34.4,25466.9,10040.3,39.4
5,Motor Cycle & Scooters Etc.,40379,13139,32.5,8434.5,3409.9,40.4
6,Fire Arms,587,178,30.3,152.1,43,28.3
7,Explosives,111,41,36.9,120.9,1.4,1.1
8,Electronic Equipments,10077,3352,33.3,1465.8,330.6,22.6
9,Cultural Property Including Antiques,1460,368,25.2,234.3,103.6,44.2
10,Other kinds of Property Stolen,324630,105400,32.5,119177.5,35394.3,29.7
11,Total,430806,145188,33.7,158080.3,50319.5,31.8
