SI.No.,States/UT,Number of Zones,Number of Ranges,Number of Police Districts,Number of Sub Divisions,Number of Circles,Numbers of Rural Police Stations,Number of Urban Police Stations,Number of Women Police Stations
1,Andhra Pradesh,7,8,28,143,416,1210,364,23
2,Arunachal Pradesh,1,2,13,2,17,52,14,0
3,Assam,0,5,25,24,49,124,106,1
4,Bihar,6,18,64,131,231,958,217,0
5,Goa,0,0,2,5,0,8,17,0
6,Gujarat,14,15,30,80,82,290,169,3
7,Haryana,0,4,20,50,0,129,60,1
8,Himachal Pradesh,0,3,12,16,0,57,27,0
9,Jammu & Kashmir,2,6,14,34,26,97,30,2
10,Karnataka,6,7,54,119,233,443,328,6
11,Kerala,2,4,17,49,166,375,59,3
12,Madhya Pradesh,0,14,65,179,0,731,465,12
13,Maharashtra,31,9,32,168,139,567,296,0
14,Manipur,0,3,9,10,0,34,21,1
15,Meghalaya,0,2,7,10,16,13,13,0
16,Mizoram,NR,NR,NR,NR,NR,NR,NR,NR
17,Nagaland,0,6,10,26,25,40,4,0
18,Orissa,0,7,34,35,90,300,149,4
19,Punjab,NR,NR,NR,NR,NR,NR,NR,NR
20,Rajasthan,0,8,37,0,170,390,317,12
21,Sikkim,0,1,4,10,0,14,13,0
22,Tamil Nadu,7,11,37,189,595,1006,396,58
23,Tripura,0,1,4,17,19,30,14,0
24,Uttar Pradesh,7,19,83,306,391,1215,302,13
25,West Bengal,18,20,20,62,110,257,138,0
Total States,Total States,101,173,621,1665,2775,8340,3519,139
26,A & N Islands,0,0,2,4,4,14,1,0
27,Chandigarh,0,0,0,3,0,0,11,0
28,D & N Haveli,0,0,0,0,0,2,0,0
29,Daman & DIU,0,0,3,2,0,0,2,0
30,Delhi,0,3,9,38,0,0,123,0
31,Lakshadweep,0,0,1,1,1,9,0,0
32,Pondicherry,1,1,1,3,11,18,19,1
Total (UTs),Total (UTs),1,0,16,51,16,43,156,1
Total (All-India),Total (All-India),102,177,637,1716,2791,8383,3675,140
