SI.No,Crime Head,1998,1999,Percentage Variation in 1999 Over 1998,Percentage Share of Arrestees Under Each Crime During 1999
1,Murder,81391,77334,-5,3
2,Attempt to Commit Murder,73068,73070,0,2.8
3,C.H. Not Amounting To Murder,7381,7204,-2.4,0.3
4,Rape,19585,20313,3.7,0.8
5,Kidnapping & Abduction,30671,30383,-0.9,1.2
5,I)Of Woman & Girls,18959,18959,0,0.7
5,II)Of Others,11712,11424,-2.5,0.4
6,Dacoity,25309,23321,-7.9,0.9
7,Preparation & Assembly for Dacoity,5298,7261,37.1,0.3
8,Robbery,32089,29715,-7.4,1.1
9,Burglary,72610,70189,-3.3,2.7
10,Theft,167388,170360,1.8,6.6
10,I) Auto Theft,*,27249,NA,1
10,II) Other Theft,*,143047,NA,5.5
11,Riots,436794,397066,-9.1,15.3
12,Criminal Breach of Trust,15108,15267,1.1,0.6
13,Cheating,32489,36946,13.7,1.4
14,Counterfeiting,1648,1572,-4.6,0.1
15,Arson,14784,13619,-7.9,0.5
16,Hurt,444633,445827,0.3,17.1
17,Dowry Deaths,18080,17305,-4.3,0.7
18,Molestation,38663,40815,5.6,1.6
19,Sexual Harassment,10854,10480,-3.4,0.4
20,Cruelty by Husband and Relatives,96961,101630,4.8,3.9
21,Importation of Girls,*,3,NA,0
22,Other IPC Crimes,1026612,1011196,-1.5,38.9
23,Total Cognizable Crimes Under IPC,2651416,2600876,-1.9,100
