SI.No.,States/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,20,4,1,14,3,3,0,0,1,2,120,264,6,258,11,0,2,0,1,74,1,3,1,15,0,53,590
2,Arunachal Pradesh,0,0,0,2,0,0,0,1,0,1,10,12,0,12,2,0,0,0,0,7,0,1,0,0,0,6,42
3,Assam,5,0,0,0,1,0,1,0,0,0,37,83,0,83,16,0,0,0,2,17,0,2,0,4,0,15,182
4,Bihar,14,38,10,4,1,0,1,5,0,9,29,74,6,68,39,1,2,0,0,7,5,1,0,4,0,139,382
5,Goa,0,1,0,1,0,0,0,0,0,1,7,6,2,4,2,0,0,0,0,1,0,0,0,0,0,2,21
6,Gujarat,17,19,0,7,31,31,0,3,0,3,111,233,38,195,71,7,6,1,7,189,2,9,4,51,0,304,1075
7,Haryana,11,4,0,4,7,4,3,0,0,3,16,40,4,36,27,0,1,0,0,88,8,7,5,31,0,48,300
8,Himachal Pradesh,5,0,0,4,1,0,1,0,0,1,8,9,0,9,4,0,0,0,0,8,0,1,1,1,0,4,47
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,8,7,0,0,0,0,0,1,0,4,57,72,3,69,47,0,0,0,1,53,0,1,0,10,0,25,286
11,Kerala,2,1,0,2,0,0,0,0,0,1,7,21,0,21,5,0,0,0,1,3,0,0,0,0,0,8,51
12,Madhya Pradesh,72,53,4,75,9,8,1,2,0,17,309,273,10,263,55,2,5,0,7,528,4,51,9,26,0,879,2380
13,Maharashtra,48,24,0,20,10,5,5,13,1,11,359,529,30,499,100,0,7,0,18,377,17,20,5,90,0,199,1848
