SI.No.,States/UT/City,7-12 Years - Boys,7-12 years - Girls,12-16 Years - Boys,12-16 years - Girls,16-18 Years - Girls only,Overall age Group - Boys,Overall age Group - Girls,Total (Boys + Girls )
1,Andhra Pradesh,1,0,23,0,45,24,45,69
2,Arunachal Pradesh,0,1,0,0,0,0,1,1
3,Assam,1,2,3,4,0,4,6,10
4,Bihar,1,0,51,37,48,52,85,137
5,Goa,0,0,0,0,0,0,0,0
6,Gujarat,24,8,179,20,568,203,596,799
7,Haryana,0,0,42,1,6,42,7,49
8,Himachal Pradesh,0,0,1,1,0,1,1,2
9,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,Karnataka,5,1,11,4,11,16,16,32
11,Kerala,0,0,0,0,1,0,1,1
12,Madhya Pradesh,29,0,308,7,104,337,111,448
13,Maharashtra,20,1,153,10,507,173,518,691
14,Manipur,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0
16,Mizoram,0,0,8,0,28,8,28,36
17,Nagaland,0,0,0,0,0,0,0,0
18,Orissa,0,0,1,0,0,1,0,1
19,Punjab,0,0,2,0,0,2,0,2
20,Rajasthan,3,3,25,4,5,28,12,40
21,Sikkim,0,0,0,0,0,0,0,0
22,Tamil Nadu,2281,215,1006,220,514,3287,949,4236
23,Tripura,0,0,0,0,0,0,0,0
24,Uttar Pradesh,0,0,0,0,16,0,16,16
25,West Bengal,0,0,0,0,0,0,0,0
Total States,Total States,2365,231,1813,308,1853,4178,2392,6570
26,A & N Islands,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,4,3,0,4,3,7
28,D & N Haveli,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0
30,Delhi,1,0,11,0,0,12,0,12
31,Lakshadweep,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),1,0,15,3,0,16,3,19
Total (All-India),Total (All-India),2366,231,1828,311,1853,4194,2395,6589
33,Ahmedabad,0,0,12,2,38,12,40,52
34,Bangalore,5,1,2,2,0,7,3,10
35,Bhopal,0,0,0,0,0,0,0,0
36,Calcutta,0,0,0,0,0,0,0,0
37,Chennai,0,0,0,0,7,0,7,7
38,Coimbatore,27,1,27,0,0,54,1,55
39,Delhi,1,0,11,0,0,12,0,12
40,Hyderabad,0,0,0,0,4,0,4,4
41,Indore,0,0,17,0,0,17,0,17
42,Jaipur,0,3,0,0,0,0,3,3
43,Kanpur,0,0,0,0,0,0,0,0
44,Kochi,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0
46,Ludhiana,0,0,0,0,0,0,0,0
47,Madurai,73,0,229,0,0,302,0,302
48,Mumbai,0,0,10,0,426,10,426,436
49,Nagpur,1,0,18,2,0,19,2,21
50,Patna,0,0,13,0,2,13,2,15
51,Pune,2,0,3,0,0,5,0,5
52,Surat,2,6,14,1,161,16,168,184
53,Vadodra,0,0,25,3,16,25,19,44
54,Varanasi,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0,0
Total Cities,Total Cities,111,11,381,10,654,492,675,1167
