SI.No.,State/UT,Area (In Sqr. Kms),Estimated Mid Year population ( in 000),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. To A.S.I.,Actual Police Strength (of Ranks) - Head Constable to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI + ASI of Civil Pol.),No. of Policemen per 100 Sqr.Kms. of Area,"No. of Policemen per - 1,000 of Population","No. of Policemen - Per 1,00,000 of Population",No. of IPC Cases Per Civil Policeman,Work Load of I.Os. - IPC,Work Load of I.Os. - SLL,Work Load of I.Os. - Total,Total Police Expenditure (Rs. In Crores),Unit Cost Per Policemen (per Annum)
1,Andhra Pradesh,275045,75854,161625,579975,741600,57530,1460,58990,97.5,5664,53326,1:09,5299,21.4,0.8,78,2.8,30.5,109.4,140,783.43,132807
2,Arunachal Pradesh,83743,1200,3121,59,3180,3113,2231,5344,58.3,606,4738,1:08,472,6.4,4.5,445,1,6.6,0.1,6.7,62.23,116448
3,Assam,78438,26295,76003,7821,83824,29883,24859,54742,54.6,6472,48270,1:07,4990,69.8,2.1,208,2.5,15.2,1.6,16.8,577.65,105522
4,Bihar,173877,100563,185120,12398,197518,77917,16973,94890,82.1,14890,80000,1:05,13083,54.6,0.9,94,2.4,14.1,0.9,15.1,1062.8,112003
5,Goa,3702,1606,3229,1718,4947,2121,403,2524,84,300,2224,1:07,253,68.2,1.6,157,1.5,12.8,6.8,19.6,40.4,160063
6,Gujarat,196024,48490,127096,168473,295569,48620,11043,59663,81.5,10711,48952,1:05,8833,30.4,1.2,123,2.6,14.4,19.1,33.5,701.49,117575
7,Haryana,44212,19927,45668,25592,71260,23081,4408,27489,84,2777,24712,1:09,2313,62.2,1.4,138,2,19.7,11.1,30.8,393.14,143017
8,Himachal Pradesh,55673,6743,14045,4865,18910,7998,3967,11965,66.8,1589,10376,1:07,1237,21.5,1.8,177,1.8,11.4,3.9,15.3,140.74,117626
9,Jammu & Kashmir,101387,9986,24336,5467,29803,26156,15651,41807,62.6,4073,37734,1:09,2620,41.2,4.2,419,0.9,9.3,2.1,11.4,688.5,164685
10,Karnataka,191791,52300,144033,27834,171867,50932,0,50932,100,5028,45904,1:09,4789,26.6,1,97,2.8,30.1,5.8,35.9,672.44,132027
11,Kerala,38863,32351,120633,28776,149409,35368,6910,42278,83.7,4150,38128,1:09,3416,108.8,1.3,131,3.4,35.3,8.4,43.7,421.15,99614
12,Madhya Pradesh,443446,80225,227428,268306,495734,69246,28057,97303,71.2,15015,82288,1:05,11292,21.9,1.2,121,3.3,20.1,23.8,43.9,1046.43,107543
13,Maharashtra,307713,91428,219948,205547,425495,132627,387,133014,99.7,18291,114723,1:06,17197,43.2,1.5,145,1.7,12.8,12,24.7,1658.71,124702
14,Manipur,22327,2535,7073,2074,9147,5075,9472,14547,34.9,1431,13116,1:09,918,65.2,5.7,574,1.4,7.7,2.3,10,121.46,83495
15,Meghalaya,22429,2451,3938,397,4335,5832,2495,8327,70,1171,7156,1:06,993,37.1,3.4,340,0.7,4,0.4,4.4,94.55,113546
16,Mizoram,21081,959,6396,1458,7854,2686,3690,6376,42.1,836,5540,1:07,610,30.2,6.6,665,2.4,10.5,2.4,12.9,81.14,127258
17,Nagaland,16579,1696,3203,1149,4352,6857,8261,15118,45.4,1082,14036,1:13,630,91.2,8.9,891,0.5,5.1,1.8,6.9,167.38,110716
18,Orissa,155707,35956,63566,5466,69032,27049,7564,34613,78.1,5805,28808,1:05,5053,22.2,1,96,2.4,12.6,1.1,13.7,336.68,97270
19,Punjab,50362,23622,34954,31820,66774,51715,16527,68242,75.8,6935,61307,1:09,5391,135.5,2.9,289,0.7,6.5,5.9,12.4,796.05,116651
20,Rajasthan,342239,53874,166126,29179,195305,52046,11186,63232,82.3,7184,56048,1:08,6257,18.5,1.2,117,3.2,26.6,4.7,31.2,649.29,102684
21,Sikkim,7096,562,905,493,1398,2776,1274,4050,68.5,379,3671,1:10,269,57.1,7.2,721,0.3,3.4,1.8,5.2,40.16,99160
22,Tamil Nadu,130058,61933,185387,634285,819672,71676,11087,82763,86.6,8638,74125,1:09,7378,63.6,1.3,134,2.6,25.1,86,111.1,995.43,120275
23,Tripura,10486,3807,5274,163,5437,7710,5949,13659,56.4,1419,12240,1:09,1057,130.3,3.6,359,0.7,5,0.2,5.1,172.68,126422
24,Uttar Pradesh,294411,171544,195325,461168,656493,128521,32843,161364,79.6,15312,146052,1:10,12843,54.8,0.9,94,1.5,15.2,35.9,51.1,2132.93,132181
25,West Bengal,88752,79333,107720,1065184,1172904,50525,30008,80533,62.7,12750,67783,1:05,11139,90.7,1,102,2.1,9.7,95.6,105.3,759.91,94360
Total States,Total States,3155441,985240,2132152,3569667,5701819,977060,256705,1233765,79.2,152508,1081257,1:07,128332,39.1,1.3,125,2.2,16.6,27.8,44.4,14596.77,118311
26,A & N Islands,8249,388,1111,3336,4447,2079,766,2845,73.1,384,2461,1:06,333,34.5,7.3,733,0.5,3.3,10,13.4,30.6,107557
27,Chandigarh,114,894,3794,957,4751,2492,1517,4009,62.2,492,3517,1:07,427,3516.7,4.5,448,1.5,8.9,2.2,11.1,56.28,140384
28,D & N Haveli,491,192,583,46,629,133,92,225,59.1,17,208,1:12,15,45.8,1.2,117,4.4,38.9,3.1,41.9,1.96,87111
29,Daman & DIU,112,141,387,10,397,206,0,206,100,21,185,1:09,18,183.9,1.5,146,1.9,21.5,0.6,22.1,2.56,124272
30,Delhi,1483,14096,132493,19475,151968,43268,10083,53351,81.1,9203,44148,1:05,8308,3597.5,3.8,378,3.1,15.9,2.3,18.3,819.96,153692
31,Lakshadweep,32,72,54,8,62,326,0,326,100,52,274,1:05,50,1018.8,4.5,453,0.2,1.1,0.2,1.2,5.21,159816
32,Pondicherry,492,1119,3452,837,4289,1353,683,2036,66.5,171,1865,1:11,130,413.8,1.8,182,2.6,26.6,6.4,33,25.13,123428
Total (UTs),Total (UTs),10973,16902,141874,24669,166543,49857,13141,62998,79.1,10340,52658,1:05,9281,574.1,3.7,373,2.8,15.3,2.7,17.9,941.7,149481
Total (All -India),Total (All -India),3166414,1002142,2274026,3594336,5868362,1026917,269846,1296763,79.2,162848,1133915,1:07,137613,41,1.3,129,2.2,16.5,26.1,42.6,15538.47,119825
