SI.No.,States/UT/City,Total no. of Cases Reported,Sex -wise/Age group -wise - Upto 10 Years - Male,Sex -wise/Age group -wise - Upto 10 Years - Female,Sex -wise/Age group -wise - 11 to 15 Years - Male,Sex -wise/Age group -wise - 11 to 15 Years - Female,Sex -wise/Age group -wise - 16 to 18 Years - Male,Sex -wise/Age group -wise - 16 to 18 Years - Female,Sex -wise/Age group -wise - 19 to 30 Years - Male,Sex -wise/Age group -wise - 19 to 30 Years - Female,Sex -wise/Age group -wise - 31 to 50 Years - Male,Sex -wise/Age group -wise - 31 to 50 Years - Female,Sex -wise/Age group -wise - Above to 50 Years - Male,Sex -wise/Age group -wise - Above to 50 Years - Female,Sex -wise/Age group -wise - Total - Male,Sex -wise/Age group -wise - Total - Female,Sex -wise/Age group -wise Grand Total
1,Andhra Pradesh,1099,9,16,13,115,52,313,162,290,76,49,6,0,318,783,1101
2,Arunachal Pradesh,58,2,0,0,2,0,26,0,14,13,0,1,0,16,42,58
3,Assam,1474,1,0,19,97,90,456,138,437,110,111,15,0,373,1101,1474
4,Bihar*,2261,43,2,86,34,362,210,751,314,392,31,36,0,1670,591,2261
5,Goa,11,1,2,0,1,0,2,1,2,2,0,0,0,4,7,11
6,Gujarat,1125,25,18,15,154,27,498,65,201,67,48,15,1,214,920,1134
7,Haryana,460,19,7,22,110,27,117,33,106,21,12,2,0,124,352,476
8,Himachal Pradesh,110,0,2,0,7,4,27,6,35,7,19,2,1,19,91,110
9,Jammu & Kashmir,658,1,0,0,4,7,102,61,416,19,43,2,3,90,568,658
10,Karnataka,587,19,8,20,33,25,103,137,134,77,20,9,7,287,305,592
11,Kerala,139,14,7,6,17,11,55,27,35,17,5,1,0,76,119,195
12,Madhya Pradesh,1177,8,17,34,223,61,362,149,248,75,46,6,11,333,907,1240
13,Maharashtra,1050,31,17,24,108,71,433,101,241,59,22,7,0,293,821,1114
14,Manipur,92,0,0,0,0,0,0,26,44,22,0,0,0,48,44,92
15,Meghalaya,31,0,0,1,1,0,4,15,2,8,0,0,0,24,7,31
16,Mizoram,10,0,0,0,3,0,2,12,0,9,0,0,0,21,5,26
17,Nagaland,31,2,1,2,1,0,4,20,2,8,0,0,0,32,8,40
18,Orissa,434,2,0,8,16,6,163,24,195,20,0,0,0,60,374,434
19,Punjab,464,18,9,17,56,29,108,61,100,45,15,6,0,176,288,464
20,Rajasthan,3070,3,3,17,82,95,588,269,1494,116,382,20,1,520,2550,3070
21,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
