SI.No.,State/UT/City,Age Groups - 18-25 Years,Age Groups - 26-35 Years,Age Groups - 36-45 Years,Age Groups - 46-55 Years,Age Groups - above 55 Years,Age Groups - Total (Col.3 to 7)
1,Andhra Pradesh,1,23,19,18,2,63
2,Arunachal Pradesh,0,0,1,0,0,1
3,Assam,3,18,21,11,0,53
4,Bihar,1,25,30,6,2,64
5,Goa,0,0,0,0,1,1
6,Gujarat,1,11,25,10,2,49
7,Haryana,1,7,4,0,0,12
8,Himachal Pradesh,0,0,2,1,0,3
9,Jammu & Kashmir,34,53,12,5,0,104
10,Karnataka,1,7,2,4,0,14
11,Kerala,0,1,0,0,0,1
12,Madhya Pradesh,12,20,11,3,3,49
13,Maharashtra,6,28,28,7,0,69
14,Manipur,2,1,0,2,0,5
15,Meghalaya,0,5,0,0,0,5
16,Mizoram,0,0,1,0,0,1
17,Nagaland,0,0,2,1,0,3
18,Orissa,0,0,2,0,0,2
19,Punjab,3,30,39,14,8,94
20,Rajasthan,2,12,8,5,0,27
21,Sikkim,0,0,0,0,0,0
22,Tamil Nadu,0,4,22,12,0,38
23,Tripura,10,3,3,0,0,16
24,Uttar Pradesh,9,27,48,23,4,111
25,West Bengal,0,6,11,2,1,20
Total States,Total States,86,281,291,124,23,805
26,A & N Islands,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0
30,Delhi,2,16,3,1,0,22
31,Lakshadweep,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0
Total (UTs),Total (UTs),2,16,3,1,0,22
Total (All -India),Total (All -India),88,297,294,125,23,827
33,Ahmedabad,0,0,2,2,2,6
34,Bangalore,0,0,0,0,0,0
35,Bhopal,0,0,1,0,0,1
36,Calcutta,0,0,0,0,0,0
37,Chennai,0,0,1,0,0,1
38,Coimbatore,2,16,3,1,0,22
39,Delhi,0,0,2,0,0,2
40,Hyderabad,0,0,0,0,0,0
41,Indore,0,2,12,8,2,24
42,Jaipur,0,2,1,0,0,3
43,Kanpur,0,0,0,0,0,0
44,Kochi,0,0,4,1,1,6
45,Lucknow,0,0,2,1,0,3
46,Ludhiana,0,3,0,2,0,5
47,Madurai,0,1,1,0,0,2
48,Mumbai,0,0,0,0,0,0
49,Nagpur,0,2,1,0,0,3
50,Patna,0,0,0,0,0,0
51,Pune,0,0,0,0,0,0
52,Surat,0,0,0,0,0,0
53,Vadodra,0,0,0,0,0,0
54,Varanasi,1,3,4,4,1,13
55,Vishakhapatnam,0,0,0,0,0,0
Total Cities,Total Cities,3,29,34,19,6,91
