SI.No.,States/UT,Arms Act,NDPS Act,Gambling Act,Excise Act,prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registration of Foreigners Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodiies Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women Prohibition Act,Copy Right Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes under SLL
1,Andhra Pradesh,12.3,4.1,97,54.6,54.3,41.6,44.3,99,NA,38.7,40,0,0,0,17.8,66.7,88.6,21.4,NA,11.8,80,81.4,81.3
2,Arunachal Pradesh,66.7,100,NA,NA,NA,83.3,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.7
3,Assam,29.5,39.2,29.6,38.7,41.7,36.8,30,0,0,NA,100,36,20,NA,33.3,NA,NA,NA,NA,NA,50,26.5,29.7
4,Bihar,41,51.3,28.3,46.5,0,45.6,7.7,35.3,100,33.3,100,21.5,NA,14.3,25.3,0,22.2,66.7,NA,22.3,23.3,25.9,36.3
5,Goa,25,85.7,75.1,0,NA,NA,85.7,50,66.7,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,92.1,81.4
6,Gujarat,8.9,19.7,41.9,NA,6.1,31.6,0,87.2,81.3,0,82.6,22.8,NA,NA,0,38.9,0,0,NA,2.8,0,64.7,27
7,Haryana,36.2,11.2,81.1,33.7,NA,36.4,14.3,81.1,NA,40,0,16,NA,NA,0,NA,NA,23.5,NA,0,NA,21.2,38.3
8,Himachal Pradesh,23.1,11.5,34.4,2.2,NA,0,33.3,NA,57.1,0,NA,0,NA,NA,0,40,NA,0,NA,0,18.5,21.3,5
9,Jammu & Kashmir,0.7,13,88.4,74.3,NA,16.7,50,NA,85.7,0,66.7,5.1,3.3,NA,NA,NA,NA,0,NA,0,0,40.2,14.5
10,Karnataka,1.2,3.9,81.3,21.9,0,15.7,87.2,0,79.1,0,12.5,3.7,NA,0,1.1,100,0,0,NA,1.5,7.5,46.8,50.5
11,Kerala,10.5,69.9,90.1,5.4,26.2,23.2,43.2,100,50,0,25,10.8,NA,NA,50,NA,36.4,22.2,NA,7.4,NA,79.1,64.4
12,Madhya Pradesh,44.9,50.8,96.9,9,100,75.4,70,97.8,66.7,31.4,100,32.3,NA,0,47.4,NA,100,36.2,NA,39.2,96.7,98.6,96
13,Maharashtra,9.1,15.8,16.8,NA,9.6,9.7,7.8,97.4,88,2.7,73.3,8.5,NA,NA,8.3,0,35.3,9.7,NA,1.6,10,28.6,18.1
14,Manipur,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,90
15,Meghalaya,40,0,100,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,73.6
16,Mizoram,89.1,59.1,100,NA,NA,70,NA,NA,100,100,83.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8,77
17,Nagaland,100,100,100,66.7,73.3,100,NA,100,NA,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,100,98.1,95.7
18,Orissa,12.7,19.3,54.1,65.2,NA,15.4,20,0,NA,32,NA,13.2,NA,NA,10.2,NA,NA,10,NA,12.3,0,8,36.3
19,Punjab,56.5,18.3,83.6,73.8,NA,22.9,20,78.6,100,0,91.5,17,NA,NA,NA,NA,50,40,NA,0,NA,62.1,69.4
20,Rajasthan,62.8,21.7,90.9,85.8,NA,68.5,63,95.6,100,0,63.6,35,0,75,0,57.1,NA,59.7,NA,29,83.4,69.3,76.4
21,Sikkim,60,62.5,NA,100,NA,50,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.6,93.6
22,Tamil Nadu,51.9,82.6,98.7,100,86.6,70.3,99.4,95.5,90.9,12.3,79.3,81.8,NA,100,39.1,NA,100,94.6,NA,19.2,NA,94.6,89.8
23,Tripura,18.2,16.7,40,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23.4
24,Uttar Pradesh,68.8,62.3,72.1,79.6,NA,64.1,73.8,97.5,75,39.5,100,53.2,72.7,NA,56.1,NA,50,63.5,NA,47.6,75,78.8,77.9
25,West Bengal,25.1,39.1,79.6,84,100,25.4,80.8,0.2,95.7,NA,100,13,NA,NA,22.2,NA,NA,43.5,NA,NA,NA,99.4,98.3
Total States,Total States,59.4,49.4,84.1,58.2,61.5,55,85.2,85,94.3,25.3,77,20.4,14.6,40,24.6,43.6,78.8,44.7,0,32.3,71.1,87.9,81.4
26,A & N Islands,NA,100,100,95.4,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,95.5,95.8
27,Chandigarh,72.7,18.2,99.1,96.2,NA,100,NA,NA,0,0,NA,50,0,NA,NA,NA,NA,0,NA,NA,NA,91.9,91.7
28,D & N Haveli,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,79.2
29,Daman & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Delhi,69.5,67.3,94.3,84,NA,61.9,37.7,40,38.2,0,80.8,37.9,40.9,NA,25,NA,33.3,40,NA,20,NA,45,75.2
31,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Pondicherry,100,100,100,NA,NA,NA,97.9,NA,NA,0,NA,100,NA,NA,0,NA,NA,NA,NA,NA,NA,100,99.1
Total (UTs),Total (UTs),69.5,66.2,94.7,89.2,100,65.2,55.6,40,35,0,80.8,62.1,39.1,0,20,850,33.3,39,0,20,0,84.9,81.2
Total (All NAIndia),Total (All NAIndia),60.1,50.3,84.3,59.8,61.6,55.1,84.8,84.9,91.3,25.2,77.5,21.6,16.9,40,24.6,43.9,78.5,43.9,0,32.3,71.1,87.9,81.4
