SI.No.,State/UT,Estimated Mid - Year Population,Murder - Incidence,Murder - Rate,Murder - percentage contribution to All India,Hurt - Incidence,Hurt - Rate,Hurt - percentage contribution to All India,Rape - Incidence,Rape - Rate,Rape - percentage contribution to All India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - percentage contribution to All India,Dacoity - Incidence,Dacoity - Rate,Dacoity - percentage contribution to All India,Robbery - Incidence,Robbery - Rate,Robbery - percentage contribution to All India,Arson - Incidence,Arson - Rate,Arson - percentage contribution to All India,Prot. of Civl Rights Act - Incidence,Prot. Of Civl Rights Act - Rate,Prot. Of Civl Rights Act - percentage contribution to All India,SC/ST (Prev. of Atroc.) Act - Incidence,SC/ST (Prev. of Atroc.) Act - Rate,SC/ST (Prev. of Atroc.) Act - percentage contribution to All India,Other Offences - Incidence,Other Offences - Rate,Other Offences - percentage contribution to All India,Total - Incidence,Total - Rate,Total - percentage contribution to All India
1,Andhra Pradesh,758.5,4,0,6.8,45,0.1,10.1,17,0,4.2,2,0,4.2,0,0,0,0,0,0,1,0,3.1,6,0,19.4,83,0.1,16.5,44,0.1,1.7,202,0.3,4.8
2,Arunachal Pradesh,12,0,0,0,2,0.2,0.4,0,0,0,4,0.3,8.3,2,0.2,40,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0.2,13,1.1,0.3
3,Assam,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,1005.6,1,0,1.7,6,0,1.3,10,0,2.5,1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,28,0,1.1,61,0.1,1.5
5,Goa,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,484.9,9,0,15.3,48,0.1,10.7,24,0,6,5,0,10.4,0,0,0,0,0,0,4,0,12.5,0,0,0,24,0,4.8,201,0.4,7.6,315,0.6,7.5
7,Haryana,199.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Himachal Pradesh,67.4,0,0,0,8,0.1,1.8,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.2,0,0,0,1,0,0,11,0.2,0.3
9,Jammu & Kashmir,99.9,0,0,0,1,0,0.2,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0.1
10,Karnataka,523,6,0,10.2,3,0,0.7,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.2,50,0.1,10,2,0,0.1,64,0.1,1.5
11,Kerala,323.5,2,0,3.4,7,0,1.6,28,0.1,6.9,1,0,2.1,0,0,0,0,0,0,2,0,6.3,0,0,0,7,0,1.4,16,0,0.6,63,0.2,1.5
12,Madhya Pradesh,802.3,22,0,37.3,217,0.3,48.5,244,0.3,60.5,26,0,54.2,0,0,0,1,0,50,12,0,37.5,9,0,29,146,0.2,29.1,1168,1.5,43.9,1845,2.3,44
13,Maharashtra,914.3,0,0,0,14,0,3.1,26,0,6.5,1,0,2.1,1,0,20,0,0,0,3,0,9.4,0,0,0,13,0,2.6,84,0.1,3.2,142,0.2,3.4
14,Manipur,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,24.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0
