SI.No.,States/UT/City,No. of Vehicles two wheelers (Motor Cycle Scooters) - Stolen,No. of Vehicles two wheelers (Motor Cycle Scooters) - Recovered,No. of Vehicles two wheelers (Motor Cycle Scooters) - Coordinated,No. of Vehicles four wheelers (Private Owned) - Stolen,No. of Vehicles four wheelers (Private Owned) - Recovered,No. of Vehicles four wheelers (Private Owned) - Coordinated,No. of Vehicles four wheelers (Commercial) - Stolen,No. of Vehicles four wheelers (Commercial) - Recovered,No. of Vehicles four wheelers (Commercial) - Coordinated,No. of Vehicles four wheelers (Govt./Service Vehicles) - stolen,No. of Vehicles four wheelers (Govt./Service Vehicles) - Recovered,No. of Vehicles four wheelers (Govt./Service Vehicles) - Coordinated,No. of Vehicles others Motor Vehicles - Stolen,No. of Vehicles others Motor Vehicles - Recovered,No. of Vehicles others Motor Vehicles - Coordinated,No. of Vehicles total Motor Vehicles - Stolen,No. of Vehicles total Motor Vehicles - Recovered,No. of Vehicles total Motor Vehicles - Coordinated
1,Andhra Pradesh,2506,1215,77,229,115,15,39,28,0,6,4,0,131,30,10,2911,1392,102
2,Arunachal Pradesh,40,22,0,2,2,0,1,1,0,1,1,0,3,2,0,47,28,0
3,Assam,321,86,0,24,13,1,0,0,0,0,0,0,25,8,0,370,107,1
4,Bihar,1260,290,47,226,55,2,53,22,4,0,0,0,60,11,4,1599,378,57
5,Goa,198,45,29,31,8,7,2,1,0,0,0,0,0,0,0,231,54,36
6,Gujarat,4468,1584,664,409,167,84,75,37,30,5,4,0,204,97,55,5161,1889,833
7,Haryana,1751,703,0,579,265,0,121,73,0,5,4,0,479,210,0,2935,1255,0
8,Himachal Pradesh,48,24,4,74,38,3,9,4,1,0,0,0,20,16,1,151,82,9
9,Jammu & Kashmir,119,30,19,343,70,27,13,6,4,0,0,0,22,7,7,497,113,57
10,Karnataka,3234,1011,72,446,175,11,94,39,5,6,2,1,80,36,3,3860,1263,92
11,Kerala,769,205,21,342,105,15,47,14,2,8,6,1,201,84,14,1367,414,53
12,Madhya Pradesh,4164,1310,10,935,211,1,78,37,1,0,0,0,46,29,7,5223,1587,19
13,Maharashtra,5717,2375,694,1322,403,244,922,397,55,2,2,2,896,425,116,8859,3602,1111
14,Manipur,56,7,0,2,0,0,0,0,0,0,0,0,0,0,0,58,7,0
15,Meghalaya,17,1,1,3,1,0,1,0,0,0,0,0,9,3,0,30,5,1
16,Mizoram,27,25,25,4,3,3,1,1,1,0,0,0,0,0,0,32,29,29
17,Nagaland,68,12,0,41,9,0,10,1,0,19,4,0,0,0,0,138,26,0
18,Orissa,526,129,12,12,4,2,6,3,1,0,0,0,194,12,0,738,148,15
19,Punjab,486,193,94,382,164,69,50,34,21,3,3,0,82,45,35,1003,439,219
20,Rajasthan,3044,816,197,507,210,46,250,93,25,1,0,0,118,54,14,3920,1173,282
21,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Tamil Nadu,3926,2481,0,158,99,0,38,26,0,6,4,0,112,87,0,4240,2697,0
23,Tripura,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,0
24,Uttar Pradesh,3603,719,64,1051,250,13,331,141,11,5,4,0,74,31,5,5064,1145,93
25,West Bengal,1937,215,53,432,80,119,108,5,75,0,0,0,21,14,8,2498,314,255
