SI.No.,State/UT,Incidence,Percentage Contribution to All - India Total,Estimated Mid Year Population (In Lakhs),Rate of Total Cog. Crimes,Rank*,Rank**
1,Andhra Pradesh,1582,6.2,758.5,2.1,9,4
2,Arunachal Pradesh,0,0,12,0,NA,NA
3,Assam,11,0,263,0,22,18
4,Bihar,741,2.9,1005.6,0.7,13,9
5,Goa,1,0,16.1,0.1,21,22
6,Gujarat,1332,5.2,484.9,2.7,4,5
7,Haryana,117,0.5,199.3,0.6,15,12
8,Himachal Pradesh,52,0.2,67.4,0.8,12,13
9,Jammu & Kashmir,9,0,99.9,0.1,20,19
10,Karnataka,1329,5.2,523,2.5,6,6
11,Kerala,467,1.8,323.5,1.4,11,11
12,Madhya Pradesh,4631,18.2,802.3,5.8,2,3
13,Maharashtra,489,1.9,914.3,0.5,16,10
14,Manipur,0,0,25.4,0,NA,NA
15,Meghalaya,0,0,24.5,0,NA,NA
16,Mizoram,0,0,9.6,0,NA,NA
17,Nagaland,0,0,17,0,NA,NA
18,Orissa,793,3.1,359.6,2.2,7,8
19,Punjab,34,0.1,236.2,0.1,17,14
20,Rajasthan,5190,20.4,538.7,9.6,1,2
21,Sikkim,15,0.1,5.6,2.7,5,16
22,Tamil Nadu,1296,5.1,619.3,2.1,8,7
23,Tripura,0,0,38.1,0,NA,NA
24,Uttar Pradesh,7330,28.8,1715.4,4.3,3,1
25,West Bengal,0,0,793.3,0,NA,NA
Total States,Total States,25419,99.9,9852.4,2.6,NA,NA
26,A & N Islands,0,0,3.9,0,NA,NA
27,Chandigarh,1,0,8.9,0.1,18,22
28,D & N Haveli,0,0,1.9,0,NA,NA
29,Daman & DIU,1,0,1.4,0.7,14,22
30,Delhi,13,0.1,141,0.1,19,17
31,Lakshadweep,0,0,0.7,0,NA,NA
32,Pondicherry,21,0.1,11.2,1.9,10,15
Total (UTs),Total (UTs),36,0.1,169,0.2,NA,NA
Total (All NAIndia),Total (All NAIndia),25455,100,10021.4,2.5,NA,NA
