SI.No.,States/UT/City,Murder - 1999,Murder - 2000,Murder Percentage Variation,Attempt to Commit Murder - 1999,Attempt to Commit Murder - 2000,Attempt to Commit Murder Percentage Variation,C.H.Not Amounting to Murder - 1999,C.H.Not Amounting to Murder - 2000,C.H.Not Amounting to Murder Percentage Variation,Rape - 1999,Rape - 2000,Rape Percentage Variation,Kidnapping & Abduction Total - 1999,Kidnapping & Abduction Total - 2000,Kidnapping & Abduction Total Percentage Variation,Kidnapping & Abduction of Women & Girls - 1999,Kidnapping & Abduction of Women & Girls - 2000,Kidnapping & Abduction of Women & Girls Percentage Variation,Kidnapping & Abduction of Others - 1999,Kidnapping & Abduction of Others - 2000,Kidnapping & Abduction of Others Percentage Variation,Dacoity - 1999,Dacoity - 2000,Dacoity Percentage Variation,Preperation & Assembly for Dacoity - 1999,Preperation & Assembly for Dacoity - 2000,Preperation & Assembly for Dacoity Percentage Variation,Robbery - 1999,Robbery - 2000,Robbery Percentage Variation,Burglary - 1999,Burglary - 2000,Burglary Percentage Variation,Theft Total - 1999,Theft Total - 2000,Theft Total Percentage Variation,Theft Auto Theft - 1999,Theft Auto Theft - 2000,Theft Auto Theft Percentage Variation,Theft Other Theft - 1999,Theft Other Theft - 2000,Theft Other Theft Percentage Variation,Riots - 1999,Riots - 2000,Riots Percentage Variation,Criminal Breach of Trust - 1999,Criminal Breach of Trust - 2000,Criminal Breach of Trust Percentage Variation,Cheating - 1999,Cheating - 2000,Cheating Percentage Variation,Counterfeiting - 1999,Counterfeiting - 2000,Counterfeiting Percentage Variation,Arson - 1999,Arson - 2000,Arson Percentage Variation,Hurt - 1999,Hurt - 2000,Hurt Percentage Variation,Dowry Deaths - 1999,Dowry Deaths - 2000,Dowry Deaths Percentage Variation,Molestation - 1999,Molestation - 2000,Molestation Percentage Variation,Sexual Harassment - 1999,Sexual Harassment - 2000,Sexual Harassment Percentage Variation,Cruelty By Husband and Relatives - 1999,Cruelty By Husband and Relatives - 2000,Cruelty By Husband and Relatives Percentage,Importation of Girls - 1999,Importation of Girls - 2000,Importation of Girls Percentage Variation,Other IPC Crimes - 1999,Other IPC Crimes - 2000,Other IPC Crimes Percentage Variation,Total Cognizable Crimes Under IPC - 1999,Total Cognizable Crimes Under IPC - 2000,Total Cognizable Crimes Under IPC Percentage Variation
1,Andhra Pradesh,2711,2704,-0.3,1512,1434,-5.2,135,141,4.4,895,944,5.5,1169,1099,-6,708,716,1.1,461,383,-16.9,266,261,-1.9,7,5,-28.6,726,635,-12.5,6779,7336,8.2,15049,16296,8.3,2796,2620,-6.3,12253,13676,11.6,2853,2481,-13,748,656,-12.3,4540,4852,6.9,48,149,210.4,1057,863,-18.4,30086,29987,-0.3,452,442,-2.2,3238,3231,-0.2,1763,2280,29.3,4666,5399,15.7,0,0,0,41664,40084,-3.8,120364,121279,0.8
2,Arunachal Pradesh,62,68,9.7,53,63,18.9,6,7,16.7,39,36,-7.7,70,58,-17.1,40,42,5,30,16,-46.7,60,47,-21.7,1,0,-100,71,100,40.8,258,269,4.3,321,432,34.6,33,47,42.4,288,385,33.7,60,20,-66.7,27,34,25.9,39,62,59,1,3,200,18,20,11.1,483,436,-9.7,0,0,0,65,53,-18.5,1,2,100,5,10,100,0,0,0,626,647,3.4,2266,2367,4.5
3,Assam,1517,1523,0.4,421,477,13.3,74,57,-23,703,762,8.4,1440,1474,2.4,1149,1101,-4.2,291,373,28.2,783,708,-9.6,20,30,50,907,741,-18.3,3527,2756,-21.9,7329,5633,-23.1,454,370,-18.5,6875,5263,-23.4,3663,3406,-7,486,372,-23.5,640,530,-17.2,50,50,0,443,400,-9.7,4616,4682,1.4,40,50,25,720,777,7.9,21,18,-14.3,843,978,16,0,0,0,9049,9754,7.8,37292,35178,-5.7
4,Bihar,5116,5356,4.7,3818,4313,13,742,778,4.9,1447,1570,8.5,2599,2711,4.3,939,700,-25.5,1660,2011,21.1,2153,2090,-2.9,200,273,36.5,2691,2896,7.6,5260,4949,-5.9,13759,14079,2.3,1326,921,-30.5,12433,13158,5.8,11106,10647,-4.1,1493,1120,-25,1729,2087,20.7,83,66,-20.5,586,639,9,6142,5436,-11.5,1021,1085,6.3,547,456,-16.6,55,122,12.8,1423,1396,-1.9,0,40,NA,56678,61973,9.3,118648,124082,4.6
5,Goa,38,42,10.5,34,27,-20.6,6,6,0,18,21,16.7,11,11,0,7,7,0,4,4,0,5,4,-20,0,0,0,49,33,-32.7,427,436,2.1,755,668,-11.5,209,229,9.6,546,439,-19.6,67,62,-7.5,30,30,0,75,48,-36,3,7,133.3,28,25,-10.7,217,196,-9.7,2,2,0,26,20,-23.1,7,9,28.6,15,13,-13.3,0,0,0,776,762,-1.8,2589,2422,-6.5
6,Gujarat,1353,1317,-2.7,695,597,-14.1,20,26,30,331,330,-0.3,1336,1125,-15.8,1074,868,-19.2,262,257,-1.9,340,339,-0.3,10,5,-50,1346,1159,-13.9,6061,5853,-3.4,17812,16522,-7.2,4876,5239,7.4,12936,11283,-12.8,2111,2262,7.2,2029,1960,-3.4,2100,1751,-16.6,80,68,-15,693,583,-15.9,15954,14629,-8.3,94,93,-1.1,1083,944,-12.8,172,119,-30.8,3886,3739,-3.8,0,0,0,67280,62438,-7.2,124786,115859,-7.2
7,Haryana,839,784,-6.6,487,517,6.2,104,79,-24,372,421,13.2,542,460,-15.1,350,299,-14.6,192,161,-16.1,112,108,-3.6,98,127,29.6,438,428,-2.3,3717,3600,-3.1,6753,6513,-3.6,2949,2935,-0.5,3804,3578,-5.9,970,883,-9,433,441,1.8,1339,1029,-23.2,47,18,-61.7,219,202,-7.8,5879,5344,-9.1,288,263,-8.7,553,605,9.4,300,423,41,1369,1286,-6.1,0,0,0,14854,15959,7.4,39713,39490,-0.6
8,Himachal Pradesh,133,123,-7.5,79,89,12.7,7,8,14.3,109,129,18.3,126,110,-12.7,89,95,6.7,37,15,-59.5,4,9,125,0,0,0,17,17,0,960,821,-14.5,658,690,4.9,158,145,-8.2,500,545,9,589,610,3.6,69,71,2.9,144,131,-9,4,4,0,203,128,-36.9,1616,1591,-1.5,5,4,-20,297,288,-3,23,15,-34.8,258,307,19,0,0,0,5776,5990,3.7,11077,11135,0.5
9,Jammu & Kashmir,765,766,0.1,885,1028,16.2,26,25,-3.8,170,183,7.6,623,658,5.6,473,566,19.7,150,92,-38.7,40,38,-5,0,0,0,126,136,7.9,1294,1295,0.1,1732,1843,6.4,364,497,36.5,1368,1346,-1.6,869,934,7.5,112,103,-8,343,361,5.2,11,18,63.6,425,328,-22.8,352,332,-5.7,6,10,66.7,507,480,-5.3,341,342,0.3,39,51,30.8,0,0,0,8437,8586,1.8,17103,17517,2.4
10,Karnataka,1651,1694,2.6,1662,1550,-6.7,51,56,9.8,301,281,-6.6,630,587,-6.8,320,323,0.9,310,264,-14.8,284,236,-16.9,0,31,NA,1027,957,-6.8,8369,7522,-10.1,14592,13664,-6.4,3886,3860,-0.7,10706,9804,-8.4,7569,7571,0,499,514,3,2270,2295,1.1,81,685,745.7,278,341,22.7,24288,23180,-4.6,217,217,0,1501,1568,4.5,147,75,-49,1560,1688,8.2,0,0,0,43582,44698,2.6,110559,109410,-1
