SL.No.,Crime Head,1990,1995,1996,1997,1998,1999,Quinquennial Avg. (1995-99) (Q.A.),2000,Percentage Change in 2000 [(+)Increase /(-) Decrease ]Over 1990,Percentage Change in 2000 [(+)Increase /(-) Decrease] Over Quinquennial Avg.,Percentage Change in 2000 [(+)Increase /(-) Decrease] Over 1999
1,Murder,377,253,270,316,253,250,268,267,-29.2,-0.5,6.8
2,Attempt to Commit Murder,218,208,202,147,163,179,180,196,-10.1,9,9.5
3,C.H. Not Amounting To Murder,38,23,21,25,22,21,22,27,-28.9,20.5,28.6
4,Rape,184,174,157,163,199,159,170,198,7.6,16.2,24.5
5,Kidnapping & Abduction,92,152,132,72,153,83,118,83,-9.8,-29.9,0
5,I) of Women & Girls,83,66,43,48,134,66,71,54,-34.9,-24.4,-18.2
5,II) of Others,9,86,89,24,19,17,47,29,222.2,-38.3,70.6
6,Dacoity,116,56,44,20,35,25,36,33,-71.6,-8.3,32
7,Preparation & Assembly for Dacoity,9,3,0,1,2,2,2,7,-22.2,337.5,250
8,Robbery,185,76,87,50,52,68,67,79,-57.3,18.6,16.2
9,Burglary,1764,1285,1315,1162,1294,1344,1280,1241,-29.6,-3,-7.7
10,Theft,3778,2835,2356,1975,2143,2172,2296,2388,-36.8,4,9.9
10,I) Auto Theft,*,*,*,*,*,158,*,256,NA,NA,62
10,II) Other Theft,*,*,*,*,*,2010,*,2132,NA,NA,6.1
11,Riots,1525,955,856,513,574,509,681,532,-65.1,-21.9,4.5
12,Criminal Breach of Trust,104,33,18,16,19,13,20,24,-76.9,21.2,84.6
13,Cheating,47,54,60,43,32,31,44,37,-21.3,-15.9,19.4
14,Counterfeiting,0,1,0,1,0,7,2,3,0,66.7,-57.1
15,Arson,*,8,33,40,24,40,29,29,NA,0,-27.5
16,Hurt,*,791,1395,1242,1645,1472,1309,1497,NA,14.4,1.7
17,Dowry Deaths,*,27,42,49,77,52,49,78,NA,57.9,50
18,Molestation,*,86,117,131,136,116,117,151,NA,28.8,30.2
19,Sexual Harassment,*,27,13,25,37,27,26,41,NA,58.9,51.9
20,Cruelty by Husband and Relatives,*,192,166,154,249,273,207,334,NA,61.5,22.3
21,Importation of Girls,*,*,*,*,*,0,*,0,NA,NA,0
22,Other IPC Crimes,6793,2527,2740,1764,2243,2045,2264,2022,-70.2,-10.7,-1.1
23,Total Cognizable Crimes Under IPC,15230,9766,10024,7909,9352,8888,9188,9267,-39.2,0.9,4.3
