SI.No.,State/UT/City,7-12 Years - Boys,7-12 years - Girls,12-16 Years - Boys,12-16 years - Girls,16-18 Years - Girls only,Overall age Group - Boys,Overall age Group - Girls,Total (Boys + Girls )
1,Andhra Pradesh,48,1,582,52,189,630,242,872
2,Arunachal Pradesh,12,0,89,0,5,101,5,106
3,Assam,24,0,185,2,36,209,38,247
4,Bihar,28,1,588,28,111,616,140,756
5,Goa,2,0,21,1,3,23,4,27
6,Gujarat,87,14,598,67,343,685,424,1109
7,Haryana,20,0,316,12,123,336,135,471
8,Himachal Pradesh,3,0,33,3,13,36,16,52
9,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,Karnataka,27,2,179,15,59,206,76,282
11,Kerala,7,9,29,3,11,36,23,59
12,Madhya Pradesh,531,38,2382,237,353,2913,628,3541
13,Maharashtra,243,40,1551,110,217,1794,367,2161
14,Manipur,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,22,4,0,22,4,26
16,Mizoram,0,3,22,0,8,22,11,33
17,Nagaland,0,0,12,0,13,12,13,25
18,Orissa,39,0,178,3,4,217,7,224
19,Punjab,2,0,9,0,68,11,68,79
20,Rajasthan,62,2,447,14,383,509,399,908
21,Sikkim,0,0,23,0,0,23,0,23
22,Tamil Nadu,49,7,199,19,58,248,84,332
23,Tripura,8,0,0,0,0,8,0,8
24,Uttar Pradesh,0,0,65,3,12,65,15,80
25,West Bengal,14,2,6,1,66,20,69,89
Total States,Total States,1206,119,7536,574,2075,8742,2768,11510
26,A & N Islands,0,0,4,2,0,4,2,6
27,Chandigarh,8,1,32,3,2,40,6,46
28,D & N Haveli,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,2,0,0,2,0,2
30,Delhi,79,1,310,20,50,389,71,460
31,Lakshadweep,0,0,0,0,0,0,0,0
32,Pondicherry,1,0,15,0,0,16,0,16
Total (UTs),Total (UTs),88,2,363,25,52,451,79,530
Total (All -India),Total (All -India),1294,121,7899,599,2127,9193,2847,12040
33,Ahmedabad,0,0,118,5,13,118,18,136
34,Bangalore,12,2,70,8,4,82,14,96
35,Bhopal,0,0,0,0,0,0,0,0
36,Calcutta,0,0,22,1,0,22,1,23
37,Chennai,0,1,11,5,0,11,6,17
38,Coimbatore,79,1,310,20,50,389,71,460
39,Delhi,0,0,116,2,35,116,37,153
40,Hyderabad,45,6,66,12,18,111,36,147
41,Indore,13,0,58,0,0,71,0,71
42,Jaipur,0,0,0,0,0,0,0,0
43,Kanpur,0,0,3,0,0,3,0,3
44,Kochi,3,0,1,0,0,4,0,4
45,Lucknow,0,0,2,2,0,2,2,4
46,Ludhiana,0,0,0,0,0,0,0,0
47,Madurai,16,0,41,0,0,57,0,57
48,Mumbai,33,1,130,10,31,163,42,205
49,Nagpur,23,0,132,2,2,155,4,159
50,Patna,3,0,29,2,4,32,6,38
51,Pune,10,0,137,1,6,147,7,154
52,Surat,0,0,34,0,13,34,13,47
53,Vadodra,4,3,46,3,21,50,27,77
54,Varanasi,0,0,0,0,0,0,0,0
55,Vishakhapatnam,11,0,66,1,16,77,17,94
Total Cities,Total Cities,252,14,1392,74,213,1644,301,1945
