SI.No.,States/UT/City,Unidentified Dead Bodies Recovered and Inquest Conducted
1,Andhra Pradesh,4503
2,Arunachal Pradesh,12
3,Assam,16
4,Bihar,1761
5,Goa,173
6,Gujarat,919
7,Haryana,488
8,Himachal Pradesh,195
9,Jammu & Kashmir,113
10,Karnataka,2202
11,Kerala,287
12,Madhya Pradesh,684
13,Maharashtra,8140
14,Manipur,0
15,Meghalaya,9
16,Mizoram,1
17,Nagaland,2
18,Orissa,222
19,Punjab,1657
20,Rajasthan,620
21,Sikkim,0
22,Tamil Nadu,1311
23,Tripura,18
24,Uttar Pradesh,3878
25,West Bengal,5497
Total States,Total States,32708
26,A & N Islands,0
27,Chandigarh,13
28,D & N Haveli,0
29,Daman & DIU,16
30,Delhi,3511
31,Lakshadweep,0
32,Pondicherry,62
Total (UTs),Total (UTs),3602
Total (All -India),Total (All -India),36310
33,Ahmedabad,62
34,Bangalore,230
35,Bhopal,0
36,Calcutta,0
37,Chennai,3
38,Coimbatore,3511
39,Delhi,2672
40,Hyderabad,31
41,Indore,94
42,Jaipur,21
43,Kanpur,23
44,Kochi,450
45,Lucknow,146
46,Ludhiana,15
47,Madurai,0
48,Mumbai,2314
49,Nagpur,186
50,Patna,521
51,Pune,360
52,Surat,113
53,Vadodra,84
54,Varanasi,65
55,Vishakhapatnam,23
Total Cities,Total Cities,10924
