SI.No.,States/UT/City,1999,2000,Percentage Varificationin 2000 Over 1999,Percentage Countribution to All India during 2000
1,Andhra Pradesh,184758,186307,0.8,7
2,Arunachal Pradesh,3001,2846,-5.2,0.1
3,Assam,53215,50870,-4.4,1.9
4,Bihar,207761,237623,14.4,8.9
5,Goa,3201,3055,-4.6,0.1
6,Gujarat,176261,166519,-5.5,6.3
7,Haryana,62483,61176,-2.1,2.3
8,Himachal Pradesh,16143,17108,6,0.6
9,Jammu & Kashmir,26584,21177,-20.3,0.8
10,Karnataka,154369,163002,5.6,6.2
11,Kerala,142512,145890,2.4,5.5
12,Madhya Pradesh,312758,333083,6.5,12.6
13,Maharashtra,254181,262568,3.3,9.9
14,Manipur,1249,1198,-4.1,0
15,Meghalaya,2045,1548,-24.3,0.1
16,Mizoram,2097,4766,127.3,0.2
17,Nagaland,1088,1159,6.5,0
18,Orissa,74562,78206,4.9,3
19,Punjab,31620,36685,16,1.4
20,Rajasthan,224656,218987,-2.5,8.3
21,Sikkim,1413,544,-61.5,0
22,Tamil Nadu,202294,222498,10,8.4
23,Tripura,3853,4218,9.5,0.2
24,Uttar Pradesh,299059,301628,0.9,11.4
25,West Bengal,102039,94254,-7.6,3.6
Total States,Total States,2543202,2616915,2.9,97.8
26,A & N Islands,669,892,33.3,0
27,Chandigarh,3285,3686,12.2,0.1
28,D & N Haveli,789,796,0.9,0
29,Daman & DIU,320,375,17.2,0
30,Delhi,47702,48123,0.9,1.8
31,Lakshadweep,23,24,4.3,0
32,Pondicherry,4886,5112,4.6,0.2
Total (UTs),Total (UTs),57674,59008,2.3,2.2
Total (All -India),Total (All -India),2600876,2675923,2.9,100
33,Ahmedabad,16918,16381,-3.2,6.6
34,Bangalore,14244,13700,-3.8,5.5
35,Bhopal,11657,13267,13.8,5.3
36,Calcutta,6906,6016,-12.9,2.4
37,Chennai,4121,4060,-1.5,1.6
38,Coimbatore,41204,42859,4,17.2
39,Delhi,9271,9597,3.5,3.9
40,Hyderabad,8945,11427,27.7,4.6
41,Indore,11961,12946,8.2,5.2
42,Jaipur,9797,9083,-7.3,3.7
43,Kanpur,6170,6783,9.9,2.7
44,Kochi,7399,8493,14.8,3.4
45,Lucknow,7017,7234,3.1,2.9
46,Ludhiana,2295,2207,-3.8,0.9
47,Madurai,5106,4112,-19.5,1.7
48,Mumbai,27584,27114,-1.7,10.9
49,Nagpur,8460,9393,11,3.8
50,Patna,13821,13764,-0.4,5.5
51,Pune,12250,11877,-3,4.8
52,Surat,5893,5343,-9.3,2.1
53,Vadodra,6761,7047,4.2,2.8
54,Varanasi,2123,2712,27.7,1.1
55,Vishakhapatnam,3556,3238,-8.9,1.3
Total Cities,Total Cities,243459,248653,2.1,100
