SI.No.,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psy. Substances Act - Male,Narcotic Drugs & Psy. Substances Act - Female,Narcotic Drugs & Psy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Subs.Act - Male,Explosive & Explosive Subs.Act - Female,Explosive & Explosive Subs.Act - Total,Immoral Traffic (prevention) Act - Male,Immoral Traffic (prevention) Act - Female,Immoral Traffic (prevention) Act - Total,Indian Raiways Act - Male,Indian Raiways Act - Female,Indian Raiways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act -Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasures Act - Male,Antiquity & Art Treasures Act - Female,Antiquity & Art Treasures Act - Total,Dowry Prohibtion Act - Male,Dowry Prohibtion Act - Female,Dowry Prohibtion Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (p) Act - Male,Indecent Representation of Women (p) Act - Female,Indecent Representation of Women (p) Act - Total,Copyright Act - Male,Copyright Act - Female,Copyright Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST(Prev. of Atrocities Act) - Male,SC/ST(Prev. of Atrocities Act )- Female,SC/ST(Prev. of Atrocities Act )- Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes under SLL - Male,Total Cognizable Crimes under SLL - Female,Total Cognizable Crimes under SLL - Total,Percentage of Female to Total
1,Andhra Pradesh,863,1,864,1028,86,1114,40816,13,40829,3448,285,3733,3073,265,3338,1041,2,1043,346,813,1159,647,37,684,2,0,2,330,22,352,25,0,25,39,0,39,0,0,0,20,0,20,343,229,572,8,7,15,204,123,327,169,4,173,0,0,0,980,45,1025,64,0,64,450438,7737,458175,503884,9669,513553,1.9
2,Arunachal Pradesh,14,0,14,13,1,14,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,34,1,35,2.9
3,Assam,710,0,710,212,17,229,263,6,269,100,0,100,92,0,92,129,0,129,15,0,15,14,0,14,2,0,2,0,0,0,3,0,3,52,0,52,0,0,0,0,0,0,63,7,70,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,26,0,26,2389,30,2419,4074,60,4134,1.5
4,Bihar,3990,17,4007,548,12,560,724,0,724,2330,59,2389,0,0,0,454,5,459,19,6,25,62,0,62,3,0,3,0,0,0,0,0,0,432,0,432,16,0,16,0,0,0,2813,368,3181,2,0,2,27,0,27,4,0,4,0,0,0,2273,0,2273,260,2,262,1128,36,1164,15085,505,15590,3.2
5,Goa,4,0,4,38,0,38,1161,0,1161,0,0,0,0,0,0,1,0,1,0,127,127,2,0,2,58,0,58,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,659,37,696,1925,165,2090,7.9
6,Gujarat,517,3,520,207,16,223,22386,73,22459,0,0,0,78371,33835,112206,83,0,83,68,172,240,1751,39,1790,55,4,59,44,6,50,132,1,133,420,0,420,0,0,0,1,0,1,0,0,0,97,45,142,0,0,0,939,1,940,0,0,0,991,102,1093,7,0,7,47895,2722,50617,153964,37019,190983,19.4
7,Haryana,1069,0,1069,1241,33,1274,7188,6,7194,13094,103,13197,0,0,0,49,0,49,27,19,46,1096,0,1096,1,0,1,0,0,0,5,3,8,263,0,263,0,0,0,2,0,2,2,2,4,3,2,5,0,0,0,83,0,83,0,0,0,102,1,103,0,0,0,3744,48,3792,27969,217,28186,0.8
8,Himachal Pradesh,20,0,20,228,14,242,448,0,448,2519,667,3186,0,0,0,8,0,8,5,5,10,1,0,1,8,1,9,15,3,18,0,0,0,23,0,23,0,0,0,0,0,0,2,1,3,19,5,24,0,0,0,12,0,12,0,0,0,22,5,27,689,2,691,170,2,172,4189,705,4894,14.4
9,Jammu & Kashmir,993,3,996,139,5,144,196,0,196,405,20,425,0,0,0,177,0,177,1,0,1,0,0,0,6,0,6,3,0,3,19,0,19,571,0,571,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,315,4,319,729,117,846,3591,149,3740,4
10,Karnataka,106,0,106,340,10,350,22097,35,22132,3454,77,3531,0,0,0,165,0,165,384,2382,2766,49,0,49,31,8,39,229,12,241,38,9,47,375,1,376,0,0,0,9,0,9,492,190,682,0,0,0,0,0,0,117,0,117,0,0,0,3020,107,3127,386,5,391,6670,93,6763,37962,2929,40891,7.2
11,Kerala,490,0,490,576,26,602,10994,0,10994,526,0,526,7159,319,7478,352,0,352,119,264,383,3,1,4,9,0,9,0,0,0,31,3,34,80,1,81,0,0,0,0,0,0,9,0,9,1,0,1,58,0,58,159,0,159,0,0,0,330,18,348,70,0,70,14199,85,14284,35165,717,35882,2
12,Madhya Pradesh,7883,0,7883,1241,7,1248,78912,0,78912,33659,230,33889,0,0,0,493,4,497,111,7,118,15199,101,15300,0,0,0,48,8,56,0,0,0,267,0,267,0,0,0,0,0,0,423,4,427,17,0,17,0,0,0,159,0,159,0,0,0,2314,14,2328,88,4,92,153153,230,153383,293967,609,294576,0.2
13,Maharashtra,1591,5,1596,598,30,628,47351,29,47380,0,0,0,112353,17300,129653,129,0,129,118,575,693,6173,287,6460,31,7,38,199,23,222,72,12,84,1284,15,1299,0,0,0,1,0,1,48,5,53,72,32,104,79,1828,1907,807,7,814,0,0,0,298,16,314,59,0,59,33318,3778,37096,204581,23949,228530,10.5
14,Manipur,64,0,64,124,25,149,6,1,7,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,55,953,1126,81,1207,6.7
15,Meghalaya,46,0,46,25,3,28,36,0,36,21,0,21,0,0,0,14,0,14,0,0,0,0,0,0,7,1,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,78,231,4,235,1.7
16,Mizoram,26,0,26,120,23,143,7,0,7,0,0,0,0,0,0,10,0,10,0,12,12,0,0,0,832,149,981,0,0,0,26,6,32,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,137,1497,2382,328,2710,12.1
17,Nagaland,44,0,44,195,40,235,0,0,0,5,1,6,60,6,66,10,0,10,0,0,0,14,0,14,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,38,277,572,85,657,12.9
18,Orissa,402,3,405,242,14,256,2415,0,2415,2628,149,2777,0,0,0,162,0,162,36,20,56,8,0,8,0,0,0,0,0,0,0,0,0,122,0,122,0,0,0,0,0,0,470,57,527,0,0,0,0,0,0,9,0,9,0,0,0,990,122,1112,0,0,0,764,39,803,8248,404,8652,4.7
19,Punjab,1093,8,1101,2333,167,2500,5154,2,5156,16194,928,17122,10,0,10,25,0,25,50,63,113,174,0,174,18,0,18,1,0,1,80,8,88,184,2,186,0,0,0,0,0,0,3,2,5,4,1,5,6,1,7,50,1,51,0,0,0,50,2,52,0,0,0,1622,15,1637,27051,1200,28251,4.2
20,Rajasthan,1796,3,1799,866,26,892,13674,4,13678,7228,274,7502,0,0,0,479,2,481,89,187,276,1649,2,1651,7,0,7,0,0,0,25,0,25,328,2,330,0,0,0,0,0,0,5,2,7,3,0,3,30,0,30,227,0,227,0,0,0,4032,186,4218,1793,0,1793,5382,147,5529,37613,835,38448,2.2
21,Sikkim,3,0,3,0,4,4,0,0,0,64,32,96,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6182,0,6182,6253,36,6289,0.6
22,Tamil Nadu,297,1,298,2544,538,3082,22717,17,22734,1,0,1,223743,59594,283337,516,0,516,255,6814,7069,47,0,47,27,2,29,277,2,279,72,0,72,75,0,75,0,0,0,6,0,6,321,167,488,0,0,0,4,0,4,392,0,392,0,0,0,1252,120,1372,5,0,5,300306,24733,325039,552857,91988,644845,14.3
23,Tripura,50,0,50,14,0,14,10,0,10,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,110,0,110,0
24,Uttar Pradesh,37630,9,37639,9833,63,9896,19486,27,19513,27635,460,28095,0,0,0,1385,0,1385,4,156,160,13353,55,13408,11,0,11,0,0,0,8,0,8,1234,1,1235,0,0,0,3,0,3,502,156,658,0,0,0,7,0,7,200,0,200,0,0,0,9189,99,9288,5783,27,5810,377234,1623,378857,503497,2676,506173,0.5
25,West Bengal,2170,1,2171,553,44,597,2384,0,2384,1120,39,1159,1,0,1,370,0,370,48,169,217,12267,2460,14727,1055,241,1296,0,0,0,10,0,10,607,1,608,0,0,0,3,0,3,12,0,12,0,0,0,5,0,5,145,0,145,0,0,0,0,0,0,1,0,1,1298167,3603,1301770,1318918,6558,1325476,0.5
Total States,Total States,61871,54,61925,23258,1204,24462,298425,213,298638,114431,3324,117755,424862,111319,536181,6087,13,6100,1695,11791,13486,52509,2982,55491,2181,413,2594,1146,76,1222,551,42,593,6387,24,6411,43,0,43,45,0,45,5508,1190,6698,226,92,318,420,1952,2372,3486,13,3499,0,0,0,25843,838,26681,9546,44,9590,2706728,45305,2752033,3745248,180889,3926137,4.6
26,A & N Islands,0,0,0,6,0,6,53,0,53,1927,419,2346,188,0,188,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,1,959,3147,426,3573,11.9
27,Chandigarh,9,0,9,32,5,37,334,0,334,572,23,595,0,0,0,2,0,2,3,15,18,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,104,1,105,1069,44,1113,4
28,D & N Haveli,8,0,8,0,0,0,3,0,3,8,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25,0,25,52,0,52,0
29,Daman & DIU,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,33.3
30,Delhi,2981,1,2982,564,53,617,2808,16,2824,5491,1715,7206,0,0,0,57,3,60,54,198,252,24,0,24,42,1,43,2,0,2,34,3,37,48,1,49,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,181,2,183,0,0,0,23,2,25,0,0,0,374,20,394,12689,2015,14704,13.7
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0
32,Pondicherry,4,0,4,4,0,4,34,0,34,1,0,1,0,0,0,12,0,12,30,84,114,0,0,0,0,0,0,30,6,36,0,0,0,21,2,23,0,0,0,0,0,0,5,1,6,0,0,0,1,0,1,0,0,0,0,0,0,66,0,66,0,0,0,676,13,689,884,106,990,10.7
Total (UTs),Total (UTs),3004,1,3005,606,58,664,3232,16,3248,7999,2157,10156,198,0,198,74,3,77,87,297,384,25,0,25,45,2,47,32,6,38,34,3,37,79,3,82,0,0,0,3,0,3,11,2,13,9,5,14,1,0,1,187,2,189,0,0,0,90,2,92,0,0,0,2137,35,2172,17853,2592,20445,12.7
Total (All -India),Total (All -India),64875,55,64930,23864,1262,25126,301657,229,301886,122430,5481,127911,425060,111319,536379,6161,16,6177,1782,12088,13870,52534,2982,55516,2226,415,2641,1178,82,1260,585,45,630,6466,27,6493,43,0,43,48,0,48,5519,1192,6711,235,97,332,421,1952,2373,3673,15,3688,0,0,0,25933,840,26773,9546,44,9590,2708865,45340,2754205,3763101,183481,3946582,4.6
33,Ahmedabad,42,0,42,25,1,26,4264,1,4265,0,0,0,5439,962,6401,0,0,0,7,5,12,0,0,0,0,0,0,10,0,10,0,0,0,40,0,40,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,70,0,70,0,0,0,21,0,21,0,0,0,6130,640,6770,16049,1609,17658,9.1
34,Bangalore,13,0,13,41,7,48,1194,1,1195,635,45,680,0,0,0,4,0,4,165,941,1106,0,0,0,3,4,7,4,0,4,34,9,43,72,0,72,0,0,0,5,0,5,231,139,370,0,0,0,0,0,0,61,0,61,0,0,0,66,9,75,23,1,24,1179,1,1180,3730,1157,4887,23.7
35,Bhopal,468,0,468,47,5,52,4226,0,4226,288,6,294,0,0,0,6,0,6,11,8,19,0,0,0,2,0,2,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,5,0,0,0,76,0,76,0,0,0,34,0,34,5174,19,5193,0.4
36,Calcutta,6,0,6,142,32,174,1752,17,1769,0,0,0,691,121,812,0,0,0,0,3658,3658,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,113,154,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,55433,9691,65124,58073,13632,71705,19
37,Chennai,0,0,0,75,7,82,395,0,395,0,0,0,105,0,105,13,0,13,14,214,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,3,0,3,2,0,2,2857,75,2932,3488,296,3784,7.8
38,Coimbatore,2831,1,2832,555,53,608,2779,16,2795,4699,1656,6355,0,0,0,57,3,60,54,198,252,24,0,24,42,1,43,2,0,2,34,3,37,47,1,48,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,176,1,177,0,0,0,22,2,24,0,0,0,355,18,373,11683,1953,13636,14.3
39,Delhi,92,0,92,28,1,29,1323,0,1323,22,0,22,763,5,768,21,0,21,30,18,48,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,8,0,8,10,5,15,0,0,0,87,116,203,9,0,9,0,0,0,16,0,16,0,0,0,56074,1308,57382,58505,1453,59958,2.4
40,Hyderabad,1202,0,1202,44,0,44,2883,0,2883,1304,18,1322,0,0,0,6,0,6,0,10,10,0,0,0,2,0,2,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,0,0,0,233,2,235,5721,31,5752,0.5
41,Indore,131,0,131,45,0,45,1530,0,1530,686,52,738,0,0,0,5,0,5,28,23,51,0,0,0,0,0,0,0,0,0,0,0,0,31,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,0,0,35,3,38,3,0,3,429,6,435,2952,85,3037,2.8
42,Jaipur,1328,0,1328,805,8,813,1532,0,1532,718,30,748,0,0,0,264,0,264,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,14,0,14,0,0,0,3,0,3,32,17,49,0,0,0,0,0,0,15,0,15,0,0,0,102,11,113,105,0,105,23730,33,23763,28650,99,28749,0.3
43,Kanpur,43,0,43,97,2,99,116,0,116,0,0,0,243,1,244,3,0,3,5,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,10,1,11,0,0,0,1561,0,1561,2085,16,2101,0.8
44,Kochi,181,0,181,178,25,203,885,0,885,959,33,992,0,0,0,64,0,64,22,149,171,37,0,37,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,105,0,0,0,0,0,0,0,0,0,1294360,3272,1297632,1296838,3479,1300317,0.3
45,Lucknow,646,0,646,191,0,191,543,0,543,302,4,306,0,0,0,21,0,21,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,16,4,20,0,0,0,7,0,7,5,0,5,0,0,0,95,0,95,7,0,7,10734,20,10754,12578,43,12621,0.3
46,Ludhiana,188,0,188,102,8,110,513,0,513,317,2,319,0,0,0,3,0,3,11,21,32,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,17,0,17,0,0,0,0,0,0,0,0,0,36,1,37,1228,33,1261,2.6
47,Madurai,31,0,31,119,29,148,481,0,481,0,0,0,3163,41,3204,2,0,2,0,198,198,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,24070,482,24552,27878,750,28628,2.6
48,Mumbai,374,0,374,165,0,165,7705,3,7708,0,0,0,2705,408,3113,0,0,0,35,454,489,11,0,11,0,0,0,9,0,9,15,0,15,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,1828,252,3,255,0,0,0,0,0,0,0,0,0,6751,2626,9377,18041,5322,23363,22.8
49,Nagpur,283,0,283,56,0,56,1887,1,1888,0,0,0,1928,210,2138,1,0,1,2,9,11,2,0,2,0,0,0,1,1,2,0,0,0,77,0,77,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,18,0,18,0,0,0,1,0,1,0,0,0,1284,25,1309,5544,246,5790,4.2
50,Patna,201,0,201,5,0,5,84,0,84,149,0,149,0,0,0,51,0,51,3,2,5,0,0,0,1,0,1,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,86,9,95,2,0,2,0,0,0,4,0,4,0,0,0,36,0,36,0,0,0,26,3,29,660,14,674,2.1
51,Pune,18,0,18,9,1,10,780,2,782,0,0,0,3879,2777,6656,0,0,0,3,7,10,3,0,3,31,7,38,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,51,0,51,0,0,0,3,0,3,0,0,0,3901,35,3936,8696,2831,11527,24.6
