Year,Incidence of Juvenile Crimes,Incidence of Total Cognizable Crimes,Percentage of Juvenile Crimes to Total Crimes,Estimated Mid-Year Population * (in Lakh),Rate (Incidence of Crime Per Lakh of Population),Note of Incidence of Juvenile Crimes,Note of Estimated Mid-Year Population * (in Lakh)
1991,12588,1678375,0.8,8463,1.5,NA,**
1992,11100,1689341,0.7,8677,1.3,NA,NA
1993,9465,1629936,0.6,8838,1.1,NA,NA
1994,8561,1635251,0.5,8999,1,NA,NA
1995,9766,1695696,0.6,9160,1.1,NA,NA
1996,10024,1709576,0.6,9319,1.1,NA,NA
1997,7909,1719820,0.5,9552,0.8,NA,NA
1998,9352,1778815,0.5,9709,1,NA,NA
1999,8888,1764629,0.5,9866,0.9,NA,NA
2000,9267,1771084,0.5,10021,0.9,NA,NA
2001,16509,1769308,0.9,10270,1.6,@@,NA
