Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),Percentage of Cases to Total Cases for Investigation in which Investigation was Refused (Col.3),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Charge Found False/Mistake of Fact or Law Etc. (Col.4),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Final Report True Submitted (Col.5),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Chargesheets were Submitted (Col.6),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Total {(Col.4) + (Col.5) + (Col.6)} = (Col.7),Percentage of Cases Pending Investigation (Col.8),Chargesheeting Rate {(Col.6)/(Col.5) + (Col.6) X 100} = (Col.9)
Murder,0.1,0.2,1.9,12.4,51,65.3,34.3,80.5
Attempt to Commit Murder,0.1,0.2,3,10.1,61.5,74.6,25.2,85.9
C.H. not Amounting to Murder,0.1,0,3.3,10.8,50.5,64.5,35.4,82.4
Rape - Total,0.1,0.2,5,4.8,64.6,74.4,25.3,93.1
Rape - (i) Custodial Rape,0,0,0,0,100,100,0,100
Rape - (ii) Other Rape,0.1,0.2,5,4.8,64.6,74.4,25.3,93.1
Kidnapping & Abduction - Total,0.1,0.5,14.5,13.4,37.6,65.5,33.9,73.8
Kidnapping & Abduction - (i) of Women & Girls,0.1,0.5,14.9,13.2,37.3,65.4,34,73.9
Kidnapping & Abduction - (ii) of Others,0.1,0.4,13.8,13.8,38.2,65.8,33.7,73.5
Dacoity,0.1,0.1,3.3,17.1,31.9,52.3,47.6,65.2
Preparation & Assembly for Dacoity,0,0.2,0.3,4.5,54.6,59.4,40.4,92.4
Robbery,0.3,0.2,4.4,24,39.9,68.3,31.3,62.5
Burglary,0.5,0.4,2.5,45.8,27.6,75.8,23.3,37.6
Theft - Total,0.2,0.3,2.6,42.2,28.5,73.3,26.1,40.4
Theft - (i) Auto Theft,0,0.2,2.3,49.1,22.2,73.7,26.1,31.2
Theft - (ii) Other Theft,0.2,0.4,2.8,39.8,30.6,73.2,26.1,43.4
Riots,0.1,0.1,7.2,6.7,62.7,76.6,23.2,90.3
Criminal Breach of Trust,0,0.3,9.1,15.3,38,62.4,37.3,71.3
Cheating,0,0.6,13.4,13.1,32.8,59.3,40.1,71.5
Counterfeiting,0,3.4,0.6,8.8,14.8,24.3,72.3,62.8
Arson,0.1,0.5,9.4,22.5,42.9,74.8,24.5,65.6
Hurt,0,0.1,3.4,4.8,79.3,87.5,12.4,94.3
Dowry Death,0,0.1,4.3,5.1,64.8,74.2,25.7,92.7
Molestation,0.2,0.1,4.7,3,79.5,87.1,12.6,96.4
Sexual Harassment,0.3,0.3,1.4,2,86.4,89.7,9.7,97.8
Cruelty by Husband and Relatives,0,0.2,9.1,5.9,64,79.1,20.7,91.6
Importation of Girls,0,0,4,4,47.6,55.6,44.4,92.3
Causing Death by Negligence,0,0.3,2.5,13.7,66.6,82.8,17,82.9
Other IPC Crimes,0.2,0.4,4.9,8.1,70.1,83.1,16.3,89.6
Total Cognizable Crimes under IPC,0.1,0.3,4.7,15.9,58.2,78.8,20.8,78.6
