Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate,SC/ST (Prev) of Atrocities Act for SCs - Incidence,SC/ST (Prev) of Atrocities Act for SCs - Rate,SC/ST (Prev) of Atrocities Act for STs - Incidence,SC/ST (Prev) of Atrocities Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
State,Andhra Pradesh,386,0.5,651,0.9,33865,44.7,2871,3.8,1685,2.2,488,0.6,1332,1.8,43,0.1,4,0,338,0.4,312,0.4,26,0,67,0.1,42,0.1,0,0,8,0,551,0.7,6,0,925,1.2,222,0.3,0,0,1079,1.4,950,1.3,129,0.2,33,0,480931,635.1,525527,694
State,Arunachal Pradesh,10,0.9,17,1.6,0,0,0,0,0,0,2,0.2,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.4,56,5.1
State,Assam,388,1.5,146,0.5,103,0.4,182,0.7,2,0,75,0.3,6,0,14,0.1,1,0,0,0,0,0,0,0,9,0,36,0.1,0,0,0,0,179,0.7,0,0,10,0,3,0,0,0,0,0,0,0,0,0,14,0.1,1192,4.5,2360,8.9
State,Bihar,2861,3.5,225,0.3,174,0.2,1285,1.6,2,0,378,0.5,29,0,45,0.1,3,0,89,0.1,81,0.1,8,0,1,0,244,0.3,0,0,0,0,835,1,2,0,3,0,8,0,0,0,523,0.6,513,0.6,10,0,56,0.1,1315,1.6,8078,9.7
State,Chhattisgarh,551,2.6,299,1.4,6934,33.3,8907,42.8,0,0,207,1,12,0.1,7325,35.2,0,0,3,0,1,0,2,0,0,0,87,0.4,0,0,0,0,13,0.1,0,0,0,0,47,0.2,0,0,170,0.8,164,0.8,6,0,16,0.1,103241,496.4,127812,614.6
State,Goa,34,2.5,29,2.2,1238,92.1,0,0,0,0,3,0.2,28,2.1,0,0,4,0.3,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,15,1.1,0,0,1,0.1,1,0.1,0,0,0,0,596,44.3,1951,145.2
State,Gujarat,245,0.5,119,0.2,7850,15.5,0,0,112114,221.6,46,0.1,61,0.1,1874,3.7,20,0,19,0,16,0,3,0,18,0,120,0.2,0,0,0,0,0,0,11,0,0,0,174,0.3,0,0,446,0.9,356,0.7,90,0.2,1,0,37945,75,161063,318.3
State,Haryana,1275,6,1322,6.3,5962,28.3,12223,58,0,0,32,0.2,21,0.1,1052,5,5,0,1,0,1,0,0,0,1,0,131,0.6,0,0,0,0,0,0,0,0,0,0,105,0.5,0,0,33,0.2,33,0.2,0,0,0,0,2864,13.6,25027,118.7
State,Himachal Pradesh,20,0.3,229,3.8,314,5.2,2949,48.5,0,0,8,0.1,1,0,1,0,8,0.1,4,0.1,4,0.1,0,0,0,0,10,0.2,0,0,0,0,9,0.1,0,0,0,0,18,0.3,0,0,43,0.7,41,0.7,2,0,279,4.6,123,2,4016,66.1
State,Jammu & Kashmir,1259,12.5,111,1.1,72,0.7,314,3.1,0,0,353,3.5,7,0.1,0,0,19,0.2,0,0,0,0,0,0,7,0.1,591,5.9,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0.1,251,2.5,2997,29.8
State,Jharkhand,462,1.7,39,0.1,75,0.3,309,1.1,0,0,67,0.2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,44,0.2,0,0,0,0,375,1.4,0,0,0,0,1,0,0,0,55,0.2,35,0.1,20,0.1,38,0.1,271,1,1742,6.5
State,Karnataka,101,0.2,309,0.6,6180,11.7,4308,8.2,0,0,64,0.1,1356,2.6,25,0,23,0,107,0.2,94,0.2,13,0,24,0,522,1,0,0,4,0,361,0.7,3,0,0,0,149,0.3,0,0,1187,2.3,983,1.9,204,0.4,382,0.7,4214,8,19319,36.6
State,Kerala,387,1.2,514,1.6,2052,6.4,322,1,7042,22.1,377,1.2,132,0.4,11,0,9,0,0,0,0,0,0,0,34,0.1,123,0.4,0,0,0,0,6,0,3,0,42,0.1,107,0.3,0,0,135,0.4,121,0.4,14,0,74,0.2,20228,63.5,31598,99.2
State,Madhya Pradesh,7143,11.8,808,1.3,23037,38.2,19511,32.3,0,0,331,0.5,15,0,14419,23.9,1,0,3,0,1,0,2,0,1,0,116,0.2,0,0,0,0,30,0,4,0,0,0,107,0.2,0,0,678,1.1,435,0.7,243,0.4,122,0.2,85060,140.9,151386,250.7
